"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0177777777777778,0.05,0.0152629703231561,0.0113960114038462,0,0.21259842519685
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0663469224620304,0.05,0.00899791224375284,0.00341880342307692,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0514788169464428,0.05,0.0186211385810803,0.0125874125961538,0,0.216535433070866
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.0625187673860911,0.15,0.0044467212965866,0.00229357798076923,0,0.429133858267717
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.04396482813749,0.05,0.00369036932100541,0.000930521096153846,1,0.244094488188976
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0479616306954436,0,0.0127407790331671,0.0118083670769231,0,0.224409448818898
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.022123101518785,0.05,0.0092717822768399,0.00734265734615385,0,0.216535433070866
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0622607513988809,0.05,0.0102804221085382,0.0114709851538462,0,0.224409448818898
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0302158273381295,0.05,0.0158466867457795,0.0119230769230769,0,0.196850393700787
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0137490007993605,0.05,0.0101430847257508,0.00925925925,0,0.21259842519685
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0422062350119904,0.05,0.0172416700681066,0.0128205128269231,0,0.21259842519685
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.00917985611510791,0.15,0.0357363292622173,0.0315170940192308,0,0.141732283464567
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0621,0.1,0.0172323949123009,0.015625,0,0.188976377952756
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0232956035171863,0.15,0.0203122345626787,0.0184716599230769,0,0.299212598425197
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0428634692246203,0.1,0.012042683146479,0.00725689405769231,0,0.208661417322835
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0334132693844924,0.05,0.01529112469425,0.00736497544230769,0,0.18503937007874
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00399680255795364,0.05,0.0179218481071029,0.00854700853846154,0,0.106299212598425
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0209432454036771,0.05,0.0120995241007744,0.00256410255769231,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0414807354116707,0.05,0.0119466695445821,0.00730769230769231,0,0.196850393700787
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00949640287769784,0.05,0.0102224136934429,0.00375234521153846,0,0.161417322834646
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0199840127897682,0.1,0.0115860515157043,0.00769230769230769,0,0.196850393700787
