sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-207439,1,3863,CA,Title and Escrow,Reverse Mortgage,192400.0000000,773808.3900000,-581408.3900000,3.0000000,73.0000000,37.000000000000000,17.0000000,1.529411764705880,0.0000000,34.0000000
17-513861,2,3863,CA,LCP - Title Only,Refinance,50000.0000000,275300.0000000,-225300.0000000,1.0000000,33.0000000,25.650000000000000,3.0000000,0.550000000000000,0.0000000,20.0000000
2301-207440,1,3860,TX,Title and Escrow,Reverse Mortgage,236520.0000000,300240.0000000,-63720.0000000,1.0000000,79.0000000,57.346153846153800,5.0000000,1.846153846153850,0.0000000,26.0000000
2301-207441,1,3863,FL,Title and Escrow,Reverse Mortgage,150000.0000000,190400.0000000,-40400.0000000,1.0000000,56.0000000,12.266666666666700,31.0000000,0.377777777777778,1.0000000,45.0000000
2301-207442,1,3863,CA,Title and Escrow,Reverse Mortgage,625500.0000000,476650.0000000,148850.0000000,2.0000000,48.0000000,11.622222222222200,23.0000000,0.155555555555556,1.0000000,45.0000000
17-513865,2,3863,CA,Title Only,Refinance,325000.0000000,313000.0000000,12000.0000000,2.0000000,44.0000000,25.592592592592600,20.0000000,0.666666666666667,0.0000000,27.0000000
17-513870,2,3863,CA,Title & Sub-Escrow,Refinance,480000.0000000,546700.0000000,-66700.0000000,2.0000000,57.0000000,23.527777777777800,22.0000000,0.611111111111111,0.0000000,36.0000000
2301-207444,1,3860,SC,Title and Escrow,Reverse Mortgage,625500.0000000,180500.0000000,445000.0000000,1.0000000,59.0000000,15.822222222222200,22.0000000,0.711111111111111,1.0000000,45.0000000
2301-207447,1,3863,CA,Title and Escrow,Reverse Mortgage,195840.0000000,65000.0000000,130840.0000000,1.0000000,73.0000000,34.742857142857100,18.0000000,1.228571428571430,0.0000000,35.0000000
17-513876,2,3863,CA,LCP - Title Only,Refinance,46000.0000000,564118.0000000,-518118.0000000,1.0000000,33.0000000,37.800000000000000,3.0000000,0.733333333333333,0.0000000,15.0000000
17-513877,2,3863,CA,LCP - Title Only,Refinance,85000.0000000,339500.0000000,-254500.0000000,2.0000000,31.0000000,18.310344827586200,4.0000000,0.379310344827586,0.0000000,29.0000000
17-513883,2,3860,MO,Title Only,Refinance,156450.0000000,166429.0000000,-9979.0000000,2.0000000,29.0000000,9.422222222222220,24.0000000,0.177777777777778,1.0000000,45.0000000
2301-207452,1,3863,CA,Title and Escrow,Reverse Mortgage,431595.0000000,354814.0000000,76781.0000000,2.0000000,70.0000000,38.828571428571400,20.0000000,1.714285714285710,0.0000000,35.0000000
17-513886,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),217000.0000000,0.0000000,217000.0000000,0.0000000,18.0000000,4.266666666666670,0.0000000,0.066666666666667,1.0000000,45.0000000
17-513888,2,3863,CA,Title & Full Escrow,Refinance,251322.0000000,213675.0000000,37647.0000000,1.0000000,55.0000000,21.696969696969700,18.0000000,0.333333333333333,0.0000000,33.0000000
2301-207459,1,3863,NV,Title and Escrow,Reverse Mortgage,160000.0000000,292500.0000000,-132500.0000000,1.0000000,51.0000000,10.733333333333300,23.0000000,0.200000000000000,1.0000000,45.0000000
17-513896,2,3863,CA,LCP - Title Only,Refinance,40000.0000000,307000.0000000,-267000.0000000,1.0000000,30.0000000,41.666666666666700,4.0000000,0.750000000000000,0.0000000,12.0000000
17-513899,2,3862,CA,Title Only,Refinance,83000.0000000,472000.0000000,-389000.0000000,2.0000000,36.0000000,17.515151515151500,22.0000000,0.424242424242424,0.0000000,33.0000000
2301-207462,1,3860,MS,Title and Escrow,Reverse Mortgage,50816.0000000,52015.0000000,-1199.0000000,1.0000000,72.0000000,31.166666666666700,20.0000000,1.416666666666670,0.0000000,36.0000000
17-513900,2,3860,GA,Property Report / O&E & Full Escrow,Uninsured (Info Products),28500.0000000,352000.0000000,-323500.0000000,1.0000000,76.0000000,34.200000000000000,4.0000000,0.640000000000000,0.0000000,25.0000000
17-513902,2,3863,CA,Title & Full Escrow,Refinance,232050.0000000,242000.0000000,-9950.0000000,1.0000000,73.0000000,23.771428571428600,16.0000000,0.342857142857143,0.0000000,35.0000000
