sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-502867,3863,LCP - Title Only,75000.00,2.00,32.00,405.00,5.00,4.00,1.00,45.00
2301-201418,3863,Title and Escrow,322924.00,1.00,80.00,1235.00,20.00,31.00,0.00,41.00
17-502868,3863,Property Report / O&E - Title Only,75000.00,2.00,36.00,477.00,8.00,10.00,0.00,29.00
2301-201419,3860,Title and Escrow,224280.00,0.00,98.00,1655.00,18.00,51.00,0.00,90.00
2301-201420,3860,Title and Escrow,61776.00,2.00,88.00,1441.00,23.00,45.00,0.00,43.00
2301-201421,3863,Title and Escrow,300000.00,1.00,57.00,605.00,32.00,14.00,1.00,45.00
17-502869,3863,Title Only,240300.00,1.00,45.00,701.00,18.00,27.00,0.00,35.00
2301-201422,3860,Title and Escrow,199000.00,2.00,68.00,721.00,20.00,17.00,1.00,45.00
17-502870,3863,Title & Sub-Escrow,196600.00,1.00,38.00,402.00,19.00,4.00,1.00,45.00
2301-201423,3860,Title Only,11152.75,0.00,75.00,1356.00,19.00,34.00,0.00,42.00
17-502872,3860,Title & Sub-Escrow,140000.00,1.00,54.00,841.00,19.00,24.00,0.00,37.00
2301-201424,3860,Title and Escrow,42704.13,1.00,85.00,1585.00,23.00,48.00,0.00,57.00
2301-201425,3860,Title and Escrow,76250.00,2.00,55.00,622.00,24.00,14.00,1.00,45.00
17-502873,3860,Property Report / O&E - Title Only,20000.00,1.00,43.00,547.00,4.00,14.00,0.00,28.00
17-502875,3863,Title Only,283900.00,1.00,44.00,631.00,18.00,14.00,0.00,29.00
17-502876,3863,Property Report / O&E - Title Only,72000.00,0.00,19.00,194.00,0.00,6.00,1.00,45.00
17-502877,3863,LCP - Title Only,75000.00,1.00,29.00,341.00,4.00,3.00,1.00,45.00
17-502878,3863,LCP - Title Only,20000.00,1.00,42.00,648.00,4.00,11.00,0.00,27.00
17-502879,3863,LCP - Title Only,75000.00,1.00,33.00,391.00,4.00,5.00,1.00,45.00
17-502880,3863,LCP - Title Only,29000.00,1.00,42.00,591.00,4.00,9.00,0.00,29.00
17-502881,3863,Title Only,50000.00,0.00,73.00,1181.00,19.00,29.00,0.00,30.00
2301-201427,3860,Title and Escrow,30660.00,0.00,94.00,1612.00,18.00,56.00,0.00,59.00
17-502882,3863,LCP & Sub-Escrow,150000.00,0.00,28.00,279.00,0.00,5.00,1.00,45.00
17-502883,3863,Title & Full Escrow,15731.00,2.00,80.00,1091.00,21.00,22.00,1.00,45.00
2301-201428,3863,Title and Escrow,348670.00,1.00,80.00,1478.00,16.00,50.00,0.00,49.00
17-502885,3863,Title & Full Escrow,75500.00,1.00,45.00,434.00,19.00,5.00,1.00,45.00
17-502886,3863,LCP - Title Only,75000.00,1.00,32.00,366.00,4.00,4.00,1.00,45.00
17-502887,3863,LCP - Title Only,80000.00,1.00,42.00,638.00,4.00,7.00,0.00,20.00
17-502888,3863,LCP - Title Only,90000.00,1.00,53.00,742.00,4.00,30.00,0.00,31.00
17-502889,3860,Title & Full Escrow,90000.00,2.00,71.00,1013.00,21.00,21.00,0.00,42.00
17-502890,3863,Title & Full Escrow,41200.00,0.00,36.00,313.00,1.00,7.00,1.00,45.00
17-502891,3860,Title & Sub-Escrow,148848.00,2.00,35.00,492.00,24.00,7.00,1.00,45.00
17-502892,3863,Title & Full Escrow,200000.00,1.00,47.00,478.00,19.00,6.00,1.00,45.00
17-502893,3863,LCP - Title Only,25000.00,1.00,45.00,616.00,4.00,10.00,0.00,37.00
17-502894,3863,LCP - Title Only,30000.00,1.00,42.00,556.00,4.00,12.00,0.00,27.00
2301-201431,3860,Title Only,247000.00,0.00,60.00,950.00,19.00,17.00,0.00,21.00
2301-201432,3863,Title Only,41079.45,0.00,64.00,1141.00,27.00,23.00,0.00,41.00
17-502896,3863,LCP - Title Only,75000.00,1.00,32.00,359.00,4.00,4.00,1.00,45.00
2301-201433,3860,Title Only,208000.00,1.00,81.00,1217.00,19.00,31.00,0.00,27.00
2301-201434,3863,Title and Escrow,345000.00,1.00,51.00,458.00,19.00,9.00,1.00,45.00
2301-201436,3863,Title and Escrow,185070.00,1.00,86.00,1405.00,18.00,51.00,0.00,27.00
17-502897,3863,Title Only,252000.00,2.00,54.00,746.00,21.00,22.00,0.00,36.00
17-502899,3863,Title & Sub-Escrow,417000.00,1.00,42.00,440.00,18.00,7.00,1.00,45.00
17-502900,3863,Title & Sub-Escrow,332000.00,1.00,51.00,814.00,20.00,22.00,0.00,21.00
17-502902,3860,Title Only,125320.00,2.00,67.00,925.00,24.00,33.00,0.00,78.00
17-502903,3863,LCP - Title Only,50000.00,1.00,43.00,607.00,4.00,7.00,0.00,15.00
