sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-500000,3860,Title & Sub-Escrow,111200.00,1.00,52.00,1319.00,18.00,32.00,0.00,54.00
17-500001,3863,Title & Sub-Escrow,415000.00,1.00,44.00,677.00,19.00,8.00,1.00,45.00
2301-200000,3863,Title and Escrow,322000.00,1.00,80.00,1620.00,17.00,36.00,0.00,55.00
17-500003,3860,TSG - Trustee Sale Guarantee,391054.89,3.00,26.00,895.00,26.00,13.00,0.00,109.00
17-500004,3863,LCP - Title Only,275000.00,1.00,19.00,440.00,8.00,3.00,1.00,45.00
17-500005,3863,Reverse Mortgage - Title Only,300000.00,0.00,66.00,1177.00,17.00,35.00,0.00,57.00
17-500006,3863,Title Only,138380.00,1.00,61.00,850.00,18.00,21.00,0.00,55.00
17-500007,3863,Title Only,389441.00,1.00,77.00,963.00,16.00,34.00,0.00,57.00
2301-200001,3863,Title and Escrow,189000.00,1.00,80.00,1265.00,16.00,31.00,0.00,50.00
17-500008,3860,Title & Sub-Escrow,86000.00,1.00,53.00,902.00,21.00,26.00,0.00,54.00
17-500009,3860,Title & Full Escrow,264000.00,1.00,82.00,1475.00,21.00,36.00,0.00,54.00
2301-200003,3860,Title and Escrow,57420.00,3.00,97.00,1983.00,24.00,59.00,0.00,36.00
2301-200004,3863,Title and Escrow,388435.50,2.00,73.00,1314.00,19.00,39.00,0.00,48.00
17-500011,3860,Title & Full Escrow,145714.00,3.00,137.00,2431.00,18.00,73.00,0.00,76.00
17-500012,3863,Title & Full Escrow,268111.00,2.00,76.00,1039.00,18.00,20.00,0.00,53.00
17-500014,3863,Title & Full Escrow,209000.00,1.00,73.00,1150.00,21.00,18.00,0.00,47.00
17-500015,3863,Property Report / O&E - Title Only,25000.00,1.00,50.00,767.00,4.00,12.00,0.00,27.00
2301-200007,3863,Title and Escrow,131000.00,1.00,60.00,886.00,4.00,6.00,1.00,45.00
17-500016,3863,Title & Full Escrow,259462.00,1.00,72.00,973.00,17.00,19.00,0.00,50.00
17-500018,3863,Property Report / O&E - Title Only,59400.00,1.00,48.00,692.00,4.00,8.00,0.00,41.00
17-500019,3860,Property Report / O&E - Title Only,125000.00,2.00,51.00,946.00,5.00,20.00,0.00,50.00
2301-200008,3860,Title and Escrow,290000.00,3.00,75.00,960.00,24.00,30.00,1.00,45.00
2301-200009,3860,Title and Escrow,153000.00,0.00,57.00,681.00,18.00,14.00,1.00,45.00
2301-200010,3860,Title and Escrow,145000.00,0.00,66.00,742.00,21.00,12.00,1.00,45.00
17-500020,3860,Property Report / O&E - Title Only,113000.00,2.00,49.00,614.00,6.00,14.00,0.00,28.00
2301-200011,3860,Title and Escrow,83360.00,0.00,94.00,2203.00,31.00,49.00,0.00,28.00
2301-200012,3863,Title and Escrow,379678.50,0.00,53.00,510.00,17.00,6.00,1.00,45.00
17-500022,3863,Title & Sub-Escrow,120000.00,1.00,39.00,500.00,17.00,6.00,1.00,45.00
2301-200013,3863,Title and Escrow,97170.00,1.00,86.00,1465.00,27.00,35.00,0.00,56.00
17-500023,3863,Title & Sub-Escrow,337500.00,1.00,40.00,457.00,16.00,7.00,1.00,45.00
2301-200014,3860,Title and Escrow,133750.00,0.00,99.00,1749.00,21.00,50.00,0.00,39.00
17-500024,3863,Title Only,1250000.00,0.00,23.00,272.00,1.00,7.00,1.00,45.00
17-500025,3863,Property Report / O&E - Title Only,60000.00,1.00,42.00,545.00,7.00,9.00,0.00,29.00
2301-200015,3863,Title and Escrow,146000.00,1.00,71.00,976.00,7.00,27.00,1.00,45.00
2301-200016,3863,Title and Escrow,200313.75,0.00,85.00,1552.00,16.00,48.00,0.00,39.00
17-500026,3863,Title & Sub-Escrow,320000.00,2.00,63.00,986.00,21.00,25.00,0.00,43.00
2301-200017,3863,Title and Escrow,80000.00,1.00,57.00,637.00,29.00,7.00,1.00,45.00
17-500027,3863,Title & Full Escrow,179900.00,1.00,50.00,586.00,18.00,10.00,1.00,45.00
17-500028,3860,Property Report / O&E - Title Only,60000.00,1.00,41.00,627.00,4.00,11.00,0.00,50.00
2301-200018,3860,Title Only,101306.55,2.00,79.00,1414.00,25.00,45.00,0.00,34.00
2301-200019,3860,Title and Escrow,87408.00,0.00,111.00,1630.00,20.00,50.00,0.00,39.00
17-500029,3860,Property Report / O&E - Title Only,50000.00,1.00,43.00,604.00,4.00,12.00,0.00,29.00
17-500031,3863,Title Only,25000.00,1.00,74.00,1770.00,17.00,42.00,0.00,43.00
17-500032,3863,Title Only,230521.00,2.00,44.00,620.00,24.00,14.00,1.00,45.00
17-500033,3863,Property Report / O&E - Title Only,84000.00,1.00,51.00,721.00,13.00,24.00,0.00,204.00
17-500034,3863,Title & Sub-Escrow,250000.00,0.00,44.00,558.00,19.00,10.00,1.00,45.00
17-500035,3860,Title Only,50000.00,0.00,93.00,1566.00,20.00,49.00,0.00,61.00
17-500036,3860,Property Report / O&E - Title Only,59500.00,2.00,43.00,620.00,5.00,15.00,0.00,35.00
2301-200021,3863,Title and Escrow,285382.00,0.00,101.00,1715.00,15.00,44.00,0.00,46.00
17-500037,3860,Property Report / O&E & Full Escrow,202400.00,2.00,61.00,918.00,6.00,23.00,0.00,53.00
2301-200023,3860,Title and Escrow,625500.00,0.00,52.00,498.00,1.00,9.00,1.00,45.00
17-500038,3863,LCP - Title Only,95500.00,1.00,42.00,699.00,4.00,8.00,0.00,29.00
17-500039,3860,Property Report / O&E - Title Only,28800.00,2.00,38.00,634.00,7.00,16.00,0.00,29.00
17-500042,3863,Title Only,100000.00,0.00,55.00,847.00,21.00,24.00,0.00,53.00
2301-200024,3863,Title and Escrow,326700.00,1.00,110.00,2021.00,19.00,50.00,0.00,34.00
17-500043,3863,LCP & Sub-Escrow,65000.00,2.00,67.00,1314.00,9.00,28.00,0.00,27.00
17-500044,3863,LCP - Title Only,35200.00,2.00,56.00,1139.00,6.00,34.00,0.00,55.00
17-500045,3860,Property Report / O&E - Title Only,25000.00,1.00,39.00,630.00,4.00,12.00,0.00,28.00
2301-200025,3863,Title and Escrow,359662.50,1.00,74.00,1547.00,14.00,45.00,0.00,68.00
2301-200026,3860,Title and Escrow,11396.00,2.00,97.00,1759.00,26.00,70.00,0.00,42.00
17-500046,3863,Property Report / O&E - Title Only,100000.00,1.00,44.00,621.00,6.00,8.00,0.00,28.00
17-500047,3860,Property Report / O&E - Title Only,75000.00,1.00,43.00,576.00,4.00,13.00,0.00,39.00
17-500048,3863,LCP - Title Only,35000.00,1.00,57.00,809.00,7.00,13.00,0.00,55.00
17-500049,3863,Property Report / O&E - Title Only,100000.00,1.00,43.00,605.00,5.00,15.00,0.00,19.00
17-500050,3863,LCP - Title Only,50000.00,1.00,45.00,649.00,4.00,20.00,1.00,45.00
17-500051,3863,LCP - Title Only,40000.00,1.00,64.00,947.00,4.00,15.00,0.00,64.00
17-500052,3863,Title Only,272435.00,1.00,56.00,999.00,18.00,20.00,1.00,45.00
2301-200028,3860,Title and Escrow,45073.50,0.00,92.00,1462.00,19.00,37.00,0.00,129.00
17-500053,3860,Title & Sub-Escrow,36500.00,1.00,141.00,2678.00,39.00,94.00,0.00,108.00
17-500054,3863,Title & Sub-Escrow,76000.00,2.00,49.00,555.00,22.00,11.00,1.00,45.00
17-500055,3860,Title & Sub-Escrow,188830.00,1.00,63.00,1307.00,21.00,37.00,0.00,56.00
17-500056,3860,Title & Sub-Escrow,126030.00,2.00,57.00,1096.00,19.00,27.00,0.00,56.00
2301-200030,3863,Title and Escrow,156300.00,0.00,71.00,1393.00,29.00,27.00,0.00,60.00
2301-200032,3863,Title and Escrow,535000.00,2.00,67.00,669.00,7.00,14.00,1.00,45.00
17-500057,3863,LCP - Title Only,100000.00,1.00,40.00,608.00,4.00,16.00,0.00,47.00
2301-200035,3863,Title and Escrow,625500.00,0.00,40.00,265.00,2.00,1.00,1.00,45.00
2301-200036,3860,Title and Escrow,184100.00,1.00,112.00,1919.00,23.00,75.00,0.00,40.00
17-500059,3863,LCP - Title Only,28000.00,1.00,40.00,582.00,4.00,17.00,0.00,59.00
2301-200038,3860,Title and Escrow,120000.00,0.00,63.00,839.00,21.00,19.00,1.00,45.00
17-500060,3860,Title Only,147700.00,1.00,50.00,1122.00,21.00,26.00,0.00,42.00
17-500061,3863,Title Only,187000.00,1.00,40.00,561.00,18.00,8.00,1.00,45.00
17-500062,3863,Title & Sub-Escrow,417000.00,1.00,56.00,819.00,17.00,20.00,0.00,42.00
17-500063,3863,Escrow Only,310000.00,0.00,19.00,639.00,2.00,5.00,0.00,32.00
2301-200040,3860,Title and Escrow,72072.00,1.00,75.00,1226.00,20.00,29.00,0.00,62.00
17-500064,3863,Title & Sub-Escrow,400000.00,2.00,65.00,870.00,19.00,31.00,1.00,45.00
17-500065,3863,Title & Sub-Escrow,292000.00,1.00,59.00,821.00,19.00,24.00,0.00,96.00
2301-200042,3860,Title and Escrow,147618.00,0.00,119.00,1930.00,20.00,68.00,0.00,35.00
17-500067,3863,LCP - Title Only,30000.00,1.00,38.00,445.00,6.00,8.00,1.00,45.00
17-500069,3863,Title & Full Escrow,179244.00,2.00,84.00,1148.00,19.00,28.00,0.00,74.00
2301-200043,3860,Title and Escrow,175000.00,1.00,55.00,568.00,18.00,10.00,1.00,45.00
17-500070,3863,Title & Full Escrow,262500.00,1.00,80.00,1194.00,18.00,23.00,0.00,49.00
17-500071,3863,Title & Full Escrow,212000.00,2.00,73.00,912.00,21.00,16.00,0.00,76.00
17-500072,3863,Title Only,80000.00,2.00,48.00,707.00,20.00,19.00,0.00,27.00
17-500074,3863,LCP - Title Only,95000.00,1.00,40.00,526.00,4.00,10.00,1.00,45.00
17-500076,3863,Title & Full Escrow,319000.00,1.00,69.00,1125.00,20.00,17.00,0.00,49.00
17-500078,3863,LCP - Title Only,80000.00,2.00,48.00,1059.00,7.00,16.00,0.00,19.00
17-500079,3860,Title Only & Sub Escrow,213000.00,1.00,94.00,1759.00,22.00,53.00,0.00,220.00
2301-200044,3860,Title and Escrow,170000.00,1.00,52.00,531.00,19.00,8.00,1.00,45.00
17-500081,3863,Reverse Mortgage - Title Only,225000.00,1.00,35.00,484.00,22.00,6.00,1.00,45.00
17-500082,3863,Property Report / O&E - Title Only,50000.00,1.00,41.00,566.00,8.00,16.00,0.00,89.00
2301-200047,3860,Title and Escrow,204360.00,2.00,80.00,1503.00,28.00,48.00,0.00,59.00
2301-200048,3863,Title and Escrow,131040.00,1.00,88.00,1533.00,19.00,47.00,0.00,60.00
17-500085,3863,Title & Full Escrow,119000.00,1.00,73.00,974.00,17.00,14.00,0.00,74.00
17-500086,3863,Title & Full Escrow,142250.00,4.00,81.00,1249.00,23.00,21.00,0.00,74.00
17-500087,3863,Title & Full Escrow,267000.00,2.00,74.00,1091.00,21.00,17.00,0.00,75.00
17-500088,3863,Title & Full Escrow,40000.00,1.00,52.00,513.00,22.00,10.00,1.00,45.00
2301-200050,3860,Title and Escrow,215000.00,1.00,76.00,777.00,20.00,17.00,1.00,45.00
2301-200051,3860,Title and Escrow,68000.00,1.00,81.00,783.00,18.00,21.00,1.00,45.00
17-500089,3860,Title & Sub-Escrow,94000.00,1.00,36.00,613.00,23.00,7.00,1.00,45.00
2301-200052,3863,Title and Escrow,384682.50,2.00,81.00,1462.00,32.00,40.00,0.00,68.00
17-500090,3863,Title Only,159135.00,1.00,69.00,1081.00,32.00,25.00,0.00,34.00
17-500092,3860,Title Only,166998.00,1.00,43.00,1019.00,25.00,18.00,0.00,28.00
17-500094,3863,LCP - Title Only,40000.00,1.00,35.00,441.00,4.00,5.00,1.00,45.00
2301-200054,3863,Title and Escrow,370921.50,3.00,70.00,1703.00,20.00,50.00,0.00,47.00
17-500095,3863,LCP - Title Only,96100.00,1.00,37.00,540.00,4.00,17.00,0.00,42.00
2301-200055,3863,Title and Escrow,270000.00,1.00,47.00,444.00,18.00,4.00,1.00,45.00
17-500096,3863,Title & Sub-Escrow,184000.00,1.00,74.00,1257.00,18.00,36.00,0.00,56.00
2301-200057,3860,Title and Escrow,335000.00,1.00,61.00,869.00,20.00,25.00,1.00,45.00
2301-200058,3863,Title and Escrow,148264.00,1.00,66.00,1332.00,22.00,32.00,0.00,52.00
17-500097,3863,Title Only,68000.00,0.00,34.00,461.00,20.00,8.00,1.00,45.00
2301-200059,3863,Title and Escrow,370921.50,1.00,112.00,2371.00,18.00,60.00,0.00,18.00
2301-200060,3860,Title and Escrow,142000.00,0.00,58.00,545.00,18.00,11.00,1.00,45.00
17-500098,3863,LCP & Sub-Escrow,46600.00,1.00,78.00,1391.00,4.00,20.00,0.00,38.00
17-500099,3863,LCP - Title Only,50000.00,1.00,53.00,779.00,4.00,16.00,0.00,48.00
17-500100,3863,Title Only,168000.00,2.00,57.00,929.00,20.00,34.00,0.00,41.00
2301-200063,3860,Title and Escrow,51240.00,1.00,90.00,1221.00,20.00,37.00,1.00,45.00
2301-200064,3863,Title and Escrow,261796.31,2.00,84.00,1866.00,21.00,41.00,0.00,25.00
17-500101,3860,Property Report / O&E - Title Only,130000.00,1.00,41.00,583.00,3.00,13.00,0.00,34.00
2301-200065,3860,Title and Escrow,148000.00,4.00,53.00,789.00,26.00,10.00,1.00,45.00
17-500102,3863,Property Report / O&E - Title Only,80000.00,1.00,52.00,727.00,4.00,13.00,0.00,48.00
17-500103,3863,LCP - Title Only,60000.00,1.00,35.00,449.00,4.00,6.00,1.00,45.00
2301-200066,3863,Title and Escrow,50288.42,0.00,105.00,1843.00,17.00,60.00,0.00,33.00
2301-200067,3863,Title and Escrow,362164.50,2.00,88.00,1572.00,20.00,48.00,0.00,28.00
2301-200068,3863,Title and Escrow,234255.00,1.00,103.00,2322.00,17.00,94.00,0.00,47.00
2301-200069,3863,Title and Escrow,288355.50,3.00,71.00,1667.00,20.00,50.00,0.00,60.00
17-500106,3863,Title & Sub-Escrow,132000.00,2.00,95.00,1613.00,23.00,39.00,0.00,53.00
2301-200070,3860,Title and Escrow,354658.50,1.00,96.00,1532.00,21.00,47.00,0.00,52.00
17-500107,3863,Title & Full Escrow,625500.00,2.00,85.00,1389.00,20.00,45.00,0.00,49.00
17-500109,3863,Title & Full Escrow,382500.00,1.00,85.00,1345.00,19.00,34.00,0.00,49.00
17-500110,3863,LCP - Title Only,100.00,1.00,33.00,498.00,7.00,4.00,0.00,228.00
2301-200074,3863,Title and Escrow,74090.00,0.00,87.00,1913.00,25.00,42.00,0.00,24.00
17-500112,3863,Title Only,200000.00,1.00,60.00,1048.00,19.00,33.00,0.00,40.00
17-500113,3863,LCP - Title Only,35250.00,1.00,48.00,687.00,4.00,11.00,0.00,62.00
17-500115,3860,Property Report / O&E - Title Only,115000.00,2.00,43.00,591.00,6.00,12.00,0.00,46.00
17-500116,3860,Property Report / O&E - Title Only,115000.00,2.00,27.00,340.00,7.00,7.00,0.00,202.00
17-500117,3863,Title & Sub-Escrow,380000.00,1.00,41.00,459.00,19.00,8.00,1.00,45.00
2301-200078,3863,Title and Escrow,236550.00,1.00,92.00,1477.00,19.00,44.00,0.00,28.00
17-500119,3863,Title Only,263611.00,1.00,82.00,1143.00,15.00,33.00,0.00,65.00
17-500120,3860,Title & Sub-Escrow,167999.00,1.00,65.00,1486.00,23.00,44.00,0.00,57.00
17-500122,3863,Title Only,141729.00,1.00,65.00,1004.00,30.00,25.00,0.00,30.00
17-500123,3860,Title & Sub-Escrow,163817.00,1.00,76.00,1686.00,25.00,47.00,0.00,77.00
17-500124,3860,Title Only,123176.00,2.00,69.00,1226.00,23.00,42.00,0.00,72.00
17-500126,3860,Title & Sub-Escrow,104039.00,1.00,65.00,1375.00,23.00,41.00,0.00,57.00
2301-200081,3860,Title and Escrow,285000.00,2.00,51.00,592.00,23.00,8.00,1.00,45.00
17-500128,3860,Title & Sub-Escrow,109406.00,1.00,58.00,1200.00,23.00,33.00,0.00,53.00
17-500129,3860,Title & Sub-Escrow,46637.00,1.00,72.00,1488.00,24.00,39.00,0.00,66.00
2301-200082,3860,Title and Escrow,71298.00,1.00,90.00,1838.00,30.00,69.00,0.00,58.00
2301-200083,3863,Title and Escrow,101920.00,1.00,97.00,1467.00,30.00,34.00,0.00,44.00
17-500130,3860,Title Only,123662.00,2.00,55.00,1020.00,22.00,35.00,0.00,53.00
2301-200087,3863,Title and Escrow,134960.00,2.00,93.00,1657.00,37.00,46.00,0.00,35.00
2301-200088,3863,Title and Escrow,126075.00,0.00,95.00,1491.00,19.00,35.00,0.00,32.00
17-500131,3863,Title & Sub-Escrow,308500.00,1.00,38.00,388.00,17.00,4.00,1.00,45.00
2301-200089,3863,Title and Escrow,256710.00,2.00,80.00,1456.00,18.00,44.00,0.00,23.00
2301-200092,3863,Title and Escrow,152000.00,0.00,77.00,1051.00,6.00,25.00,1.00,45.00
17-500133,3863,Title & Sub-Escrow,53500.00,1.00,56.00,674.00,19.00,19.00,1.00,45.00
17-500134,3860,Title Only,176301.00,2.00,83.00,1362.00,22.00,45.00,0.00,72.00
17-500135,3860,Title Only,85222.00,1.00,74.00,1659.00,23.00,46.00,0.00,35.00
17-500136,3860,Title Only,81809.00,1.00,67.00,1284.00,23.00,35.00,0.00,70.00
2301-200096,3860,Title and Escrow,180000.00,3.00,54.00,618.00,23.00,12.00,1.00,45.00
2301-200097,3863,Title and Escrow,66120.00,2.00,91.00,1574.00,19.00,43.00,0.00,58.00
2301-200098,3863,Title and Escrow,150705.00,0.00,87.00,1660.00,17.00,34.00,0.00,30.00
17-500137,3863,Title & Full Escrow,574500.00,1.00,80.00,1258.00,19.00,30.00,0.00,100.00
2301-200100,3863,Title and Escrow,659000.00,1.00,51.00,554.00,17.00,13.00,1.00,45.00
17-500138,3863,Title & Sub-Escrow,321733.00,1.00,55.00,808.00,16.00,20.00,0.00,43.00
2301-200101,3860,Title and Escrow,304380.00,1.00,87.00,1422.00,25.00,39.00,0.00,38.00
2301-200104,3863,Title and Escrow,167796.00,2.00,89.00,1829.00,26.00,46.00,0.00,30.00
17-500139,3860,TSG - Trustee Sale Guarantee,352983.47,1.00,21.00,581.00,6.00,10.00,0.00,104.00
17-500140,3863,TSG - Trustee Sale Guarantee,1531802.62,1.00,16.00,458.00,8.00,6.00,0.00,104.00
17-500141,3863,TSG - Trustee Sale Guarantee,467173.56,1.00,19.00,538.00,15.00,12.00,0.00,104.00
17-500142,3863,Title Only,276000.00,2.00,67.00,980.00,21.00,34.00,0.00,41.00
17-500147,3863,LCP - Title Only,20000.00,2.00,70.00,1278.00,5.00,25.00,0.00,66.00
2301-200105,29189,Title and Escrow,300000.00,0.00,50.00,506.00,2.00,8.00,1.00,45.00
17-500148,3863,Title & Full Escrow,247500.00,1.00,66.00,978.00,19.00,13.00,0.00,76.00
17-500149,3863,Title Only,211713.94,1.00,35.00,421.00,18.00,5.00,1.00,45.00
2301-200106,3863,Title and Escrow,184275.00,0.00,100.00,1553.00,29.00,48.00,0.00,38.00
17-500150,3863,Title Only,890000.00,2.00,52.00,867.00,19.00,23.00,0.00,39.00
2301-200107,3860,Title and Escrow,190160.07,1.00,99.00,1755.00,19.00,48.00,0.00,42.00
17-500152,3863,Property Report / O&E - Title Only,1.00,0.00,31.00,399.00,4.00,5.00,0.00,199.00
17-500153,3863,Property Report / O&E - Title Only,1.00,0.00,31.00,381.00,4.00,5.00,0.00,199.00
17-500154,3863,Property Report / O&E - Title Only,1.00,0.00,34.00,418.00,6.00,8.00,0.00,199.00
17-500155,3860,Title & Sub-Escrow,450000.00,1.00,36.00,391.00,23.00,6.00,1.00,45.00
17-500157,3863,Title & Sub-Escrow,306000.00,2.00,73.00,1133.00,23.00,41.00,0.00,91.00
17-500158,3863,Title & Full Escrow,58000.00,1.00,86.00,1296.00,22.00,25.00,0.00,50.00
17-500159,3863,LCP - Title Only,20000.00,2.00,49.00,763.00,6.00,9.00,0.00,24.00
2301-200111,3860,Title and Escrow,159250.00,2.00,147.00,3037.00,22.00,123.00,0.00,163.00
17-500160,3863,Title Only,146704.00,1.00,84.00,1226.00,31.00,32.00,0.00,52.00
17-500161,3860,Property Report / O&E - Title Only,15000.00,1.00,49.00,616.00,3.00,15.00,0.00,63.00
17-500163,3863,Title Only,50000.00,1.00,42.00,879.00,18.00,18.00,0.00,31.00
17-500164,3863,Title & Sub-Escrow,386000.00,2.00,67.00,1085.00,19.00,32.00,0.00,35.00
17-500165,3863,Title Only,100000.00,0.00,39.00,556.00,19.00,7.00,1.00,45.00
17-500166,3860,Property Report / O&E - Title Only,25000.00,1.00,44.00,595.00,4.00,13.00,0.00,34.00
17-500167,3860,Title & Sub-Escrow,274000.00,1.00,79.00,1254.00,21.00,35.00,0.00,45.00
17-500168,3863,Title & Sub-Escrow,220000.00,2.00,40.00,464.00,22.00,5.00,1.00,45.00
17-500169,3863,Title Only,353760.00,1.00,58.00,747.00,17.00,26.00,0.00,48.00
17-500170,3860,Title Only,67000.00,2.00,61.00,1130.00,22.00,29.00,0.00,44.00
17-500171,3860,Title & Full Escrow,135600.00,1.00,73.00,1051.00,23.00,18.00,0.00,45.00
17-500172,3863,Title Only,82000.00,1.00,56.00,782.00,19.00,30.00,1.00,45.00
17-500173,3860,Title & Full Escrow,246489.00,2.00,107.00,1300.00,23.00,30.00,0.00,69.00
17-500175,3863,Title Only,253002.00,1.00,73.00,1049.00,20.00,28.00,0.00,44.00
17-500176,3863,Title & Full Escrow,220000.00,2.00,70.00,1259.00,20.00,15.00,0.00,35.00
17-500177,3863,LCP - Title Only,30000.00,1.00,60.00,1000.00,17.00,26.00,0.00,37.00
17-500178,3860,Title Only,88000.00,1.00,30.00,484.00,23.00,7.00,1.00,45.00
17-500180,3863,Title Only,334000.00,1.00,68.00,1156.00,18.00,33.00,0.00,43.00
17-500181,3860,Property Report / O&E - Title Only,42000.00,1.00,41.00,568.00,4.00,12.00,0.00,29.00
17-500183,3860,Title & Full Escrow,161997.00,2.00,94.00,1478.00,25.00,36.00,0.00,51.00
17-500185,3863,Title & Full Escrow,302000.00,1.00,78.00,1129.00,18.00,23.00,0.00,101.00
2301-200114,3863,Title and Escrow,300000.00,0.00,50.00,592.00,16.00,21.00,1.00,45.00
17-500186,3863,Title & Full Escrow,235000.00,1.00,82.00,1086.00,18.00,24.00,0.00,65.00
17-500187,3863,Title & Full Escrow,190000.00,1.00,68.00,976.00,20.00,16.00,0.00,49.00
2301-200116,3863,Title and Escrow,625000.00,2.00,66.00,822.00,31.00,29.00,1.00,45.00
2301-200117,29189,Title and Escrow,118500.00,0.00,52.00,524.00,1.00,17.00,1.00,45.00
17-500188,3863,LCP - Title Only,100000.00,1.00,41.00,776.00,4.00,15.00,0.00,31.00
17-500189,3860,Property Report / O&E - Title Only,60000.00,1.00,38.00,595.00,5.00,10.00,0.00,41.00
17-500191,3860,Title Only,163821.00,1.00,57.00,865.00,24.00,26.00,0.00,52.00
2301-200120,3860,Title and Escrow,240000.00,1.00,58.00,652.00,10.00,11.00,1.00,45.00
2301-200121,3860,Title and Escrow,96300.00,0.00,99.00,1740.00,8.00,56.00,0.00,29.00
2301-200122,3863,Title and Escrow,64920.00,0.00,95.00,1796.00,30.00,44.00,0.00,21.00
17-500193,3863,Title Only,159995.00,1.00,56.00,840.00,17.00,26.00,0.00,38.00
17-500194,3863,Title & Full Escrow,298050.00,1.00,70.00,1218.00,18.00,14.00,0.00,37.00
17-500195,3860,Property Report / O&E - Title Only,222750.00,1.00,42.00,625.00,4.00,12.00,0.00,63.00
17-500197,3863,Property Report / O&E - Title Only,1.00,2.00,29.00,336.00,5.00,4.00,0.00,199.00
2301-200123,3860,Title and Escrow,40000.00,1.00,76.00,1147.00,21.00,30.00,0.00,49.00
2301-200124,3860,Title and Escrow,97845.00,0.00,95.00,1358.00,20.00,27.00,0.00,43.00
17-500198,3863,LCP - Title Only,20000.00,0.00,46.00,731.00,4.00,9.00,0.00,90.00
2301-200125,3863,Title and Escrow,82925.00,0.00,92.00,1367.00,16.00,37.00,0.00,31.00
2301-200126,3863,Title and Escrow,363415.50,1.00,113.00,1760.00,16.00,64.00,0.00,43.00
17-500199,3863,LCP - Title Only,175000.00,0.00,34.00,401.00,4.00,5.00,1.00,45.00
17-500200,3863,Title Only,164108.00,1.00,65.00,1044.00,30.00,28.00,0.00,36.00
2301-200127,3860,Title and Escrow,91000.00,0.00,68.00,849.00,20.00,23.00,1.00,45.00
17-500201,3860,Title & Sub-Escrow,254212.00,1.00,62.00,1528.00,24.00,44.00,0.00,52.00
17-500202,3863,Title & Full Escrow,352000.00,2.00,61.00,606.00,17.00,15.00,1.00,45.00
2301-200129,3860,Title and Escrow,67390.00,0.00,117.00,2405.00,4.00,74.00,0.00,64.00
17-500204,3863,Title & Sub-Escrow,150000.00,1.00,79.00,1268.00,22.00,22.00,0.00,57.00
2301-200131,3863,Title and Escrow,131000.00,1.00,50.00,497.00,4.00,4.00,1.00,45.00
17-500205,3863,Title & Sub-Escrow,302850.00,1.00,74.00,1118.00,20.00,41.00,0.00,52.00
2301-200133,3860,Title and Escrow,197242.50,0.00,144.00,1815.00,20.00,69.00,0.00,45.00
2301-200135,3860,Title and Escrow,42080.00,0.00,101.00,1817.00,21.00,60.00,0.00,105.00
2301-200136,3863,Title and Escrow,278875.00,2.00,86.00,1635.00,19.00,44.00,0.00,31.00
2301-200137,3863,Title Only,50970.87,2.00,60.00,1271.00,32.00,30.00,0.00,21.00
2301-200138,3863,Title and Escrow,625500.00,3.00,53.00,660.00,19.00,14.00,1.00,45.00
2301-200139,3860,Title and Escrow,127470.00,0.00,94.00,1626.00,20.00,44.00,0.00,34.00
2301-200140,3863,Title Only,130000.00,0.00,56.00,573.00,26.00,14.00,1.00,45.00
17-500206,3863,Property Report / O&E - Title Only,123450.00,3.00,39.00,610.00,11.00,16.00,0.00,78.00
17-500207,3860,Title & Sub Escrow,136126.00,1.00,65.00,1029.00,21.00,29.00,0.00,63.00
17-500208,3863,Title & Sub-Escrow,177750.00,1.00,60.00,996.00,18.00,25.00,0.00,51.00
17-500209,3863,Title & Sub-Escrow,122700.00,4.00,63.00,986.00,24.00,32.00,0.00,64.00
2301-200143,3863,Title and Escrow,124650.00,0.00,84.00,1340.00,6.00,29.00,1.00,45.00
17-500210,3860,Title & Sub Escrow,254375.00,3.00,95.00,1806.00,28.00,62.00,0.00,92.00
2301-200144,3863,Title and Escrow,281320.00,2.00,99.00,1644.00,18.00,50.00,0.00,41.00
2301-200145,3863,Title and Escrow,207769.84,1.00,87.00,2623.00,8.00,79.00,0.00,49.00
17-500211,3863,Title Only,693150.00,2.00,61.00,980.00,24.00,32.00,0.00,50.00
17-500212,3860,Property Report / O&E & Full Escrow,44850.00,2.00,78.00,1035.00,8.00,29.00,0.00,50.00
2301-200146,3863,Title and Escrow,245340.00,1.00,84.00,1548.00,29.00,30.00,0.00,48.00
17-500214,3863,Title & Sub-Escrow,72000.00,1.00,56.00,759.00,21.00,20.00,0.00,76.00
17-500215,3863,LCP - Title Only,20000.00,1.00,50.00,735.00,4.00,16.00,0.00,45.00
2301-200147,29189,Title and Escrow,111285.60,0.00,67.00,1412.00,5.00,46.00,0.00,24.00
2301-200148,3863,Title and Escrow,368419.50,0.00,75.00,1375.00,17.00,45.00,0.00,63.00
17-500217,3863,Title Only,414000.00,1.00,65.00,1224.00,20.00,39.00,0.00,31.00
17-500218,3863,LCP - Title Only,57000.00,0.00,26.00,232.00,2.00,2.00,1.00,45.00
17-500219,3860,Property Report / O&E - Title Only,120000.00,1.00,46.00,607.00,4.00,12.00,0.00,52.00
17-500220,3863,Property Report / O&E - Title Only,45000.00,1.00,49.00,656.00,4.00,9.00,0.00,55.00
