"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nActions","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0177777777777778,0.05,0.165354330708661,0.0487391579068297,0.0241874527588812,0,0.22707423580786
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0663469224620304,0.05,0.133858267716535,0.0287329829398586,0.00725623582766449,1,0.187772925764192
0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0514788169464428,0.05,0.275590551181102,0.0594627778735138,0.0267161410018555,0,0.231441048034935
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.989897948556636,0.4,0.0625187689848122,0.15,0.062992125984252,0.0141605615254369,0.0048680022467702,0,0.467248908296943
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.04396482813749,0.05,0.0354330708661417,0.0175017232465966,0.00272108843537429,1,0.187772925764192
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0479616306954436,0,0.220472440944882,0.0406850585450356,0.0250626566416041,0,0.240174672489083
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.022123101518785,0.05,0.200787401574803,0.0296075305876272,0.0155844155844155,0,0.231441048034935
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0622607513988809,0.05,0.263779527559055,0.0326787641600988,0.0243465807375584,0,0.240174672489083
0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0302158273381295,0.05,0.275590551181102,0.0506031363088058,0.0253061224489796,0,0.209606986899563
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0137490007993605,0.05,0.169291338582677,0.032271382618186,0.019652305366591,0,0.22707423580786
