sFileNumber,vCoverageType,vProduct,nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
17-500974,3860,Title Only,1.00,415.00,7.00,1.00,45.00
17-500975,3863,Title Only,1.00,450.00,11.00,1.00,45.00
17-500976,3863,Title Only,2.00,726.00,24.00,0.00,44.00
17-500977,3863,Title Only,1.00,892.00,25.00,0.00,49.00
17-500978,3860,Title Only,1.00,937.00,29.00,0.00,38.00
2301-200521,3860,Title and Escrow,2.00,662.00,15.00,1.00,45.00
17-500981,3863,TSG - Trustee Sale Guarantee,1.00,505.00,10.00,0.00,90.00
17-500982,3863,TSG - Trustee Sale Guarantee,1.00,446.00,5.00,0.00,90.00
17-500983,3863,Reverse Mortgage - Title & Sub-Escrow,0.00,932.00,25.00,0.00,43.00
2301-200523,3863,Title Only,1.00,1289.00,30.00,0.00,57.00
2301-200524,3860,Title and Escrow,0.00,2007.00,64.00,0.00,41.00
17-500984,3863,LCP - Title Only,0.00,630.00,13.00,0.00,36.00
17-500985,3860,Reverse Mortgage - Title & Sub-Escrow,4.00,1247.00,37.00,0.00,84.00
2301-200525,3860,Title and Escrow,1.00,2144.00,81.00,0.00,55.00
2301-200526,3863,Title and Escrow,0.00,1677.00,52.00,0.00,66.00
17-500986,3863,LCP & Sub-Escrow,3.00,1079.00,19.00,0.00,55.00
2301-200527,3863,Title and Escrow,1.00,1311.00,38.00,0.00,43.00
17-500989,3860,Title & Sub-Escrow,1.00,1339.00,49.00,0.00,90.00
17-500990,3860,Title Only,1.00,479.00,8.00,1.00,45.00
17-500991,3860,Title Only,4.00,453.00,6.00,1.00,45.00
17-500992,3863,LCP - Title Only,1.00,374.00,5.00,1.00,45.00
17-500994,3863,Title & Sub-Escrow,1.00,1028.00,33.00,0.00,76.00
17-500995,3860,Title Only,3.00,682.00,17.00,1.00,45.00
17-500997,3863,LCP - Title Only,2.00,750.00,15.00,0.00,36.00
2301-200529,3863,Title and Escrow,1.00,1229.00,28.00,0.00,48.00
17-500998,3860,Property Report / O&E - Title Only,1.00,313.00,5.00,0.00,185.00
17-500999,3863,LCP - Title Only,1.00,657.00,16.00,0.00,28.00
17-501000,3863,LCP - Title Only,1.00,753.00,15.00,0.00,38.00
2301-200531,3863,Title and Escrow,1.00,2046.00,51.00,0.00,52.00
17-501001,3863,Title Only,2.00,644.00,19.00,0.00,66.00
17-501002,3863,Title & Sub-Escrow,1.00,400.00,7.00,1.00,45.00
2301-200532,3860,Title and Escrow,0.00,940.00,25.00,1.00,45.00
17-501004,3863,LCP - Title Only,2.00,388.00,5.00,1.00,45.00
17-501005,3860,Property Report / O&E - Title Only,1.00,646.00,12.00,0.00,57.00
17-501006,3860,Title & Sub-Escrow,1.00,1003.00,29.00,0.00,90.00
17-501007,3860,Property Report / O&E - Title Only,1.00,585.00,10.00,0.00,29.00
17-501008,3863,Title Only,1.00,600.00,15.00,0.00,41.00
2301-200536,3860,Title and Escrow,2.00,742.00,21.00,1.00,45.00
2301-200537,3863,Title and Escrow,1.00,1321.00,32.00,0.00,24.00
17-501010,3863,Title Only,0.00,240.00,6.00,1.00,45.00
2301-200539,3863,Title and Escrow,1.00,2152.00,63.00,0.00,70.00
17-501011,3863,Title Only,2.00,485.00,11.00,1.00,45.00
17-501012,3863,Title Only,1.00,712.00,22.00,0.00,27.00
2301-200540,3863,Title and Escrow,1.00,1899.00,60.00,0.00,43.00
17-501013,3860,Title & Full Escrow,2.00,418.00,7.00,1.00,45.00
17-501014,3863,Title & Sub Escrow,2.00,984.00,32.00,0.00,87.00
17-501015,3863,Property Report / O&E - Title Only,1.00,552.00,10.00,0.00,16.00
17-501016,3860,Title Only,1.00,972.00,34.00,0.00,70.00
17-501017,3863,LCP - Title Only,0.00,213.00,3.00,1.00,45.00
17-501018,3863,Legal & Vesting - Title Only,0.00,392.00,7.00,0.00,185.00
17-501019,3863,LCP & Sub-Escrow,0.00,874.00,18.00,0.00,41.00
2301-200541,3863,Title and Escrow,0.00,1244.00,42.00,0.00,31.00
17-501020,3863,LCP - Title Only,1.00,283.00,4.00,1.00,45.00
17-501021,3863,Title Only,1.00,822.00,30.00,0.00,49.00
17-501022,3863,Property Report / O&E - Title Only,1.00,345.00,6.00,0.00,185.00
17-501023,3863,Title & Sub-Escrow,1.00,828.00,20.00,0.00,51.00
2301-200542,3860,Title and Escrow,2.00,1555.00,54.00,0.00,38.00
17-501024,3860,Title Only,1.00,414.00,9.00,1.00,45.00
2301-200544,3860,Title and Escrow,0.00,1483.00,49.00,0.00,73.00
2301-200545,3860,Title and Escrow,0.00,1324.00,29.00,0.00,57.00
2301-200546,3863,Title and Escrow,1.00,1221.00,44.00,0.00,31.00
17-501025,3860,Title & Sub-Escrow,1.00,381.00,5.00,1.00,45.00
2301-200547,3863,Title and Escrow,0.00,558.00,8.00,1.00,45.00
2301-200548,3863,Title and Escrow,0.00,1809.00,54.00,0.00,27.00
17-501026,3863,LCP - Title Only,1.00,641.00,13.00,0.00,36.00
2301-200549,3863,Title and Escrow,1.00,1442.00,50.00,0.00,44.00
17-501027,3863,Title Only,1.00,745.00,20.00,0.00,36.00
17-501028,3860,Title & Sub-Escrow,2.00,628.00,8.00,1.00,45.00
17-501029,3863,LCP & Sub-Escrow,1.00,731.00,20.00,0.00,23.00
17-501030,3863,Property Report / O&E - Title Only,1.00,481.00,11.00,0.00,22.00
2301-200550,3860,Title Only,0.00,1142.00,19.00,0.00,28.00
2301-200552,3860,Title and Escrow,1.00,1570.00,41.00,0.00,49.00
17-501031,3863,Title & Full Escrow,1.00,976.00,14.00,0.00,28.00
17-501032,3863,Title & Full Escrow,1.00,1121.00,26.00,0.00,57.00
2301-200553,3863,Title and Escrow,1.00,979.00,29.00,1.00,45.00
17-501033,3863,Title & Full Escrow,1.00,1008.00,17.00,0.00,36.00
2301-200555,3863,Title and Escrow,0.00,442.00,10.00,1.00,45.00
17-501034,3863,Title & Full Escrow,2.00,1079.00,20.00,0.00,57.00
17-501035,3863,Title & Full Escrow,0.00,233.00,2.00,1.00,45.00
2301-200557,3863,Title and Escrow,0.00,544.00,8.00,1.00,45.00
17-501036,3860,Title & Full Escrow,1.00,1636.00,49.00,0.00,55.00
2301-200558,3860,Title Only,0.00,286.00,6.00,1.00,45.00
17-501037,3863,Title & Full Escrow,2.00,873.00,16.00,0.00,57.00
2301-200559,3863,Title and Escrow,1.00,1246.00,30.00,0.00,36.00
17-501038,3860,Title & Full Escrow,2.00,1043.00,22.00,0.00,34.00
17-501039,3860,Title & Full Escrow,1.00,1079.00,21.00,0.00,34.00
17-501040,3863,LCP & Sub-Escrow,0.00,884.00,15.00,0.00,90.00
17-501041,3863,Title & Full Escrow,0.00,1337.00,28.00,0.00,56.00
2301-200561,3860,Title and Escrow,3.00,1859.00,73.00,0.00,59.00
17-501042,3863,LCP - Title Only,1.00,487.00,12.00,0.00,16.00
2301-200562,3860,Title and Escrow,0.00,1670.00,44.00,0.00,27.00
17-501043,3863,Property Report / O&E - Title Only,1.00,479.00,9.00,0.00,22.00
17-501044,3863,LCP - Title Only,1.00,659.00,11.00,0.00,76.00
2301-200565,3860,Title and Escrow,1.00,1482.00,39.00,0.00,36.00
17-501045,3863,LCP - Title Only,1.00,617.00,17.00,0.00,36.00
17-501046,3863,Title & Full Escrow,1.00,421.00,6.00,1.00,45.00
2301-200566,3860,Title and Escrow,1.00,1916.00,44.00,0.00,43.00
17-501047,3863,Title & Sub-Escrow,1.00,1279.00,44.00,0.00,101.00
17-501048,3863,Title & Sub-Escrow,2.00,959.00,28.00,0.00,24.00
17-501049,3863,LCP - Title Only,1.00,399.00,5.00,1.00,45.00
2301-200567,3860,Title and Escrow,0.00,553.00,10.00,1.00,45.00
17-501050,3860,Property Report / O&E - Title Only,1.00,621.00,19.00,0.00,29.00
2301-200568,3863,Title and Escrow,0.00,1398.00,28.00,0.00,27.00
2301-200569,3860,Title and Escrow,0.00,1814.00,59.00,0.00,56.00
17-501051,3863,LCP - Title Only,1.00,682.00,17.00,0.00,35.00
17-501052,3863,LCP - Title Only,1.00,728.00,11.00,0.00,44.00
2301-200571,3860,Title and Escrow,0.00,1625.00,44.00,0.00,101.00
17-501054,3863,Title & Sub-Escrow,2.00,866.00,21.00,0.00,37.00
17-501055,3863,Title & Sub-Escrow,1.00,1095.00,21.00,0.00,37.00
2301-200573,3860,Title and Escrow,1.00,401.00,5.00,1.00,45.00
17-501056,3860,Reverse Mortgage - Title & Sub-Escrow,3.00,595.00,9.00,1.00,45.00
2301-200574,3863,Title and Escrow,0.00,1250.00,27.00,0.00,26.00
17-501057,3860,TSG - Trustee Sale Guarantee,6.00,656.00,13.00,0.00,89.00
17-501058,3860,TSG - Trustee Sale Guarantee,2.00,509.00,11.00,0.00,89.00
17-501059,3860,TSG - Trustee Sale Guarantee,3.00,489.00,8.00,0.00,89.00
17-501060,3860,TSG - Trustee Sale Guarantee,1.00,507.00,10.00,0.00,89.00
17-501061,3860,TSG - Trustee Sale Guarantee,1.00,632.00,19.00,0.00,89.00
17-501062,3860,TSG - Trustee Sale Guarantee,2.00,615.00,15.00,0.00,89.00
17-501063,3860,TSG - Trustee Sale Guarantee,1.00,408.00,8.00,0.00,89.00
17-501064,3860,Title & Sub-Escrow,1.00,519.00,9.00,1.00,45.00
17-501065,3860,Title Only,0.00,307.00,4.00,1.00,45.00
2301-200578,3863,Title and Escrow,1.00,1180.00,25.00,0.00,50.00
17-501066,3860,Title Only,2.00,424.00,4.00,1.00,45.00
17-501068,3863,TSG - Trustee Sale Guarantee,2.00,475.00,8.00,0.00,89.00
17-501069,3863,LCP - Title Only,1.00,824.00,17.00,0.00,56.00
17-501070,3860,TSG - Trustee Sale Guarantee,2.00,588.00,14.00,0.00,89.00
17-501071,3863,TSG - Trustee Sale Guarantee,2.00,470.00,7.00,0.00,89.00
17-501072,3863,TSG - Trustee Sale Guarantee,4.00,531.00,9.00,0.00,89.00
17-501073,3863,TSG - Trustee Sale Guarantee,4.00,427.00,5.00,0.00,89.00
17-501074,3863,TSG - Trustee Sale Guarantee,1.00,712.00,15.00,0.00,89.00
17-501075,3863,LCP - Title Only,1.00,648.00,15.00,0.00,35.00
2301-200580,3860,Title and Escrow,0.00,1241.00,50.00,0.00,26.00
2301-200581,3863,Title and Escrow,1.00,1609.00,44.00,0.00,35.00
2301-200582,3860,Title and Escrow,1.00,1530.00,39.00,0.00,69.00
17-501076,3860,Title & Sub-Escrow,1.00,604.00,19.00,1.00,45.00
17-501077,3863,TSG - Trustee Sale Guarantee,2.00,473.00,6.00,0.00,89.00
17-501078,3863,Title Only,1.00,436.00,6.00,1.00,45.00
2301-200583,3860,Title and Escrow,1.00,1412.00,53.00,0.00,117.00
17-501079,3863,Title Only,2.00,918.00,27.00,0.00,78.00
17-501080,3863,Title Only,2.00,1085.00,21.00,0.00,92.00
17-501081,3863,Title Only,1.00,636.00,14.00,0.00,55.00
17-501082,3863,Title Only,2.00,471.00,5.00,1.00,45.00
17-501084,3860,Property Report / O&E & Full Escrow,2.00,1105.00,34.00,0.00,37.00
17-501086,3863,Property Report / O&E - Title Only,1.00,575.00,11.00,0.00,51.00
17-501087,3860,Property Report / O&E - Title Only,2.00,556.00,16.00,0.00,43.00
17-501088,3863,Property Report / O&E - Title Only,1.00,549.00,10.00,0.00,21.00
17-501089,3863,Property Report / O&E - Title Only,0.00,1056.00,23.00,1.00,45.00
17-501090,3860,Property Report / O&E - Title Only,1.00,571.00,15.00,0.00,61.00
17-501091,3860,Property Report / O&E - Title Only,1.00,548.00,10.00,0.00,30.00
17-501092,3863,Title Only,2.00,808.00,26.00,1.00,45.00
17-501093,3863,Property Report / O&E - Title Only,3.00,505.00,14.00,0.00,37.00
17-501094,3863,Title Only,1.00,983.00,30.00,0.00,48.00
17-501095,3860,Property Report / O&E - Title Only,1.00,662.00,17.00,0.00,50.00
17-501096,3860,Property Report / O&E & Full Escrow,2.00,832.00,23.00,0.00,37.00
17-501097,3860,Property Report / O&E & Full Escrow,1.00,977.00,23.00,0.00,28.00
17-501098,3860,Property Report / O&E - Title Only,1.00,571.00,11.00,0.00,29.00
17-501099,3860,Property Report / O&E - Title Only,1.00,562.00,14.00,0.00,37.00
2301-200585,3860,Title and Escrow,1.00,729.00,9.00,1.00,45.00
17-501100,3863,Title Only,1.00,392.00,3.00,1.00,45.00
17-501101,3863,Property Report / O&E - Title Only,3.00,305.00,4.00,0.00,184.00
17-501102,3863,Title & Full Escrow,2.00,1147.00,22.00,0.00,33.00
17-501103,3860,Property Report / O&E - Title Only,2.00,548.00,12.00,0.00,43.00
17-501104,3863,LCP - Title Only,1.00,541.00,16.00,0.00,30.00
2301-200587,3860,Title and Escrow,2.00,645.00,18.00,1.00,45.00
17-501105,3863,Title Only,1.00,397.00,3.00,1.00,45.00
17-501106,3860,Title & Sub-Escrow,1.00,1621.00,48.00,0.00,134.00
2301-200588,3863,Title and Escrow,0.00,1429.00,60.00,0.00,22.00
17-501107,3860,Title Only,1.00,375.00,7.00,1.00,45.00
17-501108,3863,LCP - Title Only,1.00,1005.00,25.00,0.00,56.00
2301-200589,3863,Title and Escrow,3.00,766.00,19.00,1.00,45.00
17-501111,3863,Title & Full Escrow,2.00,1082.00,18.00,0.00,117.00
2301-200595,3863,Title and Escrow,0.00,1385.00,40.00,0.00,26.00
2301-200596,3860,Title and Escrow,1.00,1224.00,30.00,0.00,28.00
17-501117,3863,Legal & Vesting - Title Only,0.00,629.00,8.00,0.00,40.00
17-501118,3860,Title Only,1.00,871.00,22.00,0.00,48.00
17-501121,3863,Title & Full Escrow,2.00,988.00,21.00,0.00,62.00
17-501122,3863,Title Only,2.00,780.00,23.00,0.00,47.00
17-501123,3863,Title & Full Escrow,2.00,1508.00,26.00,0.00,36.00
17-501124,3863,Title Only,1.00,569.00,14.00,1.00,45.00
2301-200597,3863,Title and Escrow,1.00,1617.00,48.00,0.00,26.00
17-501125,3860,Title & Sub-Escrow,1.00,1009.00,30.00,0.00,57.00
17-501126,3863,LCP - Title Only,1.00,556.00,16.00,0.00,40.00
2301-200598,3863,Title and Escrow,2.00,1670.00,44.00,0.00,29.00
17-501127,3860,Title Only,1.00,1210.00,45.00,0.00,103.00
17-501128,3863,Title Only,1.00,663.00,18.00,0.00,23.00
17-501129,3860,Title & Sub-Escrow,3.00,413.00,5.00,1.00,45.00
2301-200599,3860,Title and Escrow,4.00,909.00,27.00,1.00,45.00
17-501131,3863,Title & Full Escrow,1.00,1151.00,21.00,0.00,41.00
17-501132,3863,LCP - Title Only,1.00,688.00,9.00,0.00,56.00
17-501134,3863,Title & Full Escrow,1.00,1475.00,26.00,0.00,37.00
2301-200600,3863,Title and Escrow,1.00,1134.00,27.00,0.00,35.00
17-501135,3863,Title & Full Escrow,1.00,454.00,6.00,1.00,45.00
17-501136,3863,LCP & Sub-Escrow,1.00,1122.00,16.00,0.00,89.00
17-501137,3863,LCP & Sub-Escrow,1.00,728.00,21.00,0.00,22.00
17-501138,3863,Reverse Mortgage - Title & Full Escrow,1.00,1803.00,35.00,0.00,189.00
17-501139,3863,LCP & Sub-Escrow,1.00,740.00,23.00,0.00,16.00
2301-200602,3863,Title and Escrow,1.00,1408.00,52.00,0.00,34.00
17-501140,3863,LCP - Title Only,1.00,378.00,6.00,1.00,45.00
17-501141,3863,LCP - Title Only,0.00,205.00,4.00,1.00,45.00
17-501142,3863,Legal & Vesting - Title Only,0.00,605.00,13.00,0.00,27.00
2301-200604,3863,Title and Escrow,0.00,349.00,6.00,1.00,45.00
17-501144,3863,Property Report / O&E - Title Only,1.00,329.00,7.00,0.00,184.00
2301-200605,3863,Title and Escrow,1.00,1513.00,52.00,0.00,43.00
2301-200606,3860,Title and Escrow,0.00,1291.00,38.00,0.00,26.00
17-501145,3863,LCP - Title Only,1.00,699.00,15.00,0.00,37.00
17-501146,3863,Title Only,2.00,1026.00,24.00,0.00,43.00
17-501147,3863,LCP & Sub-Escrow,1.00,768.00,23.00,0.00,22.00
2301-200608,3863,Title and Escrow,1.00,836.00,18.00,1.00,45.00
2301-200609,3860,Title and Escrow,2.00,627.00,10.00,1.00,45.00
17-501148,3863,Legal & Vesting - Title Only,0.00,531.00,9.00,0.00,33.00
2301-200610,3860,Title Only,2.00,535.00,7.00,1.00,45.00
17-501149,3863,Title Only,2.00,1035.00,43.00,0.00,47.00
17-501150,3860,Title Only,1.00,1224.00,44.00,0.00,106.00
17-501151,3860,Title & Sub-Escrow,1.00,1619.00,44.00,0.00,88.00
17-501152,3860,Title Only,2.00,910.00,30.00,0.00,105.00
17-501154,3863,Title Only,1.00,435.00,9.00,1.00,45.00
17-501155,3863,Title Only,1.00,905.00,26.00,0.00,36.00
17-501157,3860,Title Only,2.00,1274.00,35.00,0.00,105.00
2301-200611,3860,Title and Escrow,0.00,271.00,5.00,1.00,45.00
2301-200612,3863,Title and Escrow,1.00,1143.00,37.00,0.00,29.00
17-501158,3863,Property Report / O&E - Title Only,0.00,243.00,6.00,1.00,45.00
17-501160,3863,Title Only,1.00,1255.00,29.00,0.00,36.00
17-501161,3863,Title & Sub-Escrow,1.00,1122.00,37.00,0.00,63.00
17-501162,3860,TSG - Trustee Sale Guarantee,2.00,535.00,12.00,0.00,88.00
17-501163,3860,TSG - Trustee Sale Guarantee,4.00,630.00,19.00,0.00,88.00
17-501164,3860,TSG - Trustee Sale Guarantee,2.00,633.00,12.00,0.00,88.00
17-501165,3860,TSG - Trustee Sale Guarantee,5.00,530.00,9.00,0.00,88.00
17-501166,3860,TSG - Trustee Sale Guarantee,3.00,724.00,18.00,0.00,88.00
17-501167,3860,Property Report / O&E - Title Only,2.00,777.00,19.00,0.00,15.00
17-501168,3863,LCP - Title Only,1.00,728.00,15.00,0.00,41.00
2301-200615,3860,Title and Escrow,1.00,1635.00,53.00,0.00,53.00
17-501170,3863,TSG - Trustee Sale Guarantee,3.00,390.00,3.00,0.00,88.00
17-501171,3863,TSG - Trustee Sale Guarantee,2.00,466.00,8.00,0.00,88.00
17-501172,3863,TSG - Trustee Sale Guarantee,4.00,522.00,8.00,0.00,88.00
17-501173,3863,TSG - Trustee Sale Guarantee,10.00,499.00,7.00,0.00,88.00
17-501174,3863,TSG - Trustee Sale Guarantee,5.00,430.00,5.00,0.00,88.00
17-501175,3863,Property Report / O&E - Title Only,3.00,318.00,5.00,0.00,183.00
2301-200617,3863,Title and Escrow,1.00,1103.00,26.00,0.00,25.00
2301-200618,3863,Title and Escrow,1.00,1482.00,57.00,0.00,19.00
17-501177,3860,Title & Sub-Escrow,1.00,1313.00,30.00,0.00,36.00
17-501179,3860,Title & Full Escrow,1.00,1063.00,21.00,0.00,32.00
17-501180,3863,Title Only,0.00,401.00,4.00,1.00,45.00
17-501181,3863,Property Report / O&E - Title Only,2.00,316.00,4.00,0.00,183.00
17-501182,3860,Property Report / O&E - Title Only,1.00,587.00,13.00,0.00,29.00
17-501183,3863,Property Report / O&E - Title Only,1.00,538.00,10.00,0.00,47.00
17-501184,3860,Title & Full Escrow,1.00,1131.00,29.00,0.00,41.00
17-501185,3860,Property Report / O&E - Title Only,1.00,545.00,12.00,0.00,42.00
17-501186,3863,LCP - Title Only,0.00,344.00,4.00,0.00,208.00
2301-200620,3863,Title and Escrow,0.00,1851.00,60.00,0.00,95.00
17-501187,3863,Title & Full Escrow,0.00,323.00,6.00,1.00,45.00
2301-200621,3863,Title and Escrow,20.00,2107.00,70.00,0.00,74.00
17-501188,3863,Property Report / O&E - Title Only,2.00,593.00,14.00,0.00,32.00
2301-200622,3863,Title and Escrow,1.00,1402.00,40.00,0.00,35.00
17-501189,3863,Title & Full Escrow,1.00,1164.00,23.00,0.00,19.00
17-501190,3863,Title & Full Escrow,0.00,220.00,3.00,1.00,45.00
17-501191,3863,Title & Full Escrow,0.00,221.00,2.00,1.00,45.00
17-501192,3860,Property Report / O&E - Title Only,1.00,319.00,5.00,0.00,183.00
17-501194,3863,Title & Sub-Escrow,1.00,456.00,6.00,1.00,45.00
17-501195,3860,Reverse Mortgage - Title & Sub-Escrow,1.00,1187.00,26.00,0.00,69.00
17-501197,3863,Property Report / O&E - Title Only,3.00,565.00,13.00,0.00,33.00
17-501199,3863,Title & Sub-Escrow,1.00,1100.00,28.00,0.00,49.00
17-501200,3863,Title Only,1.00,391.00,7.00,1.00,45.00
17-501201,3860,Property Report / O&E - Title Only,1.00,592.00,9.00,0.00,25.00
17-501202,3863,Title Only,1.00,803.00,25.00,0.00,42.00
2301-200623,29189,Title and Escrow,0.00,368.00,6.00,1.00,45.00
17-501203,3863,Title & Full Escrow,0.00,237.00,4.00,1.00,45.00
17-501204,3860,Reverse Mortgage - Title Only,10.00,728.00,9.00,1.00,45.00
17-501205,3860,Property Report / O&E - Title Only,1.00,580.00,14.00,0.00,15.00
17-501206,3860,Title Only,0.00,567.00,10.00,1.00,45.00
17-501207,3863,Title & Sub-Escrow,2.00,1061.00,33.00,0.00,82.00
17-501208,3863,LCP - Title Only,0.00,216.00,3.00,1.00,45.00
17-501209,3860,Reverse Mortgage - Title & Sub-Escrow,0.00,1443.00,43.00,0.00,41.00
17-501210,3863,Title & Full Escrow,1.00,1135.00,34.00,0.00,36.00
17-501211,3863,TSG - Trustee Sale Guarantee,2.00,473.00,6.00,0.00,88.00
17-501212,3863,Title & Full Escrow,2.00,430.00,4.00,1.00,45.00
17-501213,3863,LCP & Sub-Escrow,1.00,690.00,18.00,0.00,49.00
17-501214,3863,LCP & Sub-Escrow,1.00,795.00,17.00,0.00,88.00
2301-200624,3860,Title and Escrow,0.00,1501.00,44.00,0.00,47.00
17-501215,3860,Property Report / O&E - Title Only,1.00,312.00,5.00,0.00,183.00
17-501216,3860,Property Report / O&E - Title Only,1.00,309.00,5.00,0.00,183.00
2301-200625,3863,Title and Escrow,1.00,898.00,24.00,1.00,45.00
17-501217,3863,Property Report / O&E - Title Only,1.00,583.00,13.00,0.00,43.00
17-501218,3863,Title Only,2.00,761.00,23.00,0.00,33.00
2301-200626,3860,Title and Escrow,0.00,1147.00,28.00,0.00,29.00
17-501220,3863,Property Report / O&E & Full Escrow,2.00,898.00,21.00,0.00,32.00
17-501221,3860,Reverse Mortgage - Title & Sub-Escrow,0.00,608.00,10.00,1.00,45.00
17-501222,3863,Title & Sub-Escrow,1.00,465.00,10.00,1.00,45.00
2301-200628,3860,Title and Escrow,0.00,1341.00,37.00,0.00,34.00
2301-200629,3863,Title and Escrow,1.00,567.00,11.00,1.00,45.00
17-501224,3863,Stand Alone Modification,2.00,1168.00,36.00,0.00,71.00
17-501225,3860,Title & Sub-Escrow,1.00,857.00,23.00,0.00,55.00
17-501226,3863,Title & Full Escrow,1.00,1002.00,17.00,0.00,34.00
17-501228,3863,Title & Full Escrow,1.00,823.00,15.00,0.00,32.00
17-501229,3860,Title & Full Escrow,1.00,988.00,18.00,0.00,29.00
17-501230,3860,Title Only,1.00,959.00,33.00,0.00,91.00
17-501231,3863,Title & Full Escrow,2.00,1105.00,19.00,0.00,85.00
2301-200630,3860,Title and Escrow,0.00,1558.00,57.00,0.00,34.00
2301-200631,3860,Title and Escrow,1.00,1572.00,40.00,0.00,49.00
17-501232,3863,Property Report / O&E - Title Only,1.00,521.00,10.00,0.00,88.00
17-501233,3860,Title Only,1.00,653.00,18.00,0.00,47.00
2301-200632,3863,Title and Escrow,1.00,1353.00,41.00,0.00,39.00
17-501234,3863,Title & Sub-Escrow,2.00,798.00,25.00,0.00,22.00
17-501235,3863,Title & Full Escrow,3.00,440.00,5.00,1.00,45.00
17-501236,3863,LCP - Title Only,1.00,683.00,21.00,0.00,28.00
2301-200634,3863,Title and Escrow,1.00,676.00,12.00,1.00,45.00
17-501238,3860,Property Report / O&E - Title Only,1.00,331.00,5.00,0.00,183.00
17-501239,3863,Title & Sub-Escrow,0.00,934.00,22.00,0.00,25.00
17-501240,3860,Property Report / O&E - Title Only,2.00,612.00,12.00,0.00,84.00
17-501241,3863,Title & Sub-Escrow,2.00,793.00,24.00,0.00,36.00
17-501242,3860,Property Report / O&E - Title Only,1.00,569.00,14.00,0.00,42.00
17-501243,3860,Property Report / O&E - Title Only,1.00,730.00,18.00,0.00,69.00
17-501244,3860,Property Report / O&E - Title Only,1.00,610.00,14.00,0.00,39.00
17-501245,3863,LCP & Sub-Escrow,2.00,716.00,21.00,1.00,45.00
2301-200635,3863,Title and Escrow,0.00,1181.00,29.00,0.00,32.00
17-501247,3863,Title & Sub-Escrow,2.00,1070.00,33.00,0.00,36.00
17-501248,3863,LCP - Title Only,2.00,645.00,21.00,0.00,36.00
17-501249,3860,Property Report / O&E - Title Only,1.00,312.00,5.00,0.00,183.00
17-501250,3863,LCP - Title Only,1.00,637.00,10.00,0.00,46.00
17-501251,3863,Property Report / O&E - Title Only,1.00,588.00,14.00,0.00,29.00
2301-200636,3860,Title and Escrow,3.00,509.00,7.00,1.00,45.00
17-501252,3863,LCP - Title Only,1.00,364.00,4.00,1.00,45.00
17-501254,3863,LCP - Title Only,2.00,657.00,13.00,0.00,34.00
2301-200637,3863,Title and Escrow,0.00,1308.00,32.00,0.00,46.00
17-501256,3863,Title & Full Escrow,1.00,1460.00,35.00,0.00,50.00
17-501257,3860,Title Only,3.00,1182.00,45.00,0.00,40.00
17-501258,3863,LCP - Title Only,1.00,630.00,16.00,0.00,35.00
2301-200638,3863,Title and Escrow,1.00,1225.00,29.00,0.00,42.00
17-501259,3863,Title Only,0.00,764.00,19.00,0.00,27.00
17-501260,3863,Title Only,1.00,713.00,19.00,0.00,60.00
17-501261,3860,Title & Sub-Escrow,2.00,932.00,29.00,0.00,33.00
17-501262,3860,Title & Sub-Escrow,1.00,1132.00,30.00,0.00,33.00
17-501263,3863,Title Only,1.00,929.00,31.00,0.00,38.00
17-501264,3863,Title & Sub-Escrow,0.00,1068.00,36.00,0.00,81.00
17-501265,3863,Title Only,1.00,972.00,34.00,0.00,49.00
2301-200639,3860,Title and Escrow,0.00,1569.00,35.00,0.00,35.00
17-501266,3860,Title Only,1.00,928.00,24.00,0.00,54.00
2301-200640,3860,Title and Escrow,2.00,474.00,7.00,1.00,45.00
2301-200641,3860,Title and Escrow,1.00,543.00,10.00,1.00,45.00
2301-200642,3863,Title and Escrow,2.00,1138.00,21.00,0.00,40.00
17-501268,3863,Title Only,1.00,662.00,20.00,0.00,48.00
2301-200643,3860,Title and Escrow,0.00,465.00,11.00,1.00,45.00
17-501269,3863,Title Only,1.00,978.00,32.00,0.00,42.00
17-501270,3860,TSG - Trustee Sale Guarantee,2.00,508.00,12.00,0.00,87.00
17-501271,3860,TSG - Trustee Sale Guarantee,3.00,433.00,10.00,0.00,87.00
17-501272,3863,LCP - Title Only,3.00,347.00,4.00,0.00,207.00
2301-200644,3860,Title and Escrow,2.00,480.00,8.00,1.00,45.00
17-501273,3863,LCP - Title Only,1.00,642.00,14.00,0.00,33.00
17-501274,3863,Title & Sub-Escrow,1.00,1305.00,51.00,0.00,53.00
17-501276,3863,LCP - Title Only,1.00,351.00,4.00,0.00,207.00
17-501278,3863,LCP - Title Only,0.00,197.00,3.00,1.00,45.00
17-501279,3863,Title Only,1.00,849.00,29.00,0.00,45.00
17-501280,3863,Property Report / O&E - Title Only,1.00,371.00,5.00,0.00,182.00
17-501281,3863,Reverse Mortgage - Title Only,2.00,515.00,8.00,1.00,45.00
17-501282,3863,Property Report / O&E - Title Only,1.00,333.00,4.00,0.00,182.00
17-501283,3863,Title & Sub-Escrow,1.00,863.00,19.00,0.00,76.00
17-501284,3863,TSG - Trustee Sale Guarantee,1.00,467.00,8.00,0.00,87.00
17-501285,3863,TSG - Trustee Sale Guarantee,2.00,733.00,13.00,0.00,87.00
17-501286,3860,Title Only,1.00,431.00,8.00,1.00,45.00
