sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
17-500000,3860,Refinance,111200.0,1.0,52.0,24.42592592592590,0.59259259259259,0.0,54.0
17-500001,3863,Refinance,415000.0,1.0,44.0,15.04444444444440,0.17777777777778,1.0,45.0
2301-200000,3863,Reverse Mortgage,322000.0,1.0,80.0,29.45454545454550,0.65454545454546,0.0,55.0
17-500003,3860,TSG,391054.9,3.0,26.0,8.21100917431193,0.11926605504587,0.0,109.0
17-500004,3863,Refinance,275000.0,1.0,19.0,9.77777777777778,0.06666666666667,1.0,45.0
17-500005,3863,Refinance,300000.0,0.0,66.0,20.64912280701750,0.61403508771930,0.0,57.0
17-500006,3863,Refinance,138380.0,1.0,61.0,15.45454545454550,0.38181818181818,0.0,55.0
17-500007,3863,Refinance,389441.0,1.0,77.0,16.89473684210530,0.59649122807018,0.0,57.0
2301-200001,3863,Reverse Mortgage,189000.0,1.0,80.0,25.30000000000000,0.62000000000000,0.0,50.0
17-500008,3860,Refinance,86000.0,1.0,53.0,16.70370370370370,0.48148148148148,0.0,54.0
17-500009,3860,Refinance,264000.0,1.0,82.0,27.31481481481480,0.66666666666667,0.0,54.0
2301-200003,3860,Reverse Mortgage,57420.0,3.0,97.0,55.08333333333330,1.63888888888889,0.0,36.0
2301-200004,3863,Reverse Mortgage,388435.5,2.0,73.0,27.37500000000000,0.81250000000000,0.0,48.0
17-500011,3860,Refinance,145714.0,3.0,137.0,31.98684210526320,0.96052631578947,0.0,76.0
17-500012,3863,Refinance,268111.0,2.0,76.0,19.60377358490570,0.37735849056604,0.0,53.0
17-500014,3863,Refinance,209000.0,1.0,73.0,24.46808510638300,0.38297872340426,0.0,47.0
17-500015,3863,Uninsured (Info Products),25000.0,1.0,50.0,28.40740740740740,0.44444444444444,0.0,27.0
2301-200007,3863,Reverse Mortgage,131000.0,1.0,60.0,19.68888888888890,0.13333333333333,1.0,45.0
17-500016,3863,Refinance,259462.0,1.0,72.0,19.46000000000000,0.38000000000000,0.0,50.0
17-500018,3863,Uninsured (Info Products),59400.0,1.0,48.0,16.87804878048780,0.19512195121951,0.0,41.0
17-500019,3860,Uninsured (Info Products),125000.0,2.0,51.0,18.92000000000000,0.40000000000000,0.0,50.0
2301-200008,3860,Reverse Mortgage,290000.0,3.0,75.0,21.33333333333330,0.66666666666667,1.0,45.0
2301-200009,3860,Reverse Mortgage,153000.0,0.0,57.0,15.13333333333330,0.31111111111111,1.0,45.0
2301-200010,3860,Reverse Mortgage,145000.0,0.0,66.0,16.48888888888890,0.26666666666667,1.0,45.0
17-500020,3860,Uninsured (Info Products),113000.0,2.0,49.0,21.92857142857140,0.50000000000000,0.0,28.0
2301-200011,3860,Reverse Mortgage,83360.0,0.0,94.0,78.67857142857140,1.75000000000000,0.0,28.0
2301-200012,3863,Reverse Mortgage,379678.5,0.0,53.0,11.33333333333330,0.13333333333333,1.0,45.0
17-500022,3863,Refinance,120000.0,1.0,39.0,11.11111111111110,0.13333333333333,1.0,45.0
2301-200013,3863,Reverse Mortgage,97170.0,1.0,86.0,26.16071428571430,0.62500000000000,0.0,56.0
17-500023,3863,Refinance,337500.0,1.0,40.0,10.15555555555560,0.15555555555556,1.0,45.0
2301-200014,3860,Reverse Mortgage,133750.0,0.0,99.0,44.84615384615380,1.28205128205128,0.0,39.0
17-500024,3863,Refinance,1250000.0,0.0,23.0,6.04444444444444,0.15555555555556,1.0,45.0
17-500025,3863,Uninsured (Info Products),60000.0,1.0,42.0,18.79310344827590,0.31034482758621,0.0,29.0
2301-200015,3863,Reverse Mortgage,146000.0,1.0,71.0,21.68888888888890,0.60000000000000,1.0,45.0
2301-200016,3863,Reverse Mortgage,200313.8,0.0,85.0,39.79487179487180,1.23076923076923,0.0,39.0
17-500026,3863,Refinance,320000.0,2.0,63.0,22.93023255813950,0.58139534883721,0.0,43.0
2301-200017,3863,Reverse Mortgage,80000.0,1.0,57.0,14.15555555555560,0.15555555555556,1.0,45.0
17-500027,3863,Refinance,179900.0,1.0,50.0,13.02222222222220,0.22222222222222,1.0,45.0
17-500028,3860,Uninsured (Info Products),60000.0,1.0,41.0,12.54000000000000,0.22000000000000,0.0,50.0
2301-200018,3860,Reverse Mortgage,101306.6,2.0,79.0,41.58823529411760,1.32352941176471,0.0,34.0
2301-200019,3860,Reverse Mortgage,87408.0,0.0,111.0,41.79487179487180,1.28205128205128,0.0,39.0
17-500029,3860,Uninsured (Info Products),50000.0,1.0,43.0,20.82758620689660,0.41379310344828,0.0,29.0
17-500031,3863,Refinance,25000.0,1.0,74.0,41.16279069767440,0.97674418604651,0.0,43.0
17-500032,3863,Refinance,230521.0,2.0,44.0,13.77777777777780,0.31111111111111,1.0,45.0
17-500033,3863,Uninsured (Info Products),84000.0,1.0,51.0,3.53431372549020,0.11764705882353,0.0,204.0
17-500034,3863,Refinance,250000.0,0.0,44.0,12.40000000000000,0.22222222222222,1.0,45.0
17-500035,3860,Refinance,50000.0,0.0,93.0,25.67213114754100,0.80327868852459,0.0,61.0
17-500036,3860,Uninsured (Info Products),59500.0,2.0,43.0,17.71428571428570,0.42857142857143,0.0,35.0
2301-200021,3863,Reverse Mortgage,285382.0,0.0,101.0,37.28260869565220,0.95652173913044,0.0,46.0
17-500037,3860,Uninsured (Info Products),202400.0,2.0,61.0,17.32075471698110,0.43396226415094,0.0,53.0
2301-200023,3860,Reverse Mortgage,625500.0,0.0,52.0,11.06666666666670,0.20000000000000,1.0,45.0
17-500038,3863,Refinance,95500.0,1.0,42.0,24.10344827586210,0.27586206896552,0.0,29.0
17-500039,3860,Uninsured (Info Products),28800.0,2.0,38.0,21.86206896551720,0.55172413793103,0.0,29.0
17-500042,3863,Refinance,100000.0,0.0,55.0,15.98113207547170,0.45283018867925,0.0,53.0
2301-200024,3863,Reverse Mortgage,326700.0,1.0,110.0,59.44117647058820,1.47058823529412,0.0,34.0
17-500043,3863,Refinance,65000.0,2.0,67.0,48.66666666666670,1.03703703703704,0.0,27.0
17-500044,3863,Refinance,35200.0,2.0,56.0,20.70909090909090,0.61818181818182,0.0,55.0
17-500045,3860,Uninsured (Info Products),25000.0,1.0,39.0,22.50000000000000,0.42857142857143,0.0,28.0
2301-200025,3863,Reverse Mortgage,359662.5,1.0,74.0,22.75000000000000,0.66176470588235,0.0,68.0
2301-200026,3860,Reverse Mortgage,11396.0,2.0,97.0,41.88095238095240,1.66666666666667,0.0,42.0
17-500046,3863,Uninsured (Info Products),100000.0,1.0,44.0,22.17857142857140,0.28571428571429,0.0,28.0
17-500047,3860,Uninsured (Info Products),75000.0,1.0,43.0,14.76923076923080,0.33333333333333,0.0,39.0
17-500048,3863,Refinance,35000.0,1.0,57.0,14.70909090909090,0.23636363636364,0.0,55.0
17-500049,3863,Uninsured (Info Products),100000.0,1.0,43.0,31.84210526315790,0.78947368421053,0.0,19.0
17-500050,3863,Refinance,50000.0,1.0,45.0,14.42222222222220,0.44444444444444,1.0,45.0
17-500051,3863,Refinance,40000.0,1.0,64.0,14.79687500000000,0.23437500000000,0.0,64.0
17-500052,3863,Refinance,272435.0,1.0,56.0,22.20000000000000,0.44444444444444,1.0,45.0
2301-200028,3860,Reverse Mortgage,45073.5,0.0,92.0,11.33333333333330,0.28682170542636,0.0,129.0
17-500053,3860,Refinance,36500.0,1.0,141.0,24.79629629629630,0.87037037037037,0.0,108.0
17-500054,3863,Refinance,76000.0,2.0,49.0,12.33333333333330,0.24444444444444,1.0,45.0
17-500055,3860,Refinance,188830.0,1.0,63.0,23.33928571428570,0.66071428571429,0.0,56.0
17-500056,3860,Refinance,126030.0,2.0,57.0,19.57142857142860,0.48214285714286,0.0,56.0
2301-200030,3863,Reverse Mortgage,156300.0,0.0,71.0,23.21666666666670,0.45000000000000,0.0,60.0
2301-200032,3863,Reverse Mortgage,535000.0,2.0,67.0,14.86666666666670,0.31111111111111,1.0,45.0
17-500057,3863,Refinance,100000.0,1.0,40.0,12.93617021276600,0.34042553191489,0.0,47.0
2301-200035,3863,Reverse Mortgage,625500.0,0.0,40.0,5.88888888888889,0.02222222222222,1.0,45.0
2301-200036,3860,Reverse Mortgage,184100.0,1.0,112.0,47.97500000000000,1.87500000000000,0.0,40.0
17-500059,3863,Refinance,28000.0,1.0,40.0,9.86440677966102,0.28813559322034,0.0,59.0
2301-200038,3860,Reverse Mortgage,120000.0,0.0,63.0,18.64444444444440,0.42222222222222,1.0,45.0
17-500060,3860,Refinance,147700.0,1.0,50.0,26.71428571428570,0.61904761904762,0.0,42.0
17-500061,3863,Refinance,187000.0,1.0,40.0,12.46666666666670,0.17777777777778,1.0,45.0
17-500062,3863,Refinance,417000.0,1.0,56.0,19.50000000000000,0.47619047619048,0.0,42.0
17-500063,3863,Refinance,310000.0,0.0,19.0,19.96875000000000,0.15625000000000,0.0,32.0
2301-200040,3860,Reverse Mortgage,72072.0,1.0,75.0,19.77419354838710,0.46774193548387,0.0,62.0
17-500064,3863,Refinance,400000.0,2.0,65.0,19.33333333333330,0.68888888888889,1.0,45.0
17-500065,3863,Refinance,292000.0,1.0,59.0,8.55208333333333,0.25000000000000,0.0,96.0
2301-200042,3860,Reverse Mortgage,147618.0,0.0,119.0,55.14285714285710,1.94285714285714,0.0,35.0
17-500067,3863,Refinance,30000.0,1.0,38.0,9.88888888888889,0.17777777777778,1.0,45.0
17-500069,3863,Refinance,179244.0,2.0,84.0,15.51351351351350,0.37837837837838,0.0,74.0
2301-200043,3860,Reverse Mortgage,175000.0,1.0,55.0,12.62222222222220,0.22222222222222,1.0,45.0
17-500070,3863,Refinance,262500.0,1.0,80.0,24.36734693877550,0.46938775510204,0.0,49.0
17-500071,3863,Refinance,212000.0,2.0,73.0,12.00000000000000,0.21052631578947,0.0,76.0
17-500072,3863,Refinance,80000.0,2.0,48.0,26.18518518518520,0.70370370370370,0.0,27.0
17-500074,3863,Refinance,95000.0,1.0,40.0,11.68888888888890,0.22222222222222,1.0,45.0
17-500076,3863,Refinance,319000.0,1.0,69.0,22.95918367346940,0.34693877551020,0.0,49.0
17-500078,3863,Refinance,80000.0,2.0,48.0,55.73684210526320,0.84210526315790,0.0,19.0
17-500079,3860,Refinance,213000.0,1.0,94.0,7.99545454545455,0.24090909090909,0.0,220.0
2301-200044,3860,Reverse Mortgage,170000.0,1.0,52.0,11.80000000000000,0.17777777777778,1.0,45.0
17-500081,3863,Refinance,225000.0,1.0,35.0,10.75555555555560,0.13333333333333,1.0,45.0
17-500082,3863,Uninsured (Info Products),50000.0,1.0,41.0,6.35955056179775,0.17977528089888,0.0,89.0
2301-200047,3860,Reverse Mortgage,204360.0,2.0,80.0,25.47457627118640,0.81355932203390,0.0,59.0
2301-200048,3863,Reverse Mortgage,131040.0,1.0,88.0,25.55000000000000,0.78333333333333,0.0,60.0
17-500085,3863,Refinance,119000.0,1.0,73.0,13.16216216216220,0.18918918918919,0.0,74.0
17-500086,3863,Refinance,142250.0,4.0,81.0,16.87837837837840,0.28378378378378,0.0,74.0
17-500087,3863,Refinance,267000.0,2.0,74.0,14.54666666666670,0.22666666666667,0.0,75.0
17-500088,3863,Refinance,40000.0,1.0,52.0,11.40000000000000,0.22222222222222,1.0,45.0
2301-200050,3860,Reverse Mortgage,215000.0,1.0,76.0,17.26666666666670,0.37777777777778,1.0,45.0
2301-200051,3860,Reverse Mortgage,68000.0,1.0,81.0,17.40000000000000,0.46666666666667,1.0,45.0
17-500089,3860,Refinance,94000.0,1.0,36.0,13.62222222222220,0.15555555555556,1.0,45.0
2301-200052,3863,Reverse Mortgage,384682.5,2.0,81.0,21.50000000000000,0.58823529411765,0.0,68.0
17-500090,3863,Refinance,159135.0,1.0,69.0,31.79411764705880,0.73529411764706,0.0,34.0
17-500092,3860,Refinance,166998.0,1.0,43.0,36.39285714285710,0.64285714285714,0.0,28.0
17-500094,3863,Refinance,40000.0,1.0,35.0,9.80000000000000,0.11111111111111,1.0,45.0
2301-200054,3863,Reverse Mortgage,370921.5,3.0,70.0,36.23404255319150,1.06382978723404,0.0,47.0
17-500095,3863,Refinance,96100.0,1.0,37.0,12.85714285714290,0.40476190476191,0.0,42.0
2301-200055,3863,Reverse Mortgage,270000.0,1.0,47.0,9.86666666666667,0.08888888888889,1.0,45.0
17-500096,3863,Refinance,184000.0,1.0,74.0,22.44642857142860,0.64285714285714,0.0,56.0
2301-200057,3860,Reverse Mortgage,335000.0,1.0,61.0,19.31111111111110,0.55555555555556,1.0,45.0
2301-200058,3863,Reverse Mortgage,148264.0,1.0,66.0,25.61538461538460,0.61538461538462,0.0,52.0
17-500097,3863,Refinance,68000.0,0.0,34.0,10.24444444444440,0.17777777777778,1.0,45.0
2301-200059,3863,Reverse Mortgage,370921.5,1.0,112.0,131.72222222222200,3.33333333333333,0.0,18.0
2301-200060,3860,Reverse Mortgage,142000.0,0.0,58.0,12.11111111111110,0.24444444444444,1.0,45.0
17-500098,3863,Refinance,46600.0,1.0,78.0,36.60526315789470,0.52631578947368,0.0,38.0
17-500099,3863,Refinance,50000.0,1.0,53.0,16.22916666666670,0.33333333333333,0.0,48.0
17-500100,3863,Refinance,168000.0,2.0,57.0,22.65853658536590,0.82926829268293,0.0,41.0
2301-200063,3860,Reverse Mortgage,51240.0,1.0,90.0,27.13333333333330,0.82222222222222,1.0,45.0
2301-200064,3863,Reverse Mortgage,261796.3,2.0,84.0,74.64000000000000,1.64000000000000,0.0,25.0
17-500101,3860,Uninsured (Info Products),130000.0,1.0,41.0,17.14705882352940,0.38235294117647,0.0,34.0
2301-200065,3860,Reverse Mortgage,148000.0,4.0,53.0,17.53333333333330,0.22222222222222,1.0,45.0
17-500102,3863,Uninsured (Info Products),80000.0,1.0,52.0,15.14583333333330,0.27083333333333,0.0,48.0
17-500103,3863,Refinance,60000.0,1.0,35.0,9.97777777777778,0.13333333333333,1.0,45.0
2301-200066,3863,Reverse Mortgage,50288.4,0.0,105.0,55.84848484848490,1.81818181818182,0.0,33.0
2301-200067,3863,Reverse Mortgage,362164.5,2.0,88.0,56.14285714285710,1.71428571428571,0.0,28.0
2301-200068,3863,Reverse Mortgage,234255.0,1.0,103.0,49.40425531914890,2.00000000000000,0.0,47.0
2301-200069,3863,Reverse Mortgage,288355.5,3.0,71.0,27.78333333333330,0.83333333333333,0.0,60.0
17-500106,3863,Refinance,132000.0,2.0,95.0,30.43396226415090,0.73584905660377,0.0,53.0
2301-200070,3860,Reverse Mortgage,354658.5,1.0,96.0,29.46153846153850,0.90384615384615,0.0,52.0
17-500107,3863,Refinance,625500.0,2.0,85.0,28.34693877551020,0.91836734693878,0.0,49.0
17-500109,3863,Refinance,382500.0,1.0,85.0,27.44897959183670,0.69387755102041,0.0,49.0
17-500110,3863,Refinance,100.0,1.0,33.0,2.18421052631579,0.01754385964912,0.0,228.0
2301-200074,3863,Reverse Mortgage,74090.0,0.0,87.0,79.70833333333330,1.75000000000000,0.0,24.0
17-500112,3863,Refinance,200000.0,1.0,60.0,26.20000000000000,0.82500000000000,0.0,40.0
17-500113,3863,Refinance,35250.0,1.0,48.0,11.08064516129030,0.17741935483871,0.0,62.0
17-500115,3860,Uninsured (Info Products),115000.0,2.0,43.0,12.84782608695650,0.26086956521739,0.0,46.0
17-500116,3860,Uninsured (Info Products),115000.0,2.0,27.0,1.68316831683168,0.03465346534654,0.0,202.0
17-500117,3863,Refinance,380000.0,1.0,41.0,10.20000000000000,0.17777777777778,1.0,45.0
2301-200078,3863,Reverse Mortgage,236550.0,1.0,92.0,52.75000000000000,1.57142857142857,0.0,28.0
17-500119,3863,Refinance,263611.0,1.0,82.0,17.58461538461540,0.50769230769231,0.0,65.0
17-500120,3860,Refinance,167999.0,1.0,65.0,26.07017543859650,0.77192982456140,0.0,57.0
17-500122,3863,Refinance,141729.0,1.0,65.0,33.46666666666670,0.83333333333333,0.0,30.0
17-500123,3860,Refinance,163817.0,1.0,76.0,21.89610389610390,0.61038961038961,0.0,77.0
17-500124,3860,Refinance,123176.0,2.0,69.0,17.02777777777780,0.58333333333333,0.0,72.0
17-500126,3860,Refinance,104039.0,1.0,65.0,24.12280701754390,0.71929824561404,0.0,57.0
2301-200081,3860,Reverse Mortgage,285000.0,2.0,51.0,13.15555555555560,0.17777777777778,1.0,45.0
17-500128,3860,Refinance,109406.0,1.0,58.0,22.64150943396230,0.62264150943396,0.0,53.0
17-500129,3860,Refinance,46637.0,1.0,72.0,22.54545454545450,0.59090909090909,0.0,66.0
2301-200082,3860,Reverse Mortgage,71298.0,1.0,90.0,31.68965517241380,1.18965517241379,0.0,58.0
2301-200083,3863,Reverse Mortgage,101920.0,1.0,97.0,33.34090909090910,0.77272727272727,0.0,44.0
17-500130,3860,Refinance,123662.0,2.0,55.0,19.24528301886790,0.66037735849057,0.0,53.0
2301-200087,3863,Reverse Mortgage,134960.0,2.0,93.0,47.34285714285710,1.31428571428571,0.0,35.0
2301-200088,3863,Reverse Mortgage,126075.0,0.0,95.0,46.59375000000000,1.09375000000000,0.0,32.0
17-500131,3863,Refinance,308500.0,1.0,38.0,8.62222222222222,0.08888888888889,1.0,45.0
2301-200089,3863,Reverse Mortgage,256710.0,2.0,80.0,63.30434782608700,1.91304347826087,0.0,23.0
2301-200092,3863,Reverse Mortgage,152000.0,0.0,77.0,23.35555555555560,0.55555555555556,1.0,45.0
17-500133,3863,Refinance,53500.0,1.0,56.0,14.97777777777780,0.42222222222222,1.0,45.0
17-500134,3860,Refinance,176301.0,2.0,83.0,18.91666666666670,0.62500000000000,0.0,72.0
17-500135,3860,Refinance,85222.0,1.0,74.0,47.40000000000000,1.31428571428571,0.0,35.0
17-500136,3860,Refinance,81809.0,1.0,67.0,18.34285714285710,0.50000000000000,0.0,70.0
2301-200096,3860,Reverse Mortgage,180000.0,3.0,54.0,13.73333333333330,0.26666666666667,1.0,45.0
2301-200097,3863,Reverse Mortgage,66120.0,2.0,91.0,27.13793103448280,0.74137931034483,0.0,58.0
2301-200098,3863,Reverse Mortgage,150705.0,0.0,87.0,55.33333333333330,1.13333333333333,0.0,30.0
17-500137,3863,Refinance,574500.0,1.0,80.0,12.58000000000000,0.30000000000000,0.0,100.0
2301-200100,3863,Conventional - Refinance,659000.0,1.0,51.0,12.31111111111110,0.28888888888889,1.0,45.0
17-500138,3863,Refinance,321733.0,1.0,55.0,18.79069767441860,0.46511627906977,0.0,43.0
2301-200101,3860,Reverse Mortgage,304380.0,1.0,87.0,37.42105263157890,1.02631578947368,0.0,38.0
2301-200104,3863,Reverse Mortgage,167796.0,2.0,89.0,60.96666666666670,1.53333333333333,0.0,30.0
17-500139,3860,TSG,352983.5,1.0,21.0,5.58653846153846,0.09615384615385,0.0,104.0
17-500140,3863,TSG,1531802.6,1.0,16.0,4.40384615384615,0.05769230769231,0.0,104.0
17-500141,3863,TSG,467173.6,1.0,19.0,5.17307692307692,0.11538461538462,0.0,104.0
17-500142,3863,Refinance,276000.0,2.0,67.0,23.90243902439020,0.82926829268293,0.0,41.0
17-500147,3863,Refinance,20000.0,2.0,70.0,19.36363636363640,0.37878787878788,0.0,66.0
2301-200105,29189,Reverse Mortgage,300000.0,0.0,50.0,11.24444444444440,0.17777777777778,1.0,45.0
17-500148,3863,Refinance,247500.0,1.0,66.0,12.86842105263160,0.17105263157895,0.0,76.0
17-500149,3863,Refinance,211713.9,1.0,35.0,9.35555555555556,0.11111111111111,1.0,45.0
2301-200106,3863,Reverse Mortgage,184275.0,0.0,100.0,40.86842105263160,1.26315789473684,0.0,38.0
17-500150,3863,Refinance,890000.0,2.0,52.0,22.23076923076920,0.58974358974359,0.0,39.0
2301-200107,3860,Reverse Mortgage,190160.1,1.0,99.0,41.78571428571430,1.14285714285714,0.0,42.0
17-500152,3863,Uninsured (Info Products),1.0,0.0,31.0,2.00502512562814,0.02512562814070,0.0,199.0
17-500153,3863,Uninsured (Info Products),1.0,0.0,31.0,1.91457286432161,0.02512562814070,0.0,199.0
17-500154,3863,Uninsured (Info Products),1.0,0.0,34.0,2.10050251256281,0.04020100502513,0.0,199.0
17-500155,3860,Refinance,450000.0,1.0,36.0,8.68888888888889,0.13333333333333,1.0,45.0
17-500157,3863,Refinance,306000.0,2.0,73.0,12.45054945054950,0.45054945054945,0.0,91.0
17-500158,3863,Refinance,58000.0,1.0,86.0,25.92000000000000,0.50000000000000,0.0,50.0
17-500159,3863,Refinance,20000.0,2.0,49.0,31.79166666666670,0.37500000000000,0.0,24.0
2301-200111,3860,Reverse Mortgage,159250.0,2.0,147.0,18.63190184049080,0.75460122699387,0.0,163.0
17-500160,3863,Refinance,146704.0,1.0,84.0,23.57692307692310,0.61538461538462,0.0,52.0
17-500161,3860,Uninsured (Info Products),15000.0,1.0,49.0,9.77777777777778,0.23809523809524,0.0,63.0
17-500163,3863,Refinance,50000.0,1.0,42.0,28.35483870967740,0.58064516129032,0.0,31.0
17-500164,3863,Refinance,386000.0,2.0,67.0,31.00000000000000,0.91428571428571,0.0,35.0
17-500165,3863,Refinance,100000.0,0.0,39.0,12.35555555555560,0.15555555555556,1.0,45.0
17-500166,3860,Uninsured (Info Products),25000.0,1.0,44.0,17.50000000000000,0.38235294117647,0.0,34.0
17-500167,3860,Refinance,274000.0,1.0,79.0,27.86666666666670,0.77777777777778,0.0,45.0
17-500168,3863,Refinance,220000.0,2.0,40.0,10.31111111111110,0.11111111111111,1.0,45.0
17-500169,3863,Refinance,353760.0,1.0,58.0,15.56250000000000,0.54166666666667,0.0,48.0
17-500170,3860,Refinance,67000.0,2.0,61.0,25.68181818181820,0.65909090909091,0.0,44.0
17-500171,3860,Refinance,135600.0,1.0,73.0,23.35555555555560,0.40000000000000,0.0,45.0
17-500172,3863,Refinance,82000.0,1.0,56.0,17.37777777777780,0.66666666666667,1.0,45.0
17-500173,3860,Refinance,246489.0,2.0,107.0,18.84057971014490,0.43478260869565,0.0,69.0
17-500175,3863,Refinance,253002.0,1.0,73.0,23.84090909090910,0.63636363636364,0.0,44.0
17-500176,3863,Refinance,220000.0,2.0,70.0,35.97142857142860,0.42857142857143,0.0,35.0
17-500177,3863,Refinance,30000.0,1.0,60.0,27.02702702702700,0.70270270270270,0.0,37.0
17-500178,3860,Refinance,88000.0,1.0,30.0,10.75555555555560,0.15555555555556,1.0,45.0
17-500180,3863,Refinance,334000.0,1.0,68.0,26.88372093023260,0.76744186046512,0.0,43.0
17-500181,3860,Uninsured (Info Products),42000.0,1.0,41.0,19.58620689655170,0.41379310344828,0.0,29.0
17-500183,3860,Refinance,161997.0,2.0,94.0,28.98039215686270,0.70588235294118,0.0,51.0
17-500185,3863,Refinance,302000.0,1.0,78.0,11.17821782178220,0.22772277227723,0.0,101.0
2301-200114,3863,Reverse Mortgage,300000.0,0.0,50.0,13.15555555555560,0.46666666666667,1.0,45.0
17-500186,3863,Refinance,235000.0,1.0,82.0,16.70769230769230,0.36923076923077,0.0,65.0
17-500187,3863,Refinance,190000.0,1.0,68.0,19.91836734693880,0.32653061224490,0.0,49.0
2301-200116,3863,Reverse Mortgage,625000.0,2.0,66.0,18.26666666666670,0.64444444444444,1.0,45.0
2301-200117,29189,Reverse Mortgage,118500.0,0.0,52.0,11.64444444444440,0.37777777777778,1.0,45.0
17-500188,3863,Refinance,100000.0,1.0,41.0,25.03225806451610,0.48387096774194,0.0,31.0
17-500189,3860,Uninsured (Info Products),60000.0,1.0,38.0,14.51219512195120,0.24390243902439,0.0,41.0
17-500191,3860,Refinance,163821.0,1.0,57.0,16.63461538461540,0.50000000000000,0.0,52.0
2301-200120,3860,Reverse Mortgage,240000.0,1.0,58.0,14.48888888888890,0.24444444444444,1.0,45.0
2301-200121,3860,Reverse Mortgage,96300.0,0.0,99.0,60.00000000000000,1.93103448275862,0.0,29.0
2301-200122,3863,Reverse Mortgage,64920.0,0.0,95.0,85.52380952380950,2.09523809523810,0.0,21.0
17-500193,3863,Refinance,159995.0,1.0,56.0,22.10526315789470,0.68421052631579,0.0,38.0
17-500194,3863,Refinance,298050.0,1.0,70.0,32.91891891891890,0.37837837837838,0.0,37.0
17-500195,3860,Uninsured (Info Products),222750.0,1.0,42.0,9.92063492063492,0.19047619047619,0.0,63.0
17-500197,3863,Uninsured (Info Products),1.0,2.0,29.0,1.68844221105528,0.02010050251256,0.0,199.0
2301-200123,3860,Reverse Mortgage,40000.0,1.0,76.0,23.40816326530610,0.61224489795918,0.0,49.0
2301-200124,3860,Reverse Mortgage,97845.0,0.0,95.0,31.58139534883720,0.62790697674419,0.0,43.0
17-500198,3863,Refinance,20000.0,0.0,46.0,8.12222222222222,0.10000000000000,0.0,90.0
2301-200125,3863,Reverse Mortgage,82925.0,0.0,92.0,44.09677419354840,1.19354838709677,0.0,31.0
2301-200126,3863,Reverse Mortgage,363415.5,1.0,113.0,40.93023255813950,1.48837209302326,0.0,43.0
17-500199,3863,Refinance,175000.0,0.0,34.0,8.91111111111111,0.11111111111111,1.0,45.0
17-500200,3863,Refinance,164108.0,1.0,65.0,29.00000000000000,0.77777777777778,0.0,36.0
2301-200127,3860,Reverse Mortgage,91000.0,0.0,68.0,18.86666666666670,0.51111111111111,1.0,45.0
17-500201,3860,Refinance,254212.0,1.0,62.0,29.38461538461540,0.84615384615385,0.0,52.0
17-500202,3863,Refinance,352000.0,2.0,61.0,13.46666666666670,0.33333333333333,1.0,45.0
2301-200129,3860,Reverse Mortgage,67390.0,0.0,117.0,37.57812500000000,1.15625000000000,0.0,64.0
17-500204,3863,Refinance,150000.0,1.0,79.0,22.24561403508770,0.38596491228070,0.0,57.0
2301-200131,3863,Reverse Mortgage,131000.0,1.0,50.0,11.04444444444440,0.08888888888889,1.0,45.0
17-500205,3863,Refinance,302850.0,1.0,74.0,21.50000000000000,0.78846153846154,0.0,52.0
2301-200133,3860,Reverse Mortgage,197242.5,0.0,144.0,40.33333333333330,1.53333333333333,0.0,45.0
2301-200135,3860,Reverse Mortgage,42080.0,0.0,101.0,17.30476190476190,0.57142857142857,0.0,105.0
2301-200136,3863,Reverse Mortgage,278875.0,2.0,86.0,52.74193548387100,1.41935483870968,0.0,31.0
2301-200137,3863,Reverse Mortgage,50970.9,2.0,60.0,60.52380952380950,1.42857142857143,0.0,21.0
2301-200138,3863,Reverse Mortgage,625500.0,3.0,53.0,14.66666666666670,0.31111111111111,1.0,45.0
2301-200139,3860,Reverse Mortgage,127470.0,0.0,94.0,47.82352941176470,1.29411764705882,0.0,34.0
2301-200140,3863,Reverse Mortgage,130000.0,0.0,56.0,12.73333333333330,0.31111111111111,1.0,45.0
17-500206,3863,Uninsured (Info Products),123450.0,3.0,39.0,7.82051282051282,0.20512820512821,0.0,78.0
17-500207,3860,Refinance,136126.0,1.0,65.0,16.33333333333330,0.46031746031746,0.0,63.0
17-500208,3863,Refinance,177750.0,1.0,60.0,19.52941176470590,0.49019607843137,0.0,51.0
17-500209,3863,Refinance,122700.0,4.0,63.0,15.40625000000000,0.50000000000000,0.0,64.0
2301-200143,3863,Reverse Mortgage,124650.0,0.0,84.0,29.77777777777780,0.64444444444444,1.0,45.0
17-500210,3860,Refinance,254375.0,3.0,95.0,19.63043478260870,0.67391304347826,0.0,92.0
2301-200144,3863,Reverse Mortgage,281320.0,2.0,99.0,40.09756097560980,1.21951219512195,0.0,41.0
2301-200145,3863,Reverse Mortgage,207769.8,1.0,87.0,53.53061224489800,1.61224489795918,0.0,49.0
17-500211,3863,Refinance,693150.0,2.0,61.0,19.60000000000000,0.64000000000000,0.0,50.0
17-500212,3860,Uninsured (Info Products),44850.0,2.0,78.0,20.70000000000000,0.58000000000000,0.0,50.0
2301-200146,3863,Reverse Mortgage,245340.0,1.0,84.0,32.25000000000000,0.62500000000000,0.0,48.0
