sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2301-200671,3860,Reverse Mortgage,100000.0,0.0,48.0,10.66666666666670,0.15555555555556,1.0,45.0
17-501348,3863,Refinance,64665.0,1.0,46.0,10.06849315068490,0.16438356164384,0.0,73.0
2301-200672,3863,Reverse Mortgage,174225.0,1.0,73.0,30.23404255319150,0.78723404255319,0.0,47.0
17-501349,3863,Refinance,60000.0,0.0,33.0,8.04444444444444,0.13333333333333,1.0,45.0
2301-200673,3863,Reverse Mortgage,100000.0,1.0,64.0,16.33333333333330,0.37777777777778,1.0,45.0
2301-200674,3860,Reverse Mortgage,141360.0,1.0,91.0,77.70588235294120,1.47058823529412,0.0,17.0
2301-200675,3863,Reverse Mortgage,275000.0,1.0,75.0,42.40000000000000,0.85000000000000,0.0,40.0
17-501350,3863,Refinance,35000.0,2.0,48.0,17.85365853658540,0.51219512195122,0.0,41.0
2301-200676,3863,Reverse Mortgage,253000.0,0.0,66.0,16.44117647058820,0.55882352941177,0.0,68.0
17-501351,3863,Refinance,55000.0,0.0,51.0,27.84848484848480,0.60606060606061,0.0,33.0
2301-200679,3863,Reverse Mortgage,239330.0,2.0,77.0,24.91666666666670,0.75000000000000,0.0,48.0
2301-200681,3860,Reverse Mortgage,200000.0,1.0,57.0,15.91111111111110,0.44444444444444,1.0,45.0
17-501353,3863,Refinance,267200.0,1.0,91.0,40.78125000000000,1.68750000000000,0.0,32.0
17-501354,3860,Refinance,115500.0,1.0,66.0,23.40000000000000,0.68888888888889,0.0,45.0
17-501355,3863,Refinance,75000.0,1.0,33.0,8.64444444444444,0.08888888888889,1.0,45.0
17-501356,3863,Refinance,64648.0,2.0,73.0,11.10256410256410,0.32051282051282,0.0,78.0
2301-200682,3860,Reverse Mortgage,118524.0,0.0,100.0,19.60759493670890,0.75949367088608,0.0,79.0
17-501357,3863,Refinance,23000.0,1.0,49.0,20.22580645161290,0.29032258064516,0.0,31.0
17-501358,3863,Refinance,75000.0,1.0,33.0,8.73333333333333,0.08888888888889,1.0,45.0
17-501359,3863,TSG,232984.5,1.0,18.0,5.04761904761905,0.08333333333333,0.0,84.0
2301-200683,3860,Reverse Mortgage,90000.0,0.0,47.0,8.48888888888889,0.20000000000000,1.0,45.0
17-501360,3863,TSG,512799.3,2.0,14.0,4.40476190476191,0.03571428571429,0.0,84.0
17-501361,3863,Refinance,20000.0,1.0,34.0,7.86666666666667,0.13333333333333,1.0,45.0
17-501362,3863,TSG,208025.0,5.0,22.0,5.94047619047619,0.08333333333333,0.0,84.0
17-501363,3863,Refinance,566000.0,1.0,88.0,25.66666666666670,0.64705882352941,0.0,51.0
17-501364,3863,TSG,358990.0,3.0,27.0,6.25000000000000,0.13095238095238,0.0,84.0
17-501365,3863,TSG,1370000.0,6.0,19.0,5.32142857142857,0.08333333333333,0.0,84.0
17-501366,3863,TSG,269390.2,3.0,18.0,5.16666666666667,0.05952380952381,0.0,84.0
17-501367,3863,TSG,746885.3,3.0,14.0,4.57142857142857,0.03571428571429,0.0,84.0
17-501368,3863,Refinance,163817.0,2.0,68.0,17.07017543859650,0.50877192982456,0.0,57.0
17-501369,3863,TSG,1085674.0,3.0,14.0,4.57142857142857,0.03571428571429,0.0,84.0
17-501370,3863,TSG,743102.1,1.0,19.0,4.80952380952381,0.08333333333333,0.0,84.0
17-501371,3863,TSG,237989.4,0.0,12.0,5.40000000000000,0.08888888888889,1.0,45.0
17-501373,3863,TSG,551005.7,3.0,30.0,7.05952380952381,0.14285714285714,0.0,84.0
17-501374,3860,TSG,349890.4,3.0,32.0,8.69047619047619,0.17857142857143,0.0,84.0
17-501375,3860,Refinance,75000.0,2.0,39.0,14.75555555555560,0.44444444444444,1.0,45.0
17-501376,3863,TSG,175587.3,1.0,14.0,4.52380952380952,0.05952380952381,0.0,84.0
17-501377,3860,TSG,173391.3,2.0,29.0,7.02380952380952,0.14285714285714,0.0,84.0
17-501378,3860,TSG,245094.7,2.0,16.0,4.46428571428571,0.08333333333333,0.0,84.0
17-501379,3860,TSG,206799.4,3.0,18.0,5.50000000000000,0.19047619047619,0.0,84.0
17-501380,3860,Refinance,99000.0,1.0,37.0,12.35555555555560,0.42222222222222,1.0,45.0
17-501381,3863,Refinance,30000.0,0.0,64.0,39.90000000000000,1.56666666666667,0.0,30.0
17-501382,3860,TSG,115658.8,2.0,16.0,4.11904761904762,0.05952380952381,0.0,84.0
17-501383,3860,TSG,16486.5,1.0,16.0,4.20238095238095,0.05952380952381,0.0,84.0
17-501384,3860,TSG,126885.1,1.0,16.0,4.26190476190476,0.07142857142857,0.0,84.0
2301-200684,3860,Reverse Mortgage,31560.0,0.0,80.0,44.62162162162160,1.05405405405405,0.0,37.0
17-501385,3863,Refinance,30000.0,1.0,37.0,12.72093023255810,0.34883720930233,0.0,43.0
17-501386,3863,Refinance,252500.0,0.0,28.0,4.71111111111111,0.08888888888889,1.0,45.0
2301-200685,3863,Reverse Mortgage,196560.0,1.0,69.0,52.38095238095240,1.38095238095238,0.0,21.0
2301-200687,3860,Reverse Mortgage,114660.0,2.0,80.0,69.30434782608700,1.69565217391304,0.0,23.0
2301-200688,3863,Reverse Mortgage,625500.0,1.0,47.0,8.31111111111111,0.13333333333333,1.0,45.0
17-501388,3863,Refinance,175932.0,1.0,63.0,37.06666666666670,1.16666666666667,0.0,30.0
17-501389,3863,Refinance,289000.0,1.0,61.0,18.01886792452830,0.50943396226415,0.0,53.0
17-501390,3863,Refinance,150000.0,1.0,38.0,16.15625000000000,0.56250000000000,0.0,32.0
17-501391,3863,Refinance,269230.0,1.0,67.0,18.60869565217390,0.63043478260870,0.0,46.0
17-501392,3863,Refinance,50000.0,2.0,38.0,10.36666666666670,0.33333333333333,0.0,60.0
17-501393,3860,Refinance,364000.0,1.0,74.0,21.19642857142860,0.69642857142857,0.0,56.0
17-501394,3860,Refinance,75000.0,0.0,40.0,6.40000000000000,0.06666666666667,1.0,45.0
17-501395,3863,Refinance,70000.0,1.0,55.0,14.80597014925370,0.23880597014925,0.0,67.0
2301-200690,3863,Reverse Mortgage,161214.0,1.0,116.0,26.11428571428570,0.87142857142857,0.0,70.0
17-501396,3863,Refinance,10000.0,1.0,39.0,14.62857142857140,0.45714285714286,0.0,35.0
2301-200691,3863,Reverse Mortgage,361875.0,1.0,92.0,21.44776119402990,0.71641791044776,0.0,67.0
17-501397,3863,Uninsured (Info Products),25350.7,0.0,37.0,13.88571428571430,0.17142857142857,0.0,35.0
