sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-504684,In-House with Abstractor,Uninsured (Info Products),30000.00,1.00,68.00,61.86666667,1.2,0.00,15.00
17-507704,In-House without XML,Refinance,196700.00,1.00,56.00,17.13461538,0.307692308,0.00,52.00
17-501440,In-House with Abstractor,Uninsured (Info Products),84800.00,1.00,40.00,8.029850746,0.194029851,0.00,67.00
17-507390,In-House with XML,Refinance,100000.00,1.00,44.00,14.86046512,0.325581395,0.00,43.00
17-505656,In-House with Abstractor,Refinance,74593.00,1.00,52.00,34.53571429,1.142857143,0.00,28.00
17-503750,In-House without XML,Uninsured (Info Products),100000.00,1.00,21.00,2.28,0.024,0.00,125.00
17-503153,In-House with Abstractor,Refinance,53517.00,1.00,58.00,11.89873418,0.392405063,0.00,79.00
2301-205615,In-House without XML,Reverse Mortgage,177020.00,0.00,83.00,44.03333333,1.033333333,0.00,30.00
17-502512,In-House with Abstractor,Refinance,172000.00,1.00,74.00,33.775,1.225,0.00,40.00
17-514141,In-House without XML,Refinance,262057.00,1.00,58.00,20.57142857,0.428571429,0.00,42.00
2301-202263,In-House with Abstractor,Reverse Mortgage,185000.00,1.00,55.00,11.93333333,0.355555556,1.00,45.00
2301-208128,In-House without XML,Reverse Mortgage,169600.00,1.00,68.00,29.35294118,1.058823529,0.00,34.00
17-509483,In-House without XML,Refinance,300000.00,1.00,59.00,12.28767123,0.164383562,0.00,73.00
17-515168,In-House without XML,Refinance,20000.00,1.00,34.00,19.4,0.333333333,0.00,30.00
2301-208228,In-House with Abstractor,Reverse Mortgage,625500.00,1.00,57.00,11.95555556,0.311111111,1.00,45.00
17-500549,In-House without XML,Refinance,395000.00,1.00,53.00,25.61290323,0.677419355,0.00,31.00
17-506480,In-House with Abstractor,Refinance,106000.00,1.00,66.00,23.71794872,0.41025641,0.00,39.00
17-503565,In-House without XML,Refinance,268000.00,1.00,97.00,8.847328244,0.229007634,0.00,131.00
2301-201491,In-House with Abstractor,Reverse Mortgage,157820.00,3.00,79.00,33.425,1.125,0.00,40.00
17-504583,In-House without XML,Refinance,50724.00,1.00,45.00,8.869047619,0.25,0.00,84.00
17-508845,In-House without XML,Refinance,200000.00,1.00,71.00,23.2,0.381818182,0.00,55.00
17-500864,In-House with Abstractor,Refinance,70000.00,0.00,38.00,10.35555556,0.2,1.00,45.00
17-502974,In-House without XML,Refinance,106000.00,1.00,45.00,9.888888889,0.111111111,1.00,45.00
2301-204094,In-House with Abstractor,Reverse Mortgage,267840.00,1.00,104.00,21.18292683,0.756097561,0.00,82.00
17-500522,In-House without XML,Refinance,169500.00,1.00,69.00,14.04545455,0.227272727,0.00,66.00
2301-203519,Outsourced with In-House Recording,Reverse Mortgage,500000.00,0.00,48.00,8.555555556,0.333333333,1.00,45.00
2301-206159,In-House with Abstractor,Reverse Mortgage,126720.00,1.00,99.00,20.48888889,0.844444444,1.00,45.00
2301-206651,In-House without XML,Reverse Mortgage,165360.00,1.00,83.00,44.85714286,1.057142857,0.00,35.00
17-507446,In-House with Abstractor,TSG,140157.33,1.00,12.00,359,4,0.00,0.00
17-504007,In-House without XML,Refinance,228000.00,0.00,42.00,36.84210526,0.842105263,0.00,19.00
17-504036,In-House with Abstractor,Refinance,120157.00,1.00,26.00,10.31111111,0.133333333,1.00,45.00
2301-208218,In-House without XML,Reverse Mortgage,340200.00,2.00,69.00,59.6,2.15,0.00,20.00
17-506859,In-House with Abstractor,Uninsured (Info Products),233250.00,1.00,37.00,16.28125,0.34375,0.00,32.00
17-504294,In-House without XML,Refinance,10000.00,1.00,34.00,20.44827586,0.344827586,0.00,29.00
17-505260,In-House with Abstractor,Uninsured (Info Products),430000.00,1.00,71.00,19.62222222,0.511111111,0.00,45.00
17-506996,In-House without XML,Refinance,125000.00,1.00,34.00,16.82051282,0.282051282,0.00,39.00
17-508202,In-House without XML,Uninsured (Info Products),30000.00,1.00,30.00,14.17857143,0.285714286,0.00,28.00
2301-204962,In-House without XML,Reverse Mortgage,159000.00,1.00,68.00,26,1.046511628,0.00,43.00
17-513154,In-House without XML,TSG,1284089.48,3.00,11.00,501,4,0.00,0.00
17-501429,In-House without XML,Refinance,75000.00,0.00,30.00,7.422222222,0.111111111,1.00,45.00
17-507167,In-House without XML,Refinance,120000.00,1.00,38.00,28.82608696,0.434782609,0.00,23.00
17-507984,In-House without XML,Refinance,150000.00,2.00,48.00,12.15517241,0.293103448,0.00,58.00
17-503494,In-House with Abstractor,Refinance,250000.00,0.00,34.00,29.65,0.7,0.00,20.00
17-503149,In-House without XML,Refinance,156000.00,3.00,59.00,16,0.244444444,1.00,45.00
17-506265,In-House without XML,Refinance,168861.00,1.00,36.00,9.555555556,0.155555556,1.00,45.00
2301-205959,In-House with Abstractor,Reverse Mortgage,35000.00,0.00,52.00,8.377777778,0.311111111,1.00,45.00
17-512259,In-House with XML,Refinance,64000.00,1.00,46.00,11.4,0.307692308,0.00,65.00
17-504103,In-House with Abstractor,Uninsured (Info Products),20000.00,1.00,25.00,2.1,0.028571429,0.00,140.00
2301-201928,In-House without XML,Reverse Mortgage,225000.00,3.00,44.00,10.04444444,0.088888889,1.00,45.00
17-510016,In-House with XML,Refinance,218500.00,1.00,61.00,32.75,1.027777778,0.00,36.00
2301-203998,In-House without XML,Reverse Mortgage,288580.00,1.00,72.00,22.18965517,0.5,0.00,58.00
2301-201428,In-House without XML,Reverse Mortgage,348670.00,1.00,80.00,30.63265306,1.020408163,0.00,49.00
2301-201161,In-House with Abstractor,Reverse Mortgage,56644.00,0.00,107.00,50.38888889,1.833333333,0.00,36.00
17-504317,In-House without XML,Refinance,104588.00,1.00,73.00,31.7804878,0.609756098,0.00,41.00
2301-200957,In-House without XML,Reverse Mortgage,111343.11,1.00,84.00,21.97222222,0.763888889,0.00,72.00
17-508763,In-House without XML,Uninsured (Info Products),25000.00,1.00,32.00,26.11111111,0.5,0.00,18.00
2301-201690,In-House with Abstractor,Reverse Mortgage,70000.00,0.00,54.00,13.02222222,0.4,1.00,45.00
17-510527,In-House without XML,Refinance,100000.00,1.00,55.00,19.42105263,0.210526316,0.00,57.00
2301-200377,In-House without XML,Reverse Mortgage,228750.00,1.00,79.00,33.55102041,0.673469388,0.00,49.00
2301-208211,In-House without XML,Reverse Mortgage,319630.50,1.00,64.00,35.48484848,2.575757576,0.00,33.00
17-506968,In-House without XML,Refinance,441000.00,2.00,77.00,24.84444444,0.666666667,0.00,45.00
17-512418,In-House without XML,TSG,574903.40,6.00,11.00,438,3,0.00,0.00
2301-200428,In-House with Abstractor,Reverse Mortgage,179200.00,0.00,86.00,32.23076923,0.564102564,0.00,39.00
2301-203831,In-House without XML,Reverse Mortgage,91884.00,1.00,83.00,42.13888889,1.805555556,0.00,36.00
17-506328,In-House without XML,Refinance,100000.00,1.00,36.00,28.40909091,0.454545455,0.00,22.00
17-510566,In-House without XML,Refinance,20000.00,0.00,56.00,15.25373134,0.208955224,0.00,67.00
2301-201545,In-House with Abstractor,Reverse Mortgage,300000.00,1.00,49.00,9.488888889,0.177777778,1.00,45.00
17-504930,In-House without XML,Refinance,20000.00,1.00,40.00,28.59090909,0.590909091,0.00,22.00
17-514901,In-House with Abstractor,Uninsured (Info Products),35000.00,1.00,36.00,15.68571429,0.314285714,0.00,35.00
2301-201411,In-House without XML,Reverse Mortgage,111280.00,2.00,79.00,52.43478261,1.608695652,0.00,23.00
2301-206297,In-House without XML,Reverse Mortgage,304544.00,1.00,70.00,27.3255814,0.651162791,0.00,43.00
2301-203251,In-House with Abstractor,Reverse Mortgage,52477.00,5.00,86.00,59.59375,2.125,0.00,32.00
17-512267,In-House with Abstractor,Refinance,180097.00,1.00,58.00,13.25,0.303571429,0.00,56.00
17-515246,In-House without XML,Refinance,165000.00,1.00,56.00,32.25,0.458333333,0.00,24.00
17-502941,In-House with Abstractor,Refinance,165899.00,2.00,86.00,20.69767442,0.930232558,0.00,86.00
17-500666,In-House with Abstractor,Refinance,615000.00,2.00,73.00,10.24107143,0.241071429,0.00,112.00
2301-207226,In-House without XML,Reverse Mortgage,93930.00,1.00,73.00,26.33962264,0.849056604,0.00,53.00
2301-207933,In-House without XML,Reverse Mortgage,150336.00,1.00,74.00,56.63636364,1.909090909,0.00,22.00
17-506802,In-House with Abstractor,Uninsured (Info Products),10000.00,1.00,23.00,2.59,0.03,0.00,100.00
17-500970,In-House without XML,Refinance,115000.00,0.00,54.00,10.93333333,0.2,1.00,45.00
17-502679,In-House without XML,Refinance,170590.00,0.00,62.00,15.34920635,0.317460317,0.00,63.00
17-508041,In-House with Abstractor,Uninsured (Info Products),10000.00,1.00,38.00,8.948275862,0.172413793,0.00,58.00
17-513847,In-House without XML,Refinance,73000.00,2.00,33.00,15.80487805,0.268292683,0.00,41.00
2301-209582,In-House with Abstractor,Reverse Mortgage,625500.00,0.00,45.00,7.533333333,0.088888889,1.00,45.00
17-505381,In-House without XML,Refinance,117000.00,1.00,28.00,8.2,0.088888889,1.00,45.00
17-501163,In-House with Abstractor,TSG,59794.46,4.00,28.00,7.159090909,0.215909091,0.00,88.00
2301-204893,In-House with Abstractor,Reverse Mortgage,215000.00,2.00,55.00,13.31111111,0.444444444,1.00,45.00
17-511417,In-House without XML,Refinance,296000.00,3.00,49.00,13.33333333,0.314814815,0.00,54.00
2301-206099,In-House with Abstractor,Reverse Mortgage,85000.00,3.00,66.00,15.17777778,0.6,1.00,45.00
17-515824,In-House without XML,Refinance,125000.00,1.00,29.00,37,0.642857143,0.00,14.00
17-506647,In-House without XML,TSG,591988.23,1.00,12.00,65.5,0.5,0.00,6.00
2301-200181,In-House with Abstractor,Reverse Mortgage,120000.00,1.00,57.00,15.06666667,0.466666667,1.00,45.00
17-501922,In-House without XML,Uninsured (Info Products),250000.00,3.00,28.00,1.924418605,0.023255814,0.00,172.00
17-505176,In-House without XML,Uninsured (Info Products),25000.00,0.00,31.00,16,0.333333333,0.00,30.00
17-506153,In-House with Abstractor,Uninsured (Info Products),219000.00,1.00,39.00,7.166666667,0.128205128,0.00,78.00
17-509972,In-House without XML,Refinance,20000.00,0.00,39.00,11.49122807,0.140350877,0.00,57.00
17-505753,In-House without XML,Refinance,20000.00,1.00,37.00,35,0.705882353,0.00,17.00
2301-206415,In-House with Abstractor,Reverse Mortgage,200000.00,1.00,51.00,11.44444444,0.311111111,1.00,45.00
2301-200087,In-House without XML,Reverse Mortgage,134960.00,2.00,93.00,47.34285714,1.314285714,0.00,35.00
17-510434,In-House without XML,Uninsured (Info Products),1.00,1.00,15.00,3.03030303,0.050505051,0.00,99.00
17-503611,In-House with Abstractor,Refinance,106918.00,1.00,49.00,11.3968254,0.365079365,0.00,63.00
2301-203309,In-House without XML,Reverse Mortgage,182287.00,0.00,49.00,6.977777778,0.088888889,1.00,45.00
17-505065,In-House without XML,Refinance,50000.00,1.00,41.00,26.51515152,0.393939394,0.00,33.00
17-511294,In-House without XML,Refinance,400000.00,1.00,69.00,17.42553191,0.29787234,0.00,47.00
17-505701,In-House with Abstractor,Uninsured (Info Products),250000.00,2.00,24.00,2.551724138,0.043103448,0.00,116.00
2301-208828,In-House without XML,Reverse Mortgage,380810.00,1.00,74.00,42.95833333,2.666666667,0.00,24.00
17-504915,In-House without XML,Refinance,25000.00,2.00,64.00,17.56,0.42,0.00,50.00
17-512802,In-House with Abstractor,Uninsured (Info Products),35000.00,1.00,37.00,12.90243902,0.243902439,0.00,41.00
2301-207393,In-House without XML,Reverse Mortgage,166950.00,2.00,79.00,46.54285714,1.314285714,0.00,35.00
2301-208405,In-House with Abstractor,Reverse Mortgage,100000.00,0.00,52.00,13.22222222,0.422222222,1.00,45.00
2301-204252,In-House with Abstractor,Reverse Mortgage,133078.00,0.00,78.00,20.70909091,0.6,0.00,55.00
17-513420,In-House with Abstractor,Uninsured (Info Products),25000.00,1.00,37.00,12.80952381,0.214285714,0.00,42.00
17-503741,In-House without XML,Refinance,10000.00,1.00,36.00,26.61904762,0.428571429,0.00,21.00
17-500562,In-House without XML,Refinance,25000.00,1.00,47.00,13.2745098,0.156862745,0.00,51.00
17-501283,In-House without XML,Refinance,145706.00,1.00,63.00,11.35526316,0.25,0.00,76.00
17-501631,In-House without XML,Refinance,200000.00,1.00,72.00,33.74285714,0.857142857,0.00,35.00
2301-202259,In-House with Abstractor,Reverse Mortgage,155000.00,0.00,39.00,9.466666667,0.177777778,1.00,45.00
17-504990,In-House with Abstractor,Refinance,150000.00,2.00,35.00,9.911111111,0.177777778,1.00,45.00
17-508328,In-House without XML,Uninsured (Info Products),250000.00,1.00,21.00,2.582524272,0.029126214,0.00,103.00
2301-206195,In-House with Abstractor,Reverse Mortgage,100419.00,1.00,95.00,42.30434783,1.565217391,0.00,46.00
2301-203832,In-House without XML,Reverse Mortgage,257655.00,1.00,95.00,37.33333333,1.807017544,0.00,57.00
17-505043,In-House without XML,Refinance,100000.00,0.00,69.00,20.05970149,0.402985075,0.00,67.00
2301-201135,In-House with Abstractor,Reverse Mortgage,425000.00,1.00,50.00,10.06666667,0.177777778,1.00,45.00
17-500603,In-House with Abstractor,Refinance,150000.00,1.00,47.00,19.51351351,0.567567568,0.00,37.00
2301-204916,Outsourced with In-House Recording,Reverse Mortgage,27450.00,0.00,55.00,14.55555556,0.355555556,1.00,45.00
2301-200051,In-House with Abstractor,Reverse Mortgage,68000.00,1.00,81.00,17.4,0.466666667,1.00,45.00
17-513253,In-House without XML,Refinance,398000.00,1.00,60.00,28.63636364,0.696969697,0.00,33.00
17-503697,In-House without XML,Refinance,46000.00,1.00,37.00,28.76190476,0.428571429,0.00,21.00
2301-206768,In-House without XML,Reverse Mortgage,278400.00,2.00,85.00,26.16071429,1.232142857,0.00,56.00
2301-204736,In-House with Abstractor,Reverse Mortgage,330000.00,0.00,60.00,13,0.422222222,1.00,45.00
17-501832,In-House without XML,Refinance,31795.00,1.00,47.00,23.14814815,0.62962963,0.00,27.00
2301-202858,In-House without XML,Reverse Mortgage,406575.00,0.00,64.00,19.609375,0.515625,0.00,64.00
17-507737,In-House with Abstractor,Uninsured (Info Products),250000.00,1.00,39.00,11.70454545,0.227272727,0.00,44.00
17-500664,In-House without XML,Refinance,30000.00,1.00,53.00,17.43902439,0.243902439,0.00,41.00
17-509855,In-House without XML,Uninsured (Info Products),1.00,2.00,15.00,2.990196078,0.049019608,0.00,102.00
17-506283,In-House without XML,Uninsured (Info Products),15000.00,1.00,20.00,2.351851852,0.027777778,0.00,108.00
2301-203588,In-House without XML,Reverse Mortgage,300000.00,0.00,59.00,15.06666667,0.288888889,1.00,45.00
17-513824,In-House without XML,Refinance,38000.00,1.00,34.00,17.91176471,0.352941176,0.00,34.00
17-506596,In-House without XML,Refinance,125460.00,1.00,57.00,19.74358974,0.282051282,0.00,39.00
17-501604,In-House without XML,TSG,1160000.00,2.00,22.00,7.390243902,0.134146341,0.00,82.00
2301-208089,In-House with Abstractor,Reverse Mortgage,129952.00,2.00,77.00,39.88571429,2.371428571,0.00,35.00
2301-202290,In-House without XML,Reverse Mortgage,317128.50,1.00,82.00,54.47826087,1.695652174,0.00,23.00
2301-202940,In-House without XML,Reverse Mortgage,101935.00,1.00,86.00,109.6153846,3.230769231,0.00,13.00
17-512800,In-House with Abstractor,Uninsured (Info Products),72000.00,1.00,37.00,12.82926829,0.243902439,0.00,41.00
2301-204002,In-House without XML,Reverse Mortgage,152324.00,0.00,78.00,16.11627907,0.5,0.00,86.00
17-502293,In-House with Abstractor,Uninsured (Info Products),30000.00,1.00,43.00,18.93333333,0.4,0.00,30.00
17-505545,In-House with Abstractor,Refinance,157311.00,2.00,54.00,8.504761905,0.285714286,0.00,105.00
17-509366,In-House without XML,Refinance,87342.00,1.00,67.00,12.48235294,0.341176471,0.00,85.00
17-505650,In-House without XML,Refinance,25000.00,0.00,37.00,4.644444444,0.044444444,1.00,45.00
17-503113,In-House without XML,Refinance,277445.00,1.00,62.00,19.975,0.55,0.00,40.00
17-501679,In-House without XML,Refinance,130000.00,2.00,68.00,31.25,0.65625,0.00,32.00
17-513671,In-House with Abstractor,Refinance,293300.00,1.00,76.00,23.60784314,0.68627451,0.00,51.00
17-509217,In-House with Abstractor,Refinance,50000.00,0.00,43.00,21.375,0.375,0.00,32.00
17-501185,In-House with Abstractor,Uninsured (Info Products),25000.00,1.00,40.00,12.97619048,0.285714286,0.00,42.00
2301-202114,In-House without XML,Reverse Mortgage,352782.00,0.00,37.00,5.688888889,0.088888889,1.00,45.00
17-508613,In-House with XML,Refinance,388300.00,1.00,30.00,8.733333333,0.133333333,1.00,45.00
17-502531,In-House without XML,Refinance,148000.00,0.00,26.00,5.933333333,0.088888889,1.00,45.00
17-509616,In-House without XML,Uninsured (Info Products),250000.00,2.00,35.00,17.06060606,0.333333333,0.00,33.00
17-500328,In-House with Abstractor,Uninsured (Info Products),100000.00,3.00,33.00,2.23857868,0.020304569,0.00,197.00
2301-200926,In-House with Abstractor,Reverse Mortgage,83367.00,1.00,84.00,32.78947368,1.052631579,0.00,38.00
2301-201369,In-House with Abstractor,Reverse Mortgage,81925.00,0.00,81.00,38.05405405,1.135135135,0.00,37.00
17-512562,In-House without XML,Refinance,30000.00,1.00,50.00,27.28571429,0.428571429,0.00,28.00
17-507420,In-House without XML,Refinance,148000.00,2.00,58.00,40.57142857,0.761904762,0.00,21.00
17-501612,In-House without XML,Refinance,340000.00,1.00,39.00,8.888888889,0.111111111,1.00,45.00
17-512536,In-House without XML,Refinance,346967.00,2.00,35.00,9.933333333,0.177777778,1.00,45.00
2301-205424,In-House with Abstractor,Reverse Mortgage,60000.00,1.00,60.00,11.82222222,0.377777778,1.00,45.00
17-501426,In-House without XML,Refinance,100.00,6.00,32.00,1.662100457,0.01826484,0.00,219.00
2301-207566,In-House without XML,Reverse Mortgage,127917.00,1.00,68.00,33.30769231,1.205128205,0.00,39.00
17-511178,In-House without XML,Refinance,298000.00,2.00,69.00,19.50980392,0.411764706,0.00,51.00
17-502448,In-House with Abstractor,Refinance,145653.00,1.00,31.00,12.31111111,0.222222222,1.00,45.00
17-508557,In-House with XML,Refinance,375000.00,1.00,40.00,10.3968254,0.222222222,0.00,63.00
17-506297,In-House with XML,Refinance,1.00,1.00,13.00,11.04444444,0.2,1.00,45.00
17-510695,In-House with Abstractor,Uninsured (Info Products),49000.00,2.00,68.00,18,0.396226415,0.00,53.00
17-510354,In-House without XML,Refinance,312000.00,1.00,66.00,12.23611111,0.208333333,0.00,72.00
17-504166,In-House with Abstractor,Uninsured (Info Products),50000.00,2.00,24.00,2.357664234,0.02189781,0.00,137.00
17-513128,In-House without XML,Refinance,575000.00,1.00,27.00,6.933333333,0.111111111,1.00,45.00
17-502771,In-House with Abstractor,Uninsured (Info Products),100000.00,1.00,39.00,8.268656716,0.164179104,0.00,67.00
17-501909,In-House without XML,Refinance,30000.00,1.00,40.00,21.68,0.44,0.00,25.00
2301-206509,In-House without XML,Reverse Mortgage,284271.00,1.00,81.00,36.17948718,1.153846154,0.00,39.00
17-505571,In-House without XML,Refinance,142222.00,1.00,36.00,14.66666667,0.375,0.00,48.00
17-506461,In-House with Abstractor,Uninsured (Info Products),80000.00,2.00,88.00,11.2987013,0.272727273,0.00,77.00
17-500484,In-House with Abstractor,TSG,159225.43,3.00,17.00,4.142857143,0.051020408,0.00,98.00
17-500090,In-House without XML,Refinance,159135.00,1.00,69.00,31.79411765,0.735294118,0.00,34.00
2301-208996,In-House without XML,Reverse Mortgage,195976.00,1.00,80.00,74.94444444,4.111111111,0.00,18.00
17-508901,In-House with XML,Refinance,265000.00,1.00,56.00,31.18518519,0.703703704,0.00,27.00
17-504534,In-House without XML,Refinance,1074000.00,2.00,54.00,26.66666667,0.777777778,0.00,36.00
17-508180,In-House with Abstractor,Uninsured (Info Products),100000.00,1.00,24.00,2.615384615,0.038461538,0.00,104.00
17-505163,In-House without XML,Refinance,474921.00,1.00,66.00,32.52631579,0.815789474,0.00,38.00
17-501447,In-House without XML,Refinance,40000.00,0.00,64.00,12.44047619,0.261904762,0.00,84.00
17-504089,In-House without XML,Refinance,40000.00,1.00,36.00,24.75,0.5,0.00,24.00
17-513234,In-House without XML,Refinance,142500.00,0.00,78.00,32.77777778,0.611111111,0.00,36.00
2301-206407,In-House with Abstractor,Reverse Mortgage,259200.00,1.00,77.00,19.12698413,0.968253968,0.00,63.00
2301-202518,In-House without XML,Reverse Mortgage,76125.00,1.00,71.00,85.42857143,2.142857143,0.00,14.00
17-512876,In-House with Abstractor,Refinance,228924.00,2.00,67.00,18.14285714,0.412698413,0.00,63.00
17-508823,In-House without XML,Refinance,108000.00,1.00,70.00,12.39047619,0.419047619,0.00,105.00
17-509932,In-House without XML,Refinance,73300.00,1.00,66.00,17,0.31372549,0.00,51.00
17-507376,In-House with Abstractor,Uninsured (Info Products),92800.00,2.00,38.00,16.02941176,0.352941176,0.00,34.00
17-503002,In-House without XML,Refinance,75000.00,2.00,31.00,7.977777778,0.066666667,1.00,45.00
17-504594,In-House with Abstractor,Uninsured (Info Products),13000.00,1.00,27.00,2.37593985,0.07518797,0.00,133.00
17-513338,In-House with Abstractor,TSG,157946.04,7.00,18.00,469,8,0.00,0.00
17-501127,In-House with Abstractor,Refinance,68884.00,1.00,90.00,11.74757282,0.436893204,0.00,103.00
2301-203543,In-House with Abstractor,Reverse Mortgage,125000.00,2.00,52.00,12.2,0.333333333,1.00,45.00
17-506503,In-House without XML,Refinance,176000.00,2.00,43.00,15.30612245,0.367346939,0.00,49.00
2301-201098,In-House without XML,Reverse Mortgage,141680.00,5.00,107.00,20.25454545,0.754545455,0.00,110.00
17-513981,In-House with Abstractor,Uninsured (Info Products),151300.00,1.00,37.00,20.56,0.4,0.00,25.00
17-513092,In-House with Abstractor,Uninsured (Info Products),35000.00,1.00,37.00,11.36734694,0.265306122,0.00,49.00
17-509397,In-House with Abstractor,Uninsured (Info Products),25800.00,2.00,38.00,14.45945946,0.297297297,0.00,37.00
17-503575,In-House with Abstractor,Refinance,312123.00,1.00,48.00,13.38181818,0.363636364,0.00,55.00
2301-202938,In-House with Abstractor,Reverse Mortgage,228000.00,3.00,66.00,23.08888889,0.711111111,1.00,45.00
17-513330,In-House without XML,Refinance,40000.00,1.00,60.00,22.06,0.4,0.00,50.00
2301-207019,In-House with Abstractor,Reverse Mortgage,300000.00,2.00,58.00,18.06666667,0.555555556,1.00,45.00
17-504560,In-House without XML,Refinance,386200.00,2.00,62.00,17.24561404,0.368421053,0.00,57.00
2301-203459,In-House without XML,Reverse Mortgage,86800.00,1.00,82.00,66.08695652,1.826086957,0.00,23.00
17-510245,In-House without XML,Refinance,15000.00,1.00,36.00,32.55555556,0.611111111,0.00,18.00
17-502660,In-House with Abstractor,Refinance,166500.00,1.00,68.00,5.311881188,0.173267327,0.00,202.00
2301-204057,In-House without XML,Reverse Mortgage,97650.00,2.00,87.00,36,0.891891892,0.00,37.00
17-510921,In-House without XML,Refinance,130000.00,1.00,54.00,19.8125,0.354166667,0.00,48.00
2301-202250,In-House without XML,Reverse Mortgage,78000.00,2.00,60.00,24.13333333,1.111111111,1.00,45.00
2301-205750,In-House without XML,Reverse Mortgage,76860.00,0.00,91.00,21.45454545,0.74025974,0.00,77.00
17-507466,In-House with Abstractor,Uninsured (Info Products),59580.00,2.00,28.00,21.6,0.5,0.00,20.00
17-513190,In-House without XML,Refinance,339140.00,1.00,38.00,23.51724138,0.413793103,0.00,29.00
17-513815,In-House without XML,Refinance,219700.00,1.00,69.00,21.54761905,0.404761905,0.00,42.00
17-512689,In-House with XML,Refinance,307500.00,0.00,44.00,8.6,0.177777778,1.00,45.00
2301-206608,In-House without XML,Reverse Mortgage,72120.00,0.00,84.00,42.66666667,1.277777778,0.00,36.00
2301-201031,In-House with Abstractor,Reverse Mortgage,80000.00,4.00,52.00,10.91111111,0.155555556,1.00,45.00
17-500697,In-House with Abstractor,Uninsured (Info Products),15000.00,1.00,42.00,21.57692308,0.423076923,0.00,26.00
17-502889,In-House with Abstractor,Refinance,90000.00,2.00,71.00,24.11904762,0.5,0.00,42.00
17-506895,In-House with Abstractor,Refinance,90000.00,1.00,57.00,11.66666667,0.320987654,0.00,81.00
17-507932,In-House with XML,Refinance,249550.00,1.00,49.00,29.41176471,0.764705882,0.00,34.00
17-500176,In-House without XML,Refinance,220000.00,2.00,70.00,35.97142857,0.428571429,0.00,35.00
2301-207140,In-House without XML,Reverse Mortgage,431595.00,1.00,78.00,35.13888889,1.277777778,0.00,36.00
2301-201692,In-House with Abstractor,Reverse Mortgage,252000.00,1.00,83.00,21.95555556,0.555555556,1.00,45.00
2301-205141,In-House with Abstractor,Reverse Mortgage,83080.00,0.00,109.00,23.62195122,1.390243902,0.00,82.00
17-511804,In-House with Abstractor,Refinance,65000.00,1.00,58.00,43.55,0.75,0.00,20.00
17-503658,In-House without XML,Refinance,141300.00,0.00,36.00,4.977777778,0.088888889,1.00,45.00
17-502284,In-House with Abstractor,Uninsured (Info Products),25750.00,1.00,42.00,16.19444444,0.388888889,0.00,36.00
17-501707,In-House without XML,Refinance,25000.00,1.00,71.00,14.58426966,0.280898876,0.00,89.00
17-505138,In-House with Abstractor,Refinance,495000.00,2.00,83.00,20.34328358,0.373134328,0.00,67.00
17-507263,In-House with XML,Refinance,100000.00,1.00,47.00,9.555555556,0.222222222,1.00,45.00
2301-208253,In-House without XML,Reverse Mortgage,330561.00,1.00,74.00,49.95833333,1.875,0.00,24.00
2301-202393,In-House without XML,Reverse Mortgage,68250.00,1.00,71.00,29.68888889,0.644444444,0.00,45.00
17-509717,In-House without XML,TSG,103971.57,1.00,11.00,401,3,0.00,0.00
2301-203847,In-House with Abstractor,Reverse Mortgage,275000.00,1.00,50.00,11.22222222,0.266666667,1.00,45.00
17-505258,In-House without XML,Refinance,146000.00,3.00,56.00,25.31578947,0.368421053,0.00,38.00
17-501082,In-House without XML,Refinance,120537.00,2.00,34.00,10.46666667,0.111111111,1.00,45.00
17-502655,In-House without XML,Refinance,119000.00,2.00,69.00,19.91666667,0.333333333,0.00,48.00
17-501407,In-House without XML,Uninsured (Info Products),250000.00,2.00,29.00,2.039106145,0.027932961,0.00,179.00
2301-202388,In-House with XML,Reverse Mortgage,100000.00,1.00,40.00,6.377777778,0.066666667,1.00,45.00
17-503660,In-House without XML,Refinance,388000.00,1.00,67.00,12.59701493,0.253731343,0.00,67.00
2301-202848,In-House with Abstractor,Reverse Mortgage,300000.00,1.00,62.00,17.8,0.466666667,1.00,45.00
17-506614,In-House without XML,Refinance,295500.00,1.00,42.00,25.44444444,0.481481481,0.00,27.00
17-513345,In-House with Abstractor,TSG,199930.74,1.00,12.00,460,4,0.00,0.00
2301-203013,In-House with Abstractor,Reverse Mortgage,38570.00,1.00,119.00,13.57936508,0.476190476,0.00,126.00
17-511357,In-House with Abstractor,Uninsured (Info Products),40000.00,1.00,37.00,9.509090909,0.181818182,0.00,55.00
17-507900,In-House without XML,Refinance,50000.00,1.00,34.00,22.88888889,0.333333333,0.00,27.00
17-502223,In-House with Abstractor,Refinance,234400.00,2.00,62.00,14.73913043,0.434782609,0.00,69.00
2301-206034,In-House without XML,Reverse Mortgage,625500.00,1.00,45.00,10.26666667,0.355555556,1.00,45.00
17-503694,In-House without XML,Refinance,176600.00,1.00,44.00,28.86363636,0.590909091,0.00,22.00
17-509869,In-House without XML,Refinance,277848.00,2.00,66.00,17.90384615,0.269230769,0.00,52.00
17-501552,In-House without XML,Refinance,62200.00,1.00,50.00,8.244444444,0.088888889,1.00,45.00
2301-201361,In-House with Abstractor,Reverse Mortgage,119000.00,1.00,71.00,21.42222222,0.622222222,1.00,45.00
