sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-512286,In-House with Abstractor,Uninsured (Info Products),50000.00,1.00,40.00,18.55555556,0.407407407,0.00,27.00
17-513333,In-House without XML,Refinance,430000.00,1.00,28.00,8.511111111,0.177777778,1.00,45.00
2301-204155,In-House with Abstractor,Reverse Mortgage,107820.00,0.00,77.00,22.35714286,0.839285714,0.00,56.00
2301-205268,In-House with Abstractor,Reverse Mortgage,50212.00,0.00,78.00,21.46478873,0.690140845,0.00,71.00
17-502984,In-House with Abstractor,Refinance,168000.00,1.00,57.00,17.70909091,0.545454545,0.00,55.00
17-501540,In-House without XML,Refinance,250000.00,0.00,52.00,17.52380952,0.547619048,0.00,42.00
17-508906,In-House without XML,Uninsured (Info Products),25000.00,1.00,33.00,18.53846154,0.423076923,0.00,26.00
2301-203878,In-House with Abstractor,Reverse Mortgage,120000.00,3.00,56.00,13.22222222,0.333333333,1.00,45.00
2301-203990,In-House with Abstractor,Reverse Mortgage,335000.00,0.00,63.00,15.06666667,0.577777778,1.00,45.00
17-510255,In-House with XML,Refinance,352550.00,1.00,61.00,20.15686275,0.431372549,0.00,51.00
17-514526,In-House without XML,Refinance,340890.00,0.00,39.00,6.311111111,0.133333333,1.00,45.00
17-506145,In-House without XML,Refinance,27000.00,1.00,42.00,8.111111111,0.177777778,1.00,45.00
17-512538,In-House without XML,Refinance,446000.00,1.00,60.00,28.31428571,0.714285714,0.00,35.00
17-501354,In-House with Abstractor,Refinance,115500.00,1.00,66.00,23.4,0.688888889,0.00,45.00
2301-202183,In-House with Abstractor,Reverse Mortgage,115000.00,1.00,51.00,11.35555556,0.177777778,1.00,45.00
2301-207903,In-House with Abstractor,Reverse Mortgage,310000.00,2.00,48.00,9.2,0.2,1.00,45.00
17-514570,In-House without XML,Uninsured (Info Products),100000.00,2.00,33.00,17.83333333,0.333333333,0.00,30.00
17-510500,In-House with XML,Refinance,367500.00,3.00,35.00,7.3125,0.177083333,0.00,96.00
17-510462,In-House without XML,Uninsured (Info Products),200000.00,1.00,15.00,2.636363636,0.03030303,0.00,99.00
2301-201343,In-House without XML,Reverse Mortgage,162400.00,2.00,68.00,48.125,1.125,0.00,24.00
2301-207415,In-House without XML,Reverse Mortgage,39680.00,2.00,73.00,38.52941176,1.294117647,0.00,34.00
17-502298,In-House without XML,Refinance,20000.00,1.00,48.00,21.03571429,0.428571429,0.00,28.00
2301-203282,In-House without XML,Reverse Mortgage,95400.00,2.00,80.00,39.2195122,1.536585366,0.00,41.00
2301-200140,In-House without XML,Reverse Mortgage,130000.00,0.00,56.00,12.73333333,0.311111111,1.00,45.00
17-502197,In-House with Abstractor,Uninsured (Info Products),47800.00,2.00,75.00,10.05952381,0.333333333,0.00,84.00
2301-202376,In-House without XML,Reverse Mortgage,167040.00,0.00,79.00,8.524137931,0.344827586,0.00,145.00
17-502183,In-House with Abstractor,TSG,163554.00,0.00,12.00,6.688888889,0.244444444,1.00,45.00
2301-202814,In-House without XML,Reverse Mortgage,201115.00,2.00,73.00,18.18181818,0.409090909,0.00,66.00
17-500870,In-House without XML,Refinance,13340.00,1.00,48.00,17.625,0.5,0.00,40.00
2301-203409,In-House without XML,Reverse Mortgage,525000.00,1.00,47.00,9.2,0.177777778,1.00,45.00
17-516066,In-House without XML,Refinance,214000.00,2.00,22.00,8.311111111,0.088888889,1.00,45.00
17-507843,In-House without XML,Uninsured (Info Products),35000.00,1.00,34.00,15.17142857,0.257142857,0.00,35.00
17-500161,In-House with Abstractor,Uninsured (Info Products),15000.00,1.00,49.00,9.777777778,0.238095238,0.00,63.00
