nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
1.00,1200.00,33.00,0.00,53.00
1.00,1488.00,39.00,0.00,66.00
1.00,1838.00,69.00,0.00,58.00
1.00,1467.00,34.00,0.00,44.00
2.00,1020.00,35.00,0.00,53.00
2.00,1657.00,46.00,0.00,35.00
0.00,1491.00,35.00,0.00,32.00
1.00,388.00,4.00,1.00,45.00
2.00,1456.00,44.00,0.00,23.00
0.00,1051.00,25.00,1.00,45.00
1.00,674.00,19.00,1.00,45.00
2.00,1362.00,45.00,0.00,72.00
1.00,1659.00,46.00,0.00,35.00
1.00,1284.00,35.00,0.00,70.00
3.00,618.00,12.00,1.00,45.00
2.00,1574.00,43.00,0.00,58.00
0.00,1660.00,34.00,0.00,30.00
1.00,1258.00,30.00,0.00,100.00
1.00,554.00,13.00,1.00,45.00
1.00,808.00,20.00,0.00,43.00
1.00,1422.00,39.00,0.00,38.00
2.00,1829.00,46.00,0.00,30.00
1.00,581.00,10.00,0.00,104.00
1.00,458.00,6.00,0.00,104.00
1.00,538.00,12.00,0.00,104.00
2.00,980.00,34.00,0.00,41.00
2.00,1278.00,25.00,0.00,66.00
0.00,506.00,8.00,1.00,45.00
1.00,978.00,13.00,0.00,76.00
1.00,421.00,5.00,1.00,45.00
0.00,1553.00,48.00,0.00,38.00
2.00,867.00,23.00,0.00,39.00
1.00,1755.00,48.00,0.00,42.00
0.00,399.00,5.00,0.00,199.00
0.00,381.00,5.00,0.00,199.00
0.00,418.00,8.00,0.00,199.00
1.00,391.00,6.00,1.00,45.00
2.00,1133.00,41.00,0.00,91.00
1.00,1296.00,25.00,0.00,50.00
2.00,763.00,9.00,0.00,24.00
2.00,3037.00,123.00,0.00,163.00
1.00,1226.00,32.00,0.00,52.00
1.00,616.00,15.00,0.00,63.00
1.00,879.00,18.00,0.00,31.00
2.00,1085.00,32.00,0.00,35.00
0.00,556.00,7.00,1.00,45.00
1.00,595.00,13.00,0.00,34.00
1.00,1254.00,35.00,0.00,45.00
2.00,464.00,5.00,1.00,45.00
1.00,747.00,26.00,0.00,48.00
2.00,1130.00,29.00,0.00,44.00
1.00,1051.00,18.00,0.00,45.00
1.00,782.00,30.00,1.00,45.00
2.00,1300.00,30.00,0.00,69.00
1.00,1049.00,28.00,0.00,44.00
2.00,1259.00,15.00,0.00,35.00
1.00,1000.00,26.00,0.00,37.00
1.00,484.00,7.00,1.00,45.00
1.00,1156.00,33.00,0.00,43.00
1.00,568.00,12.00,0.00,29.00
2.00,1478.00,36.00,0.00,51.00
1.00,1129.00,23.00,0.00,101.00
0.00,592.00,21.00,1.00,45.00
1.00,1086.00,24.00,0.00,65.00
1.00,976.00,16.00,0.00,49.00
2.00,822.00,29.00,1.00,45.00
0.00,524.00,17.00,1.00,45.00
1.00,776.00,15.00,0.00,31.00
1.00,595.00,10.00,0.00,41.00
1.00,865.00,26.00,0.00,52.00
1.00,652.00,11.00,1.00,45.00
0.00,1740.00,56.00,0.00,29.00
0.00,1796.00,44.00,0.00,21.00
1.00,840.00,26.00,0.00,38.00
1.00,1218.00,14.00,0.00,37.00
1.00,625.00,12.00,0.00,63.00
2.00,336.00,4.00,0.00,199.00
1.00,1147.00,30.00,0.00,49.00
0.00,1358.00,27.00,0.00,43.00
0.00,731.00,9.00,0.00,90.00
0.00,1367.00,37.00,0.00,31.00
1.00,1760.00,64.00,0.00,43.00
0.00,401.00,5.00,1.00,45.00
1.00,1044.00,28.00,0.00,36.00
0.00,849.00,23.00,1.00,45.00
1.00,1528.00,44.00,0.00,52.00
2.00,606.00,15.00,1.00,45.00
0.00,2405.00,74.00,0.00,64.00
1.00,1268.00,22.00,0.00,57.00
1.00,497.00,4.00,1.00,45.00
1.00,1118.00,41.00,0.00,52.00
0.00,1815.00,69.00,0.00,45.00
0.00,1817.00,60.00,0.00,105.00
2.00,1635.00,44.00,0.00,31.00
2.00,1271.00,30.00,0.00,21.00
3.00,660.00,14.00,1.00,45.00
0.00,1626.00,44.00,0.00,34.00
0.00,573.00,14.00,1.00,45.00
3.00,610.00,16.00,0.00,78.00
1.00,1029.00,29.00,0.00,63.00
1.00,996.00,25.00,0.00,51.00
4.00,986.00,32.00,0.00,64.00
0.00,1340.00,29.00,1.00,45.00
