sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-500000,3860,Title & Sub-Escrow,111200.00,120000.00,-8800.00,1.00,52.00,1319.00,18.00,32.00,0.00,54.00
17-500001,3863,Title & Sub-Escrow,415000.00,400000.00,15000.00,1.00,44.00,677.00,19.00,8.00,1.00,45.00
2301-200000,3863,Title and Escrow,322000.00,809250.00,-487250.00,1.00,80.00,1620.00,17.00,36.00,0.00,55.00
17-500003,3860,TSG - Trustee Sale Guarantee,391054.89,835020.16,-443965.27,3.00,26.00,895.00,26.00,13.00,0.00,109.00
17-500004,3863,LCP - Title Only,275000.00,78000.00,197000.00,1.00,19.00,440.00,8.00,3.00,1.00,45.00
17-500005,3863,Reverse Mortgage - Title Only,300000.00,0.00,300000.00,0.00,66.00,1177.00,17.00,35.00,0.00,57.00
17-500006,3863,Title Only,138380.00,107211.00,31169.00,1.00,61.00,850.00,18.00,21.00,0.00,55.00
17-500007,3863,Title Only,389441.00,321810.00,67631.00,1.00,77.00,963.00,16.00,34.00,0.00,57.00
2301-200001,3863,Title and Escrow,189000.00,139500.00,49500.00,1.00,80.00,1265.00,16.00,31.00,0.00,50.00
17-500008,3860,Title & Sub-Escrow,86000.00,126000.00,-40000.00,1.00,53.00,902.00,21.00,26.00,0.00,54.00
17-500009,3860,Title & Full Escrow,264000.00,309294.00,-45294.00,1.00,82.00,1475.00,21.00,36.00,0.00,54.00
2301-200003,3860,Title and Escrow,57420.00,24544.16,32875.84,3.00,97.00,1983.00,24.00,59.00,0.00,36.00
2301-200004,3863,Title and Escrow,388435.50,466500.00,-78064.50,2.00,73.00,1314.00,19.00,39.00,0.00,48.00
17-500011,3860,Title & Full Escrow,145714.00,270667.44,-124953.44,3.00,137.00,2431.00,18.00,73.00,0.00,76.00
17-500012,3863,Title & Full Escrow,268111.00,190660.50,77450.50,2.00,76.00,1039.00,18.00,20.00,0.00,53.00
17-500014,3863,Title & Full Escrow,209000.00,185000.00,24000.00,1.00,73.00,1150.00,21.00,18.00,0.00,47.00
17-500015,3863,Property Report / O&E - Title Only,25000.00,228250.00,-203250.00,1.00,50.00,767.00,4.00,12.00,0.00,27.00
2301-200007,3863,Title and Escrow,131000.00,75000.00,56000.00,1.00,60.00,886.00,4.00,6.00,1.00,45.00
17-500016,3863,Title & Full Escrow,259462.00,216015.00,43447.00,1.00,72.00,973.00,17.00,19.00,0.00,50.00
17-500018,3863,Property Report / O&E - Title Only,59400.00,420778.00,-361378.00,1.00,48.00,692.00,4.00,8.00,0.00,41.00
17-500019,3860,Property Report / O&E - Title Only,125000.00,175000.00,-50000.00,2.00,51.00,946.00,5.00,20.00,0.00,50.00
2301-200008,3860,Title and Escrow,290000.00,332000.00,-42000.00,3.00,75.00,960.00,24.00,30.00,1.00,45.00
2301-200009,3860,Title and Escrow,153000.00,0.00,153000.00,0.00,57.00,681.00,18.00,14.00,1.00,45.00
2301-200010,3860,Title and Escrow,145000.00,0.00,145000.00,0.00,66.00,742.00,21.00,12.00,1.00,45.00
17-500020,3860,Property Report / O&E - Title Only,113000.00,408500.00,-295500.00,2.00,49.00,614.00,6.00,14.00,0.00,28.00
2301-200011,3860,Title and Escrow,83360.00,0.00,83360.00,0.00,94.00,2203.00,31.00,49.00,0.00,28.00
2301-200012,3863,Title and Escrow,379678.50,0.00,379678.50,0.00,53.00,510.00,17.00,6.00,1.00,45.00
17-500022,3863,Title & Sub-Escrow,120000.00,193500.00,-73500.00,1.00,39.00,500.00,17.00,6.00,1.00,45.00
2301-200013,3863,Title and Escrow,97170.00,100000.00,-2830.00,1.00,86.00,1465.00,27.00,35.00,0.00,56.00
17-500023,3863,Title & Sub-Escrow,337500.00,433600.00,-96100.00,1.00,40.00,457.00,16.00,7.00,1.00,45.00
2301-200014,3860,Title and Escrow,133750.00,0.00,133750.00,0.00,99.00,1749.00,21.00,50.00,0.00,39.00
17-500024,3863,Title Only,1250000.00,0.00,1250000.00,0.00,23.00,272.00,1.00,7.00,1.00,45.00
17-500025,3863,Property Report / O&E - Title Only,60000.00,550000.00,-490000.00,1.00,42.00,545.00,7.00,9.00,0.00,29.00
2301-200015,3863,Title and Escrow,146000.00,70000.32,75999.68,1.00,71.00,976.00,7.00,27.00,1.00,45.00
2301-200016,3863,Title and Escrow,200313.75,0.00,200313.75,0.00,85.00,1552.00,16.00,48.00,0.00,39.00
17-500026,3863,Title & Sub-Escrow,320000.00,215421.00,104579.00,2.00,63.00,986.00,21.00,25.00,0.00,43.00
2301-200017,3863,Title and Escrow,80000.00,15000.00,65000.00,1.00,57.00,637.00,29.00,7.00,1.00,45.00
17-500027,3863,Title & Full Escrow,179900.00,193500.00,-13600.00,1.00,50.00,586.00,18.00,10.00,1.00,45.00
17-500028,3860,Property Report / O&E - Title Only,60000.00,206400.00,-146400.00,1.00,41.00,627.00,4.00,11.00,0.00,50.00
2301-200018,3860,Title Only,101306.55,137850.00,-36543.45,2.00,79.00,1414.00,25.00,45.00,0.00,34.00
2301-200019,3860,Title and Escrow,87408.00,0.00,87408.00,0.00,111.00,1630.00,20.00,50.00,0.00,39.00
17-500029,3860,Property Report / O&E - Title Only,50000.00,304000.00,-254000.00,1.00,43.00,604.00,4.00,12.00,0.00,29.00
17-500031,3863,Title Only,25000.00,40000.00,-15000.00,1.00,74.00,1770.00,17.00,42.00,0.00,43.00
17-500032,3863,Title Only,230521.00,244228.31,-13707.31,2.00,44.00,620.00,24.00,14.00,1.00,45.00
17-500033,3863,Property Report / O&E - Title Only,84000.00,91000.00,-7000.00,1.00,51.00,721.00,13.00,24.00,0.00,204.00
17-500034,3863,Title & Sub-Escrow,250000.00,0.00,250000.00,0.00,44.00,558.00,19.00,10.00,1.00,45.00
17-500035,3860,Title Only,50000.00,0.00,50000.00,0.00,93.00,1566.00,20.00,49.00,0.00,61.00
17-500036,3860,Property Report / O&E - Title Only,59500.00,205000.00,-145500.00,2.00,43.00,620.00,5.00,15.00,0.00,35.00
2301-200021,3863,Title and Escrow,285382.00,0.00,285382.00,0.00,101.00,1715.00,15.00,44.00,0.00,46.00
17-500037,3860,Property Report / O&E & Full Escrow,202400.00,629000.00,-426600.00,2.00,61.00,918.00,6.00,23.00,0.00,53.00
2301-200023,3860,Title and Escrow,625500.00,0.00,625500.00,0.00,52.00,498.00,1.00,9.00,1.00,45.00
17-500038,3863,LCP - Title Only,95500.00,351000.00,-255500.00,1.00,42.00,699.00,4.00,8.00,0.00,29.00
17-500039,3860,Property Report / O&E - Title Only,28800.00,159000.00,-130200.00,2.00,38.00,634.00,7.00,16.00,0.00,29.00
17-500042,3863,Title Only,100000.00,0.00,100000.00,0.00,55.00,847.00,21.00,24.00,0.00,53.00
2301-200024,3863,Title and Escrow,326700.00,227700.00,99000.00,1.00,110.00,2021.00,19.00,50.00,0.00,34.00
17-500043,3863,LCP & Sub-Escrow,65000.00,225600.00,-160600.00,2.00,67.00,1314.00,9.00,28.00,0.00,27.00
17-500044,3863,LCP - Title Only,35200.00,189576.24,-154376.24,2.00,56.00,1139.00,6.00,34.00,0.00,55.00
17-500045,3860,Property Report / O&E - Title Only,25000.00,130500.00,-105500.00,1.00,39.00,630.00,4.00,12.00,0.00,28.00
2301-200025,3863,Title and Escrow,359662.50,156000.00,203662.50,1.00,74.00,1547.00,14.00,45.00,0.00,68.00
2301-200026,3860,Title and Escrow,11396.00,1920.94,9475.06,2.00,97.00,1759.00,26.00,70.00,0.00,42.00
17-500046,3863,Property Report / O&E - Title Only,100000.00,1062448.00,-962448.00,1.00,44.00,621.00,6.00,8.00,0.00,28.00
17-500047,3860,Property Report / O&E - Title Only,75000.00,328800.00,-253800.00,1.00,43.00,576.00,4.00,13.00,0.00,39.00
17-500048,3863,LCP - Title Only,35000.00,289000.00,-254000.00,1.00,57.00,809.00,7.00,13.00,0.00,55.00
17-500049,3863,Property Report / O&E - Title Only,100000.00,400000.00,-300000.00,1.00,43.00,605.00,5.00,15.00,0.00,19.00
17-500050,3863,LCP - Title Only,50000.00,456000.00,-406000.00,1.00,45.00,649.00,4.00,20.00,1.00,45.00
17-500051,3863,LCP - Title Only,40000.00,172675.00,-132675.00,1.00,64.00,947.00,4.00,15.00,0.00,64.00
17-500052,3863,Title Only,272435.00,246453.00,25982.00,1.00,56.00,999.00,18.00,20.00,1.00,45.00
2301-200028,3860,Title and Escrow,45073.50,0.00,45073.50,0.00,92.00,1462.00,19.00,37.00,0.00,129.00
17-500053,3860,Title & Sub-Escrow,36500.00,12500.00,24000.00,1.00,141.00,2678.00,39.00,94.00,0.00,108.00
17-500054,3863,Title & Sub-Escrow,76000.00,1737.56,74262.44,2.00,49.00,555.00,22.00,11.00,1.00,45.00
17-500055,3860,Title & Sub-Escrow,188830.00,206755.00,-17925.00,1.00,63.00,1307.00,21.00,37.00,0.00,56.00
17-500056,3860,Title & Sub-Escrow,126030.00,272000.00,-145970.00,2.00,57.00,1096.00,19.00,27.00,0.00,56.00
2301-200030,3863,Title and Escrow,156300.00,0.00,156300.00,0.00,71.00,1393.00,29.00,27.00,0.00,60.00
2301-200032,3863,Title and Escrow,535000.00,307439.39,227560.61,2.00,67.00,669.00,7.00,14.00,1.00,45.00
17-500057,3863,LCP - Title Only,100000.00,417000.00,-317000.00,1.00,40.00,608.00,4.00,16.00,0.00,47.00
2301-200035,3863,Title and Escrow,625500.00,0.00,625500.00,0.00,40.00,265.00,2.00,1.00,1.00,45.00
2301-200036,3860,Title and Escrow,184100.00,108750.00,75350.00,1.00,112.00,1919.00,23.00,75.00,0.00,40.00
17-500059,3863,LCP - Title Only,28000.00,156820.00,-128820.00,1.00,40.00,582.00,4.00,17.00,0.00,59.00
2301-200038,3860,Title and Escrow,120000.00,0.00,120000.00,0.00,63.00,839.00,21.00,19.00,1.00,45.00
17-500060,3860,Title Only,147700.00,151699.00,-3999.00,1.00,50.00,1122.00,21.00,26.00,0.00,42.00
17-500061,3863,Title Only,187000.00,193498.00,-6498.00,1.00,40.00,561.00,18.00,8.00,1.00,45.00
17-500062,3863,Title & Sub-Escrow,417000.00,403000.00,14000.00,1.00,56.00,819.00,17.00,20.00,0.00,42.00
17-500063,3863,Escrow Only,310000.00,0.00,310000.00,0.00,19.00,639.00,2.00,5.00,0.00,32.00
2301-200040,3860,Title and Escrow,72072.00,65000.00,7072.00,1.00,75.00,1226.00,20.00,29.00,0.00,62.00
17-500064,3863,Title & Sub-Escrow,400000.00,852227.42,-452227.42,2.00,65.00,870.00,19.00,31.00,1.00,45.00
17-500065,3863,Title & Sub-Escrow,292000.00,311250.00,-19250.00,1.00,59.00,821.00,19.00,24.00,0.00,96.00
2301-200042,3860,Title and Escrow,147618.00,0.00,147618.00,0.00,119.00,1930.00,20.00,68.00,0.00,35.00
17-500067,3863,LCP - Title Only,30000.00,260356.00,-230356.00,1.00,38.00,445.00,6.00,8.00,1.00,45.00
17-500069,3863,Title & Full Escrow,179244.00,199327.00,-20083.00,2.00,84.00,1148.00,19.00,28.00,0.00,74.00
2301-200043,3860,Title and Escrow,175000.00,125000.00,50000.00,1.00,55.00,568.00,18.00,10.00,1.00,45.00
17-500070,3863,Title & Full Escrow,262500.00,229500.00,33000.00,1.00,80.00,1194.00,18.00,23.00,0.00,49.00
17-500071,3863,Title & Full Escrow,212000.00,262670.00,-50670.00,2.00,73.00,912.00,21.00,16.00,0.00,76.00
17-500072,3863,Title Only,80000.00,198475.00,-118475.00,2.00,48.00,707.00,20.00,19.00,0.00,27.00
17-500074,3863,LCP - Title Only,95000.00,75000.00,20000.00,1.00,40.00,526.00,4.00,10.00,1.00,45.00
17-500076,3863,Title & Full Escrow,319000.00,299000.00,20000.00,1.00,69.00,1125.00,20.00,17.00,0.00,49.00
17-500078,3863,LCP - Title Only,80000.00,194778.00,-114778.00,2.00,48.00,1059.00,7.00,16.00,0.00,19.00
17-500079,3860,Title Only & Sub Escrow,213000.00,240000.00,-27000.00,1.00,94.00,1759.00,22.00,53.00,0.00,220.00
2301-200044,3860,Title and Escrow,170000.00,50000.00,120000.00,1.00,52.00,531.00,19.00,8.00,1.00,45.00
17-500081,3863,Reverse Mortgage - Title Only,225000.00,81000.00,144000.00,1.00,35.00,484.00,22.00,6.00,1.00,45.00
17-500082,3863,Property Report / O&E - Title Only,50000.00,179250.00,-129250.00,1.00,41.00,566.00,8.00,16.00,0.00,89.00
2301-200047,3860,Title and Escrow,204360.00,251994.00,-47634.00,2.00,80.00,1503.00,28.00,48.00,0.00,59.00
2301-200048,3863,Title and Escrow,131040.00,108400.00,22640.00,1.00,88.00,1533.00,19.00,47.00,0.00,60.00
17-500085,3863,Title & Full Escrow,119000.00,125000.00,-6000.00,1.00,73.00,974.00,17.00,14.00,0.00,74.00
17-500086,3863,Title & Full Escrow,142250.00,152157.53,-9907.53,4.00,81.00,1249.00,23.00,21.00,0.00,74.00
17-500087,3863,Title & Full Escrow,267000.00,292481.67,-25481.67,2.00,74.00,1091.00,21.00,17.00,0.00,75.00
17-500088,3863,Title & Full Escrow,40000.00,229552.00,-189552.00,1.00,52.00,513.00,22.00,10.00,1.00,45.00
2301-200050,3860,Title and Escrow,215000.00,143560.00,71440.00,1.00,76.00,777.00,20.00,17.00,1.00,45.00
2301-200051,3860,Title and Escrow,68000.00,24999.00,43001.00,1.00,81.00,783.00,18.00,21.00,1.00,45.00
17-500089,3860,Title & Sub-Escrow,94000.00,79591.00,14409.00,1.00,36.00,613.00,23.00,7.00,1.00,45.00
2301-200052,3863,Title and Escrow,384682.50,111300.00,273382.50,2.00,81.00,1462.00,32.00,40.00,0.00,68.00
17-500090,3863,Title Only,159135.00,159137.00,-2.00,1.00,69.00,1081.00,32.00,25.00,0.00,34.00
17-500092,3860,Title Only,166998.00,166999.00,-1.00,1.00,43.00,1019.00,25.00,18.00,0.00,28.00
17-500094,3863,LCP - Title Only,40000.00,352000.00,-312000.00,1.00,35.00,441.00,4.00,5.00,1.00,45.00
2301-200054,3863,Title and Escrow,370921.50,347871.95,23049.55,3.00,70.00,1703.00,20.00,50.00,0.00,47.00
17-500095,3863,LCP - Title Only,96100.00,237500.00,-141400.00,1.00,37.00,540.00,4.00,17.00,0.00,42.00
2301-200055,3863,Title and Escrow,270000.00,133000.00,137000.00,1.00,47.00,444.00,18.00,4.00,1.00,45.00
17-500096,3863,Title & Sub-Escrow,184000.00,140924.00,43076.00,1.00,74.00,1257.00,18.00,36.00,0.00,56.00
2301-200057,3860,Title and Escrow,335000.00,120000.00,215000.00,1.00,61.00,869.00,20.00,25.00,1.00,45.00
2301-200058,3863,Title and Escrow,148264.00,80000.00,68264.00,1.00,66.00,1332.00,22.00,32.00,0.00,52.00
17-500097,3863,Title Only,68000.00,0.00,68000.00,0.00,34.00,461.00,20.00,8.00,1.00,45.00
2301-200059,3863,Title and Escrow,370921.50,130000.00,240921.50,1.00,112.00,2371.00,18.00,60.00,0.00,18.00
2301-200060,3860,Title and Escrow,142000.00,0.00,142000.00,0.00,58.00,545.00,18.00,11.00,1.00,45.00
17-500098,3863,LCP & Sub-Escrow,46600.00,402000.00,-355400.00,1.00,78.00,1391.00,4.00,20.00,0.00,38.00
17-500099,3863,LCP - Title Only,50000.00,396000.00,-346000.00,1.00,53.00,779.00,4.00,16.00,0.00,48.00
17-500100,3863,Title Only,168000.00,284058.00,-116058.00,2.00,57.00,929.00,20.00,34.00,0.00,41.00
2301-200063,3860,Title and Escrow,51240.00,50000.00,1240.00,1.00,90.00,1221.00,20.00,37.00,1.00,45.00
2301-200064,3863,Title and Escrow,261796.31,417440.00,-155643.69,2.00,84.00,1866.00,21.00,41.00,0.00,25.00
17-500101,3860,Property Report / O&E - Title Only,130000.00,270283.00,-140283.00,1.00,41.00,583.00,3.00,13.00,0.00,34.00
2301-200065,3860,Title and Escrow,148000.00,149952.90,-1952.90,4.00,53.00,789.00,26.00,10.00,1.00,45.00
17-500102,3863,Property Report / O&E - Title Only,80000.00,135000.00,-55000.00,1.00,52.00,727.00,4.00,13.00,0.00,48.00
17-500103,3863,LCP - Title Only,60000.00,130000.00,-70000.00,1.00,35.00,449.00,4.00,6.00,1.00,45.00
2301-200066,3863,Title and Escrow,50288.42,0.00,50288.42,0.00,105.00,1843.00,17.00,60.00,0.00,33.00
2301-200067,3863,Title and Escrow,362164.50,325000.00,37164.50,2.00,88.00,1572.00,20.00,48.00,0.00,28.00
2301-200068,3863,Title and Escrow,234255.00,59.23,234195.77,1.00,103.00,2322.00,17.00,94.00,0.00,47.00
2301-200069,3863,Title and Escrow,288355.50,69824.03,218531.47,3.00,71.00,1667.00,20.00,50.00,0.00,60.00
17-500106,3863,Title & Sub-Escrow,132000.00,123556.00,8444.00,2.00,95.00,1613.00,23.00,39.00,0.00,53.00
2301-200070,3860,Title and Escrow,354658.50,233700.00,120958.50,1.00,96.00,1532.00,21.00,47.00,0.00,52.00
17-500107,3863,Title & Full Escrow,625500.00,762000.00,-136500.00,2.00,85.00,1389.00,20.00,45.00,0.00,49.00
17-500109,3863,Title & Full Escrow,382500.00,248000.00,134500.00,1.00,85.00,1345.00,19.00,34.00,0.00,49.00
17-500110,3863,LCP - Title Only,100.00,1306.65,-1206.65,1.00,33.00,498.00,7.00,4.00,0.00,228.00
2301-200074,3863,Title and Escrow,74090.00,0.00,74090.00,0.00,87.00,1913.00,25.00,42.00,0.00,24.00
17-500112,3863,Title Only,200000.00,185600.00,14400.00,1.00,60.00,1048.00,19.00,33.00,0.00,40.00
17-500113,3863,LCP - Title Only,35250.00,222900.00,-187650.00,1.00,48.00,687.00,4.00,11.00,0.00,62.00
17-500115,3860,Property Report / O&E - Title Only,115000.00,362000.00,-247000.00,2.00,43.00,591.00,6.00,12.00,0.00,46.00
17-500116,3860,Property Report / O&E - Title Only,115000.00,182911.00,-67911.00,2.00,27.00,340.00,7.00,7.00,0.00,202.00
17-500117,3863,Title & Sub-Escrow,380000.00,216000.00,164000.00,1.00,41.00,459.00,19.00,8.00,1.00,45.00
2301-200078,3863,Title and Escrow,236550.00,174000.00,62550.00,1.00,92.00,1477.00,19.00,44.00,0.00,28.00
17-500119,3863,Title Only,263611.00,265108.00,-1497.00,1.00,82.00,1143.00,15.00,33.00,0.00,65.00
17-500120,3860,Title & Sub-Escrow,167999.00,168000.00,-1.00,1.00,65.00,1486.00,23.00,44.00,0.00,57.00
17-500122,3863,Title Only,141729.00,141730.00,-1.00,1.00,65.00,1004.00,30.00,25.00,0.00,30.00
17-500123,3860,Title & Sub-Escrow,163817.00,215990.60,-52173.60,1.00,76.00,1686.00,25.00,47.00,0.00,77.00
17-500124,3860,Title Only,123176.00,125314.75,-2138.75,2.00,69.00,1226.00,23.00,42.00,0.00,72.00
17-500126,3860,Title & Sub-Escrow,104039.00,104040.00,-1.00,1.00,65.00,1375.00,23.00,41.00,0.00,57.00
2301-200081,3860,Title and Escrow,285000.00,134747.00,150253.00,2.00,51.00,592.00,23.00,8.00,1.00,45.00
17-500128,3860,Title & Sub-Escrow,109406.00,175014.23,-65608.23,1.00,58.00,1200.00,23.00,33.00,0.00,53.00
17-500129,3860,Title & Sub-Escrow,46637.00,50291.61,-3654.61,1.00,72.00,1488.00,24.00,39.00,0.00,66.00
2301-200082,3860,Title and Escrow,71298.00,30000.00,41298.00,1.00,90.00,1838.00,30.00,69.00,0.00,58.00
2301-200083,3863,Title and Escrow,101920.00,126400.00,-24480.00,1.00,97.00,1467.00,30.00,34.00,0.00,44.00
17-500130,3860,Title Only,123662.00,180957.00,-57295.00,2.00,55.00,1020.00,22.00,35.00,0.00,53.00
2301-200087,3863,Title and Escrow,134960.00,160000.00,-25040.00,2.00,93.00,1657.00,37.00,46.00,0.00,35.00
2301-200088,3863,Title and Escrow,126075.00,0.00,126075.00,0.00,95.00,1491.00,19.00,35.00,0.00,32.00
17-500131,3863,Title & Sub-Escrow,308500.00,262500.00,46000.00,1.00,38.00,388.00,17.00,4.00,1.00,45.00
2301-200089,3863,Title and Escrow,256710.00,218000.00,38710.00,2.00,80.00,1456.00,18.00,44.00,0.00,23.00
2301-200092,3863,Title and Escrow,152000.00,0.00,152000.00,0.00,77.00,1051.00,6.00,25.00,1.00,45.00
17-500133,3863,Title & Sub-Escrow,53500.00,78500.00,-25000.00,1.00,56.00,674.00,19.00,19.00,1.00,45.00
17-500134,3860,Title Only,176301.00,202350.00,-26049.00,2.00,83.00,1362.00,22.00,45.00,0.00,72.00
17-500135,3860,Title Only,85222.00,85223.00,-1.00,1.00,74.00,1659.00,23.00,46.00,0.00,35.00
17-500136,3860,Title Only,81809.00,81810.00,-1.00,1.00,67.00,1284.00,23.00,35.00,0.00,70.00
2301-200096,3860,Title and Escrow,180000.00,197200.00,-17200.00,3.00,54.00,618.00,23.00,12.00,1.00,45.00
2301-200097,3863,Title and Escrow,66120.00,79000.00,-12880.00,2.00,91.00,1574.00,19.00,43.00,0.00,58.00
2301-200098,3863,Title and Escrow,150705.00,0.00,150705.00,0.00,87.00,1660.00,17.00,34.00,0.00,30.00
17-500137,3863,Title & Full Escrow,574500.00,593561.00,-19061.00,1.00,80.00,1258.00,19.00,30.00,0.00,100.00
2301-200100,3863,Title and Escrow,659000.00,776000.00,-117000.00,1.00,51.00,554.00,17.00,13.00,1.00,45.00
17-500138,3863,Title & Sub-Escrow,321733.00,304385.00,17348.00,1.00,55.00,808.00,16.00,20.00,0.00,43.00
2301-200101,3860,Title and Escrow,304380.00,222300.00,82080.00,1.00,87.00,1422.00,25.00,39.00,0.00,38.00
2301-200104,3863,Title and Escrow,167796.00,290751.00,-122955.00,2.00,89.00,1829.00,26.00,46.00,0.00,30.00
17-500139,3860,TSG - Trustee Sale Guarantee,352983.47,352000.00,983.47,1.00,21.00,581.00,6.00,10.00,0.00,104.00
17-500140,3863,TSG - Trustee Sale Guarantee,1531802.62,1526000.00,5802.62,1.00,16.00,458.00,8.00,6.00,0.00,104.00
17-500141,3863,TSG - Trustee Sale Guarantee,467173.56,547500.00,-80326.44,1.00,19.00,538.00,15.00,12.00,0.00,104.00
17-500142,3863,Title Only,276000.00,246793.00,29207.00,2.00,67.00,980.00,21.00,34.00,0.00,41.00
17-500147,3863,LCP - Title Only,20000.00,72358.34,-52358.34,2.00,70.00,1278.00,5.00,25.00,0.00,66.00
2301-200105,29189,Title and Escrow,300000.00,0.00,300000.00,0.00,50.00,506.00,2.00,8.00,1.00,45.00
17-500148,3863,Title & Full Escrow,247500.00,150000.00,97500.00,1.00,66.00,978.00,19.00,13.00,0.00,76.00
17-500149,3863,Title Only,211713.94,214515.00,-2801.06,1.00,35.00,421.00,18.00,5.00,1.00,45.00
2301-200106,3863,Title and Escrow,184275.00,0.00,184275.00,0.00,100.00,1553.00,29.00,48.00,0.00,38.00
17-500150,3863,Title Only,890000.00,897000.00,-7000.00,2.00,52.00,867.00,19.00,23.00,0.00,39.00
2301-200107,3860,Title and Escrow,190160.07,174200.00,15960.07,1.00,99.00,1755.00,19.00,48.00,0.00,42.00
17-500152,3863,Property Report / O&E - Title Only,1.00,0.00,1.00,0.00,31.00,399.00,4.00,5.00,0.00,199.00
17-500153,3863,Property Report / O&E - Title Only,1.00,0.00,1.00,0.00,31.00,381.00,4.00,5.00,0.00,199.00
17-500154,3863,Property Report / O&E - Title Only,1.00,0.00,1.00,0.00,34.00,418.00,6.00,8.00,0.00,199.00
17-500155,3860,Title & Sub-Escrow,450000.00,416191.00,33809.00,1.00,36.00,391.00,23.00,6.00,1.00,45.00
17-500157,3863,Title & Sub-Escrow,306000.00,365000.00,-59000.00,2.00,73.00,1133.00,23.00,41.00,0.00,91.00
17-500158,3863,Title & Full Escrow,58000.00,50000.00,8000.00,1.00,86.00,1296.00,22.00,25.00,0.00,50.00
17-500159,3863,LCP - Title Only,20000.00,81000.00,-61000.00,2.00,49.00,763.00,6.00,9.00,0.00,24.00
2301-200111,3860,Title and Escrow,159250.00,100000.00,59250.00,2.00,147.00,3037.00,22.00,123.00,0.00,163.00
17-500160,3863,Title Only,146704.00,198400.00,-51696.00,1.00,84.00,1226.00,31.00,32.00,0.00,52.00
17-500161,3860,Property Report / O&E - Title Only,15000.00,82000.00,-67000.00,1.00,49.00,616.00,3.00,15.00,0.00,63.00
17-500163,3863,Title Only,50000.00,50000.00,0.00,1.00,42.00,879.00,18.00,18.00,0.00,31.00
17-500164,3863,Title & Sub-Escrow,386000.00,453000.00,-67000.00,2.00,67.00,1085.00,19.00,32.00,0.00,35.00
17-500165,3863,Title Only,100000.00,0.00,100000.00,0.00,39.00,556.00,19.00,7.00,1.00,45.00
17-500166,3860,Property Report / O&E - Title Only,25000.00,150609.00,-125609.00,1.00,44.00,595.00,4.00,13.00,0.00,34.00
17-500167,3860,Title & Sub-Escrow,274000.00,285000.00,-11000.00,1.00,79.00,1254.00,21.00,35.00,0.00,45.00
17-500168,3863,Title & Sub-Escrow,220000.00,337700.00,-117700.00,2.00,40.00,464.00,22.00,5.00,1.00,45.00
17-500169,3863,Title Only,353760.00,367740.00,-13980.00,1.00,58.00,747.00,17.00,26.00,0.00,48.00
17-500170,3860,Title Only,67000.00,110500.00,-43500.00,2.00,61.00,1130.00,22.00,29.00,0.00,44.00
17-500171,3860,Title & Full Escrow,135600.00,143890.00,-8290.00,1.00,73.00,1051.00,23.00,18.00,0.00,45.00
17-500172,3863,Title Only,82000.00,168000.00,-86000.00,1.00,56.00,782.00,19.00,30.00,1.00,45.00
17-500173,3860,Title & Full Escrow,246489.00,254700.00,-8211.00,2.00,107.00,1300.00,23.00,30.00,0.00,69.00
17-500175,3863,Title Only,253002.00,261349.00,-8347.00,1.00,73.00,1049.00,20.00,28.00,0.00,44.00
17-500176,3863,Title & Full Escrow,220000.00,189150.00,30850.00,2.00,70.00,1259.00,20.00,15.00,0.00,35.00
17-500177,3863,LCP - Title Only,30000.00,150000.00,-120000.00,1.00,60.00,1000.00,17.00,26.00,0.00,37.00
17-500178,3860,Title Only,88000.00,96900.00,-8900.00,1.00,30.00,484.00,23.00,7.00,1.00,45.00
17-500180,3863,Title Only,334000.00,360000.00,-26000.00,1.00,68.00,1156.00,18.00,33.00,0.00,43.00
17-500181,3860,Property Report / O&E - Title Only,42000.00,409000.00,-367000.00,1.00,41.00,568.00,4.00,12.00,0.00,29.00
17-500183,3860,Title & Full Escrow,161997.00,185760.00,-23763.00,2.00,94.00,1478.00,25.00,36.00,0.00,51.00
17-500185,3863,Title & Full Escrow,302000.00,356800.00,-54800.00,1.00,78.00,1129.00,18.00,23.00,0.00,101.00
2301-200114,3863,Title and Escrow,300000.00,0.00,300000.00,0.00,50.00,592.00,16.00,21.00,1.00,45.00
17-500186,3863,Title & Full Escrow,235000.00,256000.00,-21000.00,1.00,82.00,1086.00,18.00,24.00,0.00,65.00
17-500187,3863,Title & Full Escrow,190000.00,189201.00,799.00,1.00,68.00,976.00,20.00,16.00,0.00,49.00
2301-200116,3863,Title and Escrow,625000.00,434250.00,190750.00,2.00,66.00,822.00,31.00,29.00,1.00,45.00
2301-200117,29189,Title and Escrow,118500.00,0.00,118500.00,0.00,52.00,524.00,1.00,17.00,1.00,45.00
17-500188,3863,LCP - Title Only,100000.00,50000.00,50000.00,1.00,41.00,776.00,4.00,15.00,0.00,31.00
17-500189,3860,Property Report / O&E - Title Only,60000.00,303150.00,-243150.00,1.00,38.00,595.00,5.00,10.00,0.00,41.00
17-500191,3860,Title Only,163821.00,164110.00,-289.00,1.00,57.00,865.00,24.00,26.00,0.00,52.00
2301-200120,3860,Title and Escrow,240000.00,3568.10,236431.90,1.00,58.00,652.00,10.00,11.00,1.00,45.00
2301-200121,3860,Title and Escrow,96300.00,0.00,96300.00,0.00,99.00,1740.00,8.00,56.00,0.00,29.00
