sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-511633,3863,Title & Sub-Escrow,178900.00,192000.00,-13100.00,1.00,79.00,1024.00,18.00,23.00,0.00,27.00
17-511635,3863,Title & Sub-Escrow,380000.00,334100.00,45900.00,1.00,46.00,775.00,17.00,10.00,0.00,52.00
17-511638,3863,LCP & Sub-Escrow,75000.00,371750.00,-296750.00,2.00,37.00,501.00,6.00,8.00,1.00,45.00
17-511640,3863,Title & Sub-Escrow,126000.00,124000.00,2000.00,1.00,46.00,882.00,18.00,15.00,0.00,41.00
17-511641,3863,LCP - Title Only,53000.00,198781.75,-145781.75,1.00,34.00,636.00,4.00,9.00,0.00,45.00
17-511644,3863,Title & Sub-Escrow,157000.00,167785.00,-10785.00,1.00,61.00,1056.00,17.00,29.00,0.00,29.00
17-511645,3860,Title & Full Escrow,124700.00,0.00,124700.00,0.00,44.00,316.00,2.00,4.00,1.00,45.00
2301-205979,3860,Title and Escrow,327762.00,0.00,327762.00,0.00,91.00,1194.00,19.00,54.00,0.00,59.00
2301-205980,3860,Title and Escrow,48640.00,74474.00,-25834.00,1.00,86.00,1746.00,19.00,49.00,0.00,29.00
2301-205981,3860,Title and Escrow,65192.00,0.00,65192.00,0.00,69.00,1209.00,19.00,49.00,0.00,63.00
2301-205983,3860,Title and Escrow,271755.00,280000.00,-8245.00,2.00,110.00,1540.00,22.00,61.00,0.00,29.00
2301-205984,3863,Title and Escrow,28710.00,0.00,28710.00,0.00,90.00,1767.00,26.00,52.00,0.00,49.00
2301-205990,3863,Title and Escrow,140500.00,124700.00,15800.00,1.00,113.00,1649.00,17.00,54.00,0.00,43.00
2301-205991,3863,Title and Escrow,100835.00,69471.00,31364.00,1.00,71.00,1494.00,15.00,47.00,0.00,43.00
17-511647,3863,Title Only,595237.00,729750.00,-134513.00,1.00,51.00,668.00,23.00,13.00,0.00,44.00
17-511649,3863,LCP - Title Only,25000.00,109000.00,-84000.00,1.00,34.00,575.00,4.00,9.00,0.00,17.00
17-511652,3863,LCP - Title Only,30000.00,120000.00,-90000.00,1.00,32.00,506.00,4.00,9.00,0.00,14.00
2301-205995,3860,Title and Escrow,37962.00,0.00,37962.00,0.00,97.00,1357.00,21.00,47.00,0.00,49.00
2301-205996,3863,Title and Escrow,266976.00,465000.00,-198024.00,1.00,71.00,1191.00,17.00,39.00,0.00,42.00
17-511655,3863,Title Only,237150.00,193200.00,43950.00,1.00,40.00,539.00,17.00,13.00,0.00,66.00
17-511658,3863,Title & Full Escrow,90000.00,76400.00,13600.00,1.00,60.00,865.00,17.00,13.00,0.00,44.00
2301-205999,3860,Title and Escrow,203550.00,0.00,203550.00,0.00,80.00,1437.00,22.00,35.00,0.00,49.00
2301-206000,3863,Title and Escrow,211720.00,216550.00,-4830.00,2.00,78.00,1296.00,18.00,41.00,0.00,42.00
17-511661,3862,Title & Sub-Escrow,100500.00,300000.00,-199500.00,2.00,26.00,240.00,3.00,6.00,1.00,45.00
17-511662,3863,LCP & Sub-Escrow,50000.00,217149.00,-167149.00,2.00,50.00,785.00,6.00,17.00,0.00,41.00
2301-206002,3860,Title and Escrow,339000.00,217800.00,121200.00,1.00,48.00,502.00,22.00,8.00,1.00,45.00
17-511664,3863,Title Only,70000.00,0.00,70000.00,0.00,19.00,240.00,2.00,3.00,1.00,45.00
17-511666,3863,LCP - Title Only,20000.00,237015.00,-217015.00,1.00,40.00,760.00,4.00,14.00,0.00,48.00
17-511667,3863,LCP - Title Only,50000.00,75000.00,-25000.00,1.00,36.00,576.00,4.00,13.00,0.00,23.00
17-511668,3863,LCP - Title Only,75000.00,84794.00,-9794.00,1.00,39.00,605.00,4.00,8.00,0.00,48.00
17-511669,3860,Title Only,127550.00,135800.00,-8250.00,1.00,48.00,679.00,20.00,16.00,0.00,37.00
17-511670,3863,Title Only,70000.00,50000.00,20000.00,1.00,73.00,1097.00,18.00,21.00,0.00,41.00
17-511671,3863,Title Only,595300.00,600000.00,-4700.00,1.00,43.00,687.00,19.00,12.00,0.00,35.00
2301-206004,3860,Title and Escrow,520000.00,750000.00,-230000.00,1.00,75.00,1072.00,22.00,39.00,1.00,45.00
17-511672,3862,Title & Full Escrow,275000.00,217000.00,58000.00,1.00,57.00,869.00,17.00,17.00,0.00,43.00
17-511674,3863,LCP & Sub-Escrow,25000.00,86490.00,-61490.00,1.00,58.00,927.00,6.00,21.00,0.00,48.00
17-511676,3860,Title Only,220000.00,246000.00,-26000.00,2.00,76.00,1124.00,24.00,23.00,0.00,38.00
17-511677,3863,LCP - Title Only,25000.00,104500.00,-79500.00,1.00,34.00,537.00,4.00,9.00,0.00,36.00
2301-206007,3863,Title and Escrow,336960.00,585000.00,-248040.00,1.00,79.00,1344.00,20.00,27.00,0.00,51.00
2301-206008,29189,Title and Escrow,138897.00,0.00,138897.00,0.00,142.00,1366.00,2.00,55.00,0.00,55.00
17-511682,3862,Title & Full Escrow,238000.00,241656.00,-3656.00,1.00,57.00,804.00,17.00,15.00,0.00,55.00
2301-206009,3860,Title and Escrow,196480.00,0.00,196480.00,0.00,93.00,1494.00,16.00,43.00,0.00,29.00
2301-206010,3863,Title and Escrow,179795.00,0.00,179795.00,0.00,90.00,1373.00,27.00,42.00,0.00,31.00
17-511687,3863,Title & Full Escrow,147537.00,136662.00,10875.00,1.00,56.00,842.00,16.00,15.00,0.00,31.00
17-511688,3863,Title & Full Escrow,142800.00,135000.00,7800.00,1.00,46.00,405.00,29.00,7.00,1.00,45.00
2301-206013,3860,Title and Escrow,150000.00,70000.00,80000.00,1.00,75.00,1061.00,18.00,40.00,0.00,28.00
17-511689,3863,LCP - Title Only,50000.00,385000.00,-335000.00,1.00,42.00,621.00,4.00,10.00,0.00,27.00
2301-206014,3863,Title and Escrow,394690.50,253375.00,141315.50,2.00,70.00,1365.00,20.00,46.00,0.00,49.00
2301-206016,3860,Title and Escrow,186900.00,0.00,186900.00,0.00,81.00,1353.00,20.00,64.00,0.00,36.00
17-511692,3860,Title & Sub-Escrow,207934.00,208437.00,-503.00,1.00,63.00,1090.00,21.00,30.00,0.00,44.00
2301-206020,3860,Title and Escrow,19988.00,0.00,19988.00,0.00,86.00,1326.00,19.00,44.00,0.00,56.00
17-511695,3863,LCP - Title Only,40000.00,283400.00,-243400.00,1.00,31.00,574.00,4.00,10.00,0.00,22.00
2301-206021,3863,Title and Escrow,120520.00,139974.56,-19454.56,2.00,80.00,1480.00,10.00,60.00,0.00,41.00
2301-206022,3863,Title and Escrow,207532.00,232500.00,-24968.00,1.00,67.00,1168.00,19.00,20.00,0.00,49.00
17-511696,3863,LCP - Title Only,75000.00,216000.00,-141000.00,1.00,32.00,488.00,5.00,9.00,0.00,14.00
2301-206023,3860,Title and Escrow,131250.00,155000.00,-23750.00,1.00,77.00,1221.00,19.00,40.00,0.00,49.00
17-511698,3863,LCP - Title Only,75000.00,0.00,75000.00,0.00,44.00,669.00,4.00,13.00,0.00,52.00
17-511699,3862,Title & Sub-Escrow,154950.00,20000.00,134950.00,1.00,62.00,1117.00,20.00,28.00,0.00,44.00
